Epoch 4, true	ll: -17.874	mae: 2.1602
Epoch 9, true	ll: -17.543	mae: 2.1106
Epoch 14, true	ll: -17.302	mae: 2.0676
Epoch 19, true	ll: -17.088	mae: 2.0242
Epoch 24, true	ll: -16.797	mae: 1.9834
Epoch 29, true	ll: -16.269	mae: 1.9472
Epoch 34, true	ll: -15.114	mae: 1.9295
Epoch 39, true	ll: -13.607	mae: 1.9536
Epoch 44, true	ll: -12.14	mae: 2.0358
Epoch 49, true	ll: -11.272	mae: 2.1972
Epoch 54, true	ll: -10.604	mae: 2.4531
Epoch 59, true	ll: -10.441	mae: 2.7819
Epoch 64, true	ll: -10.449	mae: 3.1172
Epoch 69, true	ll: -10.4	mae: 3.3104
Epoch 74, true	ll: -9.6893	mae: 3.2769
Epoch 79, true	ll: -8.9409	mae: 3.0198
Epoch 84, true	ll: -8.4078	mae: 2.7224
Epoch 89, true	ll: -7.975	mae: 2.4893
