Epoch 4, true	ll: -1.8952	mae: 1.2202
Epoch 9, true	ll: -1.8456	mae: 1.2191
Epoch 14, true	ll: -1.8007	mae: 1.2084
Epoch 19, true	ll: -1.8113	mae: 1.2071
Epoch 24, true	ll: -1.8254	mae: 1.1983
Epoch 29, true	ll: -1.7675	mae: 1.2041
Epoch 34, true	ll: -1.7883	mae: 1.2092
Epoch 39, true	ll: -1.8008	mae: 1.2113
Epoch 44, true	ll: -1.8121	mae: 1.2067
Epoch 49, true	ll: -1.7503	mae: 1.2026
Epoch 54, true	ll: -1.8179	mae: 1.2134
Epoch 59, true	ll: -1.7995	mae: 1.2094
Epoch 64, true	ll: -1.8104	mae: 1.2059
Epoch 69, true	ll: -1.7511	mae: 1.2033
Epoch 74, true	ll: -1.7927	mae: 1.2034
Epoch 79, true	ll: -1.7596	mae: 1.2098
Epoch 84, true	ll: -1.7548	mae: 1.2058
Epoch 89, true	ll: -1.6599	mae: 1.2131
Epoch 94, true	ll: -1.7083	mae: 1.2125
Epoch 99, true	ll: -1.7694	mae: 1.2145
Epoch 104, true	ll: -1.8107	mae: 1.2177
Epoch 109, true	ll: -1.5102	mae: 1.2295
Epoch 114, true	ll: -1.5011	mae: 1.2082
Epoch 119, true	ll: -1.6522	mae: 1.2261
Epoch 124, true	ll: -1.8062	mae: 1.2216
Epoch 129, true	ll: -1.8011	mae: 1.2304
Epoch 134, true	ll: -1.6396	mae: 1.2038
Epoch 139, true	ll: -1.6509	mae: 1.1958
Epoch 144, true	ll: -1.7793	mae: 1.2184
Epoch 149, true	ll: -1.7774	mae: 1.2044
Epoch 154, true	ll: -1.8332	mae: 1.2123
Epoch 159, true	ll: -1.6335	mae: 1.2022
Epoch 164, true	ll: -1.7568	mae: 1.2146
Epoch 169, true	ll: -1.7763	mae: 1.2276
Epoch 174, true	ll: -2.0674	mae: 1.3894
Epoch 179, true	ll: -1.8257	mae: 1.2948
Epoch 184, true	ll: -1.8228	mae: 1.2161
Epoch 189, true	ll: -1.8515	mae: 1.2246
Epoch 194, true	ll: -1.8806	mae: 1.2628
Epoch 199, true	ll: -2.4203	mae: 1.469
Epoch 204, true	ll: -1.5829	mae: 1.3071
Epoch 209, true	ll: -1.5416	mae: 1.3259
Epoch 214, true	ll: -1.5955	mae: 1.6594
Epoch 219, true	ll: -1.6481	mae: 1.3946
Epoch 224, true	ll: -1.8264	mae: 1.2393
Epoch 229, true	ll: -1.8787	mae: 1.2493
Epoch 234, true	ll: -1.9268	mae: 1.3375
Epoch 239, true	ll: -1.8789	mae: 1.3122
Epoch 244, true	ll: -2.4154	mae: 1.4671
Epoch 249, true	ll: -1.9659	mae: 1.39
Epoch 254, true	ll: -1.8999	mae: 1.3827
Epoch 259, true	ll: -1.9539	mae: 1.4363
Epoch 264, true	ll: -2.006	mae: 1.4881
Epoch 269, true	ll: -1.9548	mae: 1.4823
Epoch 274, true	ll: -1.8908	mae: 1.4557
Epoch 279, true	ll: -1.85	mae: 1.3897
Epoch 284, true	ll: -1.8611	mae: 1.3421
Epoch 289, true	ll: -1.8916	mae: 1.2584
Epoch 294, true	ll: -1.8924	mae: 1.2592
Epoch 299, true	ll: -1.9466	mae: 1.2469
Epoch 304, true	ll: -2.0534	mae: 1.5318
Epoch 309, true	ll: -2.0257	mae: 1.4218
Epoch 314, true	ll: -1.9912	mae: 1.3185
Epoch 319, true	ll: -1.9311	mae: 1.2569
Epoch 324, true	ll: -1.9319	mae: 1.2474
Epoch 329, true	ll: -2.0145	mae: 1.4336
Epoch 334, true	ll: -1.9421	mae: 1.2343
Epoch 339, true	ll: -1.9594	mae: 1.2488
Epoch 344, true	ll: -2.218	mae: 1.4196
Epoch 349, true	ll: -2.4351	mae: 1.4843
Epoch 354, true	ll: -2.2633	mae: 1.4503
Epoch 359, true	ll: -2.2059	mae: 1.4558
Epoch 364, true	ll: -2.1107	mae: 1.4539
Epoch 369, true	ll: -1.9355	mae: 1.3263
Epoch 374, true	ll: -1.9005	mae: 1.3061
Epoch 379, true	ll: -1.8899	mae: 1.2564
Epoch 384, true	ll: -1.9968	mae: 1.3145
Epoch 389, true	ll: -2.0107	mae: 1.3492
Epoch 394, true	ll: -2.2338	mae: 1.3908
Epoch 399, true	ll: -1.9204	mae: 1.2362
Epoch 404, true	ll: -1.886	mae: 1.2308
Epoch 409, true	ll: -2.0496	mae: 1.6294
Epoch 414, true	ll: -2.0077	mae: 1.438
Epoch 419, true	ll: -2.1994	mae: 2.3178
Epoch 424, true	ll: -2.2275	mae: 2.3398
Epoch 429, true	ll: -2.1016	mae: 1.7603
Epoch 434, true	ll: -2.085	mae: 1.8583
Epoch 439, true	ll: -2.2375	mae: 2.5415
Epoch 444, true	ll: -1.9348	mae: 1.2907
Epoch 449, true	ll: -1.9523	mae: 1.2353
Epoch 454, true	ll: -2.0304	mae: 1.238
Epoch 459, true	ll: -1.9387	mae: 1.2479
Epoch 464, true	ll: -1.8486	mae: 1.2308
Epoch 469, true	ll: -1.8745	mae: 1.2469
Epoch 474, true	ll: -1.9426	mae: 1.3772
Epoch 479, true	ll: -1.9124	mae: 1.2821
Epoch 484, true	ll: -1.8696	mae: 1.2304
Epoch 489, true	ll: -1.8949	mae: 1.2342
Epoch 494, true	ll: -1.9676	mae: 1.2127
Epoch 499, true	ll: -1.918	mae: 1.2213
Epoch 504, true	ll: -2.0834	mae: 1.3618
Epoch 509, true	ll: -2.1411	mae: 1.4019
Epoch 514, true	ll: -1.8318	mae: 1.2651
Epoch 519, true	ll: -1.8997	mae: 1.254
Epoch 524, true	ll: -1.8457	mae: 1.2259
Epoch 529, true	ll: -1.8464	mae: 1.2335
Epoch 534, true	ll: -1.8391	mae: 1.2328
Epoch 539, true	ll: -2.1233	mae: 1.4261
Epoch 544, true	ll: -1.7889	mae: 1.2449
Epoch 549, true	ll: -1.802	mae: 1.2234
Epoch 554, true	ll: -1.7643	mae: 1.2854
Epoch 559, true	ll: -1.8674	mae: 1.4186
Epoch 564, true	ll: -1.8215	mae: 1.4186
Epoch 569, true	ll: -1.8087	mae: 1.3596
Epoch 574, true	ll: -1.858	mae: 1.4236
Epoch 579, true	ll: -1.9094	mae: 1.4862
Epoch 584, true	ll: -1.9966	mae: 1.4902
Epoch 589, true	ll: -2.0534	mae: 1.498
Epoch 594, true	ll: -2.1129	mae: 1.5058
Epoch 599, true	ll: -2.3132	mae: 1.5065
Epoch 604, true	ll: -2.2524	mae: 1.5064
Epoch 609, true	ll: -1.9337	mae: 1.5004
Epoch 614, true	ll: -1.8504	mae: 1.4865
Epoch 619, true	ll: -1.8639	mae: 1.4798
Epoch 624, true	ll: -1.8908	mae: 1.503
Epoch 629, true	ll: -1.8845	mae: 1.4924
Epoch 634, true	ll: -1.896	mae: 1.4661
Epoch 639, true	ll: -1.9006	mae: 1.4624
Epoch 644, true	ll: -1.894	mae: 1.4376
Epoch 649, true	ll: -1.9038	mae: 1.3955
Epoch 654, true	ll: -1.8985	mae: 1.3879
Epoch 659, true	ll: -1.8639	mae: 1.4914
Epoch 664, true	ll: -1.8792	mae: 1.5008
Epoch 669, true	ll: -1.9158	mae: 1.4548
Epoch 674, true	ll: -1.8981	mae: 1.4805
Epoch 679, true	ll: -1.926	mae: 1.4875
Epoch 684, true	ll: -1.8922	mae: 1.4825
Epoch 689, true	ll: -1.8877	mae: 1.4987
Epoch 694, true	ll: -1.8898	mae: 1.5055
Epoch 699, true	ll: -1.8765	mae: 1.5033
Epoch 704, true	ll: -1.9194	mae: 1.4393
Epoch 709, true	ll: -1.8847	mae: 1.4922
Epoch 714, true	ll: -2.0	mae: 1.5067
Epoch 719, true	ll: -2.3816	mae: 1.5074
Epoch 724, true	ll: -2.9672	mae: 1.5077
Epoch 729, true	ll: -3.6333	mae: 1.5062
Epoch 734, true	ll: -4.4159	mae: 1.5087
Epoch 739, true	ll: -3.8964	mae: 1.5082
Epoch 744, true	ll: -2.8027	mae: 1.505
Epoch 749, true	ll: -2.932	mae: 1.5076
Epoch 754, true	ll: -6.155	mae: 1.5075
Epoch 759, true	ll: -2.5654	mae: 1.5068
Epoch 764, true	ll: -2.8496	mae: 1.507
Epoch 769, true	ll: -2.741	mae: 1.5079
Epoch 774, true	ll: -3.1453	mae: 1.5088
Epoch 779, true	ll: -5.7383	mae: 1.5071
Epoch 784, true	ll: -4.0263	mae: 1.5091
Epoch 789, true	ll: -5.2001	mae: 1.5078
Epoch 794, true	ll: -3.4646	mae: 1.5071
Epoch 799, true	ll: -2.6829	mae: 1.508
Epoch 804, true	ll: -2.4753	mae: 1.5071
Epoch 809, true	ll: -3.8329	mae: 1.5075
Epoch 814, true	ll: -3.6649	mae: 1.5082
Epoch 819, true	ll: -1.9527	mae: 1.5076
Epoch 824, true	ll: -1.8883	mae: 1.3922
Epoch 829, true	ll: -1.951	mae: 1.4896
Epoch 834, true	ll: -1.8991	mae: 1.5023
Epoch 839, true	ll: -1.9821	mae: 1.5076
Epoch 844, true	ll: -2.0841	mae: 1.5073
Epoch 849, true	ll: -2.0755	mae: 1.5075
Epoch 854, true	ll: -2.3361	mae: 1.5061
Epoch 859, true	ll: -2.0108	mae: 1.4924
Epoch 864, true	ll: -1.9283	mae: 1.5039
Epoch 869, true	ll: -1.8927	mae: 1.4922
Epoch 874, true	ll: -1.8665	mae: 1.4562
Epoch 879, true	ll: -1.9725	mae: 1.4967
Epoch 884, true	ll: -1.9471	mae: 1.4971
Epoch 889, true	ll: -1.9203	mae: 1.5046
Epoch 894, true	ll: -1.858	mae: 1.4904
Epoch 899, true	ll: -1.9402	mae: 1.498
Epoch 904, true	ll: -1.982	mae: 1.5031
Epoch 909, true	ll: -1.9461	mae: 1.4965
Epoch 914, true	ll: -1.8792	mae: 1.4714
Epoch 919, true	ll: -1.9087	mae: 1.4653
Epoch 924, true	ll: -2.0652	mae: 1.479
Epoch 929, true	ll: -2.3372	mae: 1.4887
Epoch 934, true	ll: -2.0888	mae: 1.4908
Epoch 939, true	ll: -1.801	mae: 1.4241
Epoch 944, true	ll: -1.8784	mae: 1.4646
Epoch 949, true	ll: -1.8826	mae: 1.4785
Epoch 954, true	ll: -1.8769	mae: 1.4626
Epoch 959, true	ll: -1.8895	mae: 1.3991
Epoch 964, true	ll: -1.978	mae: 1.4272
Epoch 969, true	ll: -1.8949	mae: 1.4049
Epoch 974, true	ll: -1.8688	mae: 1.3532
Epoch 979, true	ll: -2.34	mae: 1.4797
Epoch 984, true	ll: -2.1247	mae: 1.489
Epoch 989, true	ll: -1.9669	mae: 1.4914
Epoch 994, true	ll: -2.2415	mae: 1.503
Epoch 999, true	ll: -2.0951	mae: 1.5016
Kernel Scale: 0.09614279121160507
Test, true	ll: -1.8257	mae: 1.1855
Test, kde	ll: -1.7699	mae: 1.1791
Test, kde	ll: -1.6535	mae: 1.1796
Test, kde	ll: -1.6499	mae: 1.1815
Test, kde	ll: -1.8026	mae: 1.1799
Test, kde	ll: -1.6873	mae: 1.1814
Test, kde	ll: -1.6854	mae: 1.1835
Test, kde	ll: -1.7453	mae: 1.1797
Test, kde	ll: -1.6113	mae: 1.1799
Test, kde	ll: -1.8095	mae: 1.1826
Test, kde	ll: -1.7802	mae: 1.1806
Test metrics over 10 seeds
ll: -1.7195±0.067105
true ll: -1.8257
mae: 1.1808±0.0013665
true mae: 1.1855
