Epoch 4, true	ll: -3.6056	mae: 1.2781
Epoch 9, true	ll: -3.9301	mae: 1.2339
Epoch 14, true	ll: -3.9431	mae: 1.2554
Epoch 19, true	ll: -3.9651	mae: 1.2584
Epoch 24, true	ll: -3.995	mae: 1.2515
Epoch 29, true	ll: -4.0178	mae: 1.2408
Epoch 34, true	ll: -3.9994	mae: 1.2708
Epoch 39, true	ll: -4.0137	mae: 1.2525
Epoch 44, true	ll: -4.0061	mae: 1.2557
Epoch 49, true	ll: -3.9926	mae: 1.2609
Epoch 54, true	ll: -4.0068	mae: 1.2518
Epoch 59, true	ll: -4.004	mae: 1.2847
Epoch 64, true	ll: -4.0016	mae: 1.2572
Epoch 69, true	ll: -4.0319	mae: 1.2434
Epoch 74, true	ll: -3.9934	mae: 1.2615
Epoch 79, true	ll: -4.0253	mae: 1.2524
Epoch 84, true	ll: -4.025	mae: 1.296
Epoch 89, true	ll: -4.0377	mae: 1.2487
Epoch 94, true	ll: -4.0188	mae: 1.2601
Epoch 99, true	ll: -4.0413	mae: 1.2461
Epoch 104, true	ll: -4.0269	mae: 1.2815
Epoch 109, true	ll: -4.023	mae: 1.256
Epoch 114, true	ll: -4.0246	mae: 1.248
Epoch 119, true	ll: -4.0098	mae: 1.2699
Epoch 124, true	ll: -4.0241	mae: 1.2792
Epoch 129, true	ll: -4.0212	mae: 1.2773
Epoch 134, true	ll: -4.0134	mae: 1.2639
Epoch 139, true	ll: -4.0269	mae: 1.2569
Epoch 144, true	ll: -3.9835	mae: 1.2711
Epoch 149, true	ll: -3.9944	mae: 1.2629
Epoch 154, true	ll: -4.039	mae: 1.2461
Epoch 159, true	ll: -4.014	mae: 1.2492
Epoch 164, true	ll: -4.0494	mae: 1.2434
Epoch 169, true	ll: -4.0294	mae: 1.2679
Epoch 174, true	ll: -4.0692	mae: 1.2356
Epoch 179, true	ll: -3.9998	mae: 1.2732
Epoch 184, true	ll: -4.0116	mae: 1.2644
Epoch 189, true	ll: -4.0351	mae: 1.2661
Epoch 194, true	ll: -4.0347	mae: 1.2562
Epoch 199, true	ll: -4.0394	mae: 1.2502
Epoch 204, true	ll: -4.0328	mae: 1.2553
Epoch 209, true	ll: -4.0442	mae: 1.245
Epoch 214, true	ll: -4.0205	mae: 1.2534
Epoch 219, true	ll: -4.0271	mae: 1.2509
Epoch 224, true	ll: -4.0467	mae: 1.2524
Epoch 229, true	ll: -4.0412	mae: 1.252
Epoch 234, true	ll: -4.0478	mae: 1.2482
Epoch 239, true	ll: -4.0364	mae: 1.262
Epoch 244, true	ll: -4.0431	mae: 1.2478
Epoch 249, true	ll: -4.0401	mae: 1.245
Epoch 254, true	ll: -4.0098	mae: 1.2667
Epoch 259, true	ll: -4.043	mae: 1.2633
Epoch 264, true	ll: -4.0371	mae: 1.2588
Epoch 269, true	ll: -4.0464	mae: 1.2552
Epoch 274, true	ll: -4.0353	mae: 1.2669
Epoch 279, true	ll: -4.0355	mae: 1.2558
Epoch 284, true	ll: -4.0364	mae: 1.2702
Epoch 289, true	ll: -4.0484	mae: 1.2477
Epoch 294, true	ll: -4.0218	mae: 1.2606
Epoch 299, true	ll: -4.0411	mae: 1.2425
Epoch 304, true	ll: -4.0554	mae: 1.2427
Epoch 309, true	ll: -4.0398	mae: 1.2687
Epoch 314, true	ll: -4.0321	mae: 1.2495
Epoch 319, true	ll: -4.0369	mae: 1.2676
Epoch 324, true	ll: -4.0185	mae: 1.2449
Epoch 329, true	ll: -4.0369	mae: 1.2587
Epoch 334, true	ll: -4.0328	mae: 1.2557
Epoch 339, true	ll: -4.0353	mae: 1.2724
Epoch 344, true	ll: -4.0372	mae: 1.26
Epoch 349, true	ll: -4.0413	mae: 1.2721
Epoch 354, true	ll: -4.0227	mae: 1.2692
Epoch 359, true	ll: -4.0442	mae: 1.2832
Epoch 364, true	ll: -4.0402	mae: 1.2534
Epoch 369, true	ll: -4.0522	mae: 1.2472
Epoch 374, true	ll: -4.0306	mae: 1.2627
Epoch 379, true	ll: -4.0484	mae: 1.2532
Epoch 384, true	ll: -4.0323	mae: 1.261
Epoch 389, true	ll: -4.0335	mae: 1.2476
Epoch 394, true	ll: -4.0104	mae: 1.2601
Epoch 399, true	ll: -4.0725	mae: 1.2348
Epoch 404, true	ll: -4.0468	mae: 1.2475
Epoch 409, true	ll: -4.0495	mae: 1.2515
Epoch 414, true	ll: -4.0344	mae: 1.2789
Epoch 419, true	ll: -4.0432	mae: 1.2458
Epoch 424, true	ll: -4.0317	mae: 1.2639
Epoch 429, true	ll: -4.0489	mae: 1.2501
Epoch 434, true	ll: -4.0374	mae: 1.2579
Epoch 439, true	ll: -4.0373	mae: 1.2591
Epoch 444, true	ll: -4.0255	mae: 1.273
Epoch 449, true	ll: -4.0473	mae: 1.248
Epoch 454, true	ll: -4.0158	mae: 1.2569
Epoch 459, true	ll: -4.0117	mae: 1.2764
Epoch 464, true	ll: -4.03	mae: 1.2674
Epoch 469, true	ll: -4.0411	mae: 1.2665
Epoch 474, true	ll: -4.0266	mae: 1.2598
Epoch 479, true	ll: -4.0365	mae: 1.2676
Epoch 484, true	ll: -4.0317	mae: 1.2727
Epoch 489, true	ll: -4.0431	mae: 1.271
Epoch 494, true	ll: -4.0425	mae: 1.2568
Epoch 499, true	ll: -4.0563	mae: 1.2467
Epoch 504, true	ll: -4.0263	mae: 1.2686
Epoch 509, true	ll: -4.0496	mae: 1.2552
Epoch 514, true	ll: -4.0431	mae: 1.266
Epoch 519, true	ll: -4.0444	mae: 1.2511
Epoch 524, true	ll: -4.0299	mae: 1.2646
Epoch 529, true	ll: -4.0492	mae: 1.2498
Epoch 534, true	ll: -4.0437	mae: 1.2629
Epoch 539, true	ll: -4.0469	mae: 1.258
Epoch 544, true	ll: -4.0382	mae: 1.2691
Epoch 549, true	ll: -4.0429	mae: 1.2817
Epoch 554, true	ll: -4.0431	mae: 1.2596
Epoch 559, true	ll: -4.0311	mae: 1.252
Epoch 564, true	ll: -4.0485	mae: 1.2429
Epoch 569, true	ll: -4.041	mae: 1.2656
Epoch 574, true	ll: -4.0477	mae: 1.2562
Epoch 579, true	ll: -4.0422	mae: 1.2544
Epoch 584, true	ll: -4.0355	mae: 1.2611
Epoch 589, true	ll: -4.0385	mae: 1.2531
Epoch 594, true	ll: -4.0533	mae: 1.2518
Epoch 599, true	ll: -4.0539	mae: 1.2928
Epoch 604, true	ll: -4.0393	mae: 1.2633
Epoch 609, true	ll: -4.0529	mae: 1.2447
Epoch 614, true	ll: -4.0403	mae: 1.241
Epoch 619, true	ll: -4.0296	mae: 1.2552
Epoch 624, true	ll: -4.0345	mae: 1.2558
Epoch 629, true	ll: -4.0362	mae: 1.2635
Epoch 634, true	ll: -4.0473	mae: 1.2565
Epoch 639, true	ll: -4.0373	mae: 1.2532
Epoch 644, true	ll: -4.0395	mae: 1.2511
Epoch 649, true	ll: -4.0413	mae: 1.2604
Epoch 654, true	ll: -4.0445	mae: 1.2464
Epoch 659, true	ll: -4.0421	mae: 1.2432
Epoch 664, true	ll: -4.0463	mae: 1.2593
Epoch 669, true	ll: -4.0526	mae: 1.24
Epoch 674, true	ll: -4.0377	mae: 1.2551
Epoch 679, true	ll: -4.0384	mae: 1.2562
Epoch 684, true	ll: -4.037	mae: 1.2428
Epoch 689, true	ll: -4.0115	mae: 1.2565
Epoch 694, true	ll: -4.0315	mae: 1.2608
Epoch 699, true	ll: -4.0312	mae: 1.26
Epoch 704, true	ll: -4.0343	mae: 1.2493
Epoch 709, true	ll: -4.0228	mae: 1.2632
Epoch 714, true	ll: -4.0411	mae: 1.2537
Epoch 719, true	ll: -4.0417	mae: 1.2695
Epoch 724, true	ll: -4.0419	mae: 1.2528
Epoch 729, true	ll: -4.0294	mae: 1.2605
Epoch 734, true	ll: -4.0452	mae: 1.2474
Epoch 739, true	ll: -4.0295	mae: 1.2603
Epoch 744, true	ll: -4.0418	mae: 1.268
Epoch 749, true	ll: -4.0272	mae: 1.254
Epoch 754, true	ll: -4.033	mae: 1.2535
Epoch 759, true	ll: -4.0437	mae: 1.2691
Epoch 764, true	ll: -4.0456	mae: 1.2446
Epoch 769, true	ll: -4.0297	mae: 1.2556
Epoch 774, true	ll: -4.0495	mae: 1.2507
Epoch 779, true	ll: -4.0498	mae: 1.2487
Epoch 784, true	ll: -4.0371	mae: 1.2662
Epoch 789, true	ll: -4.0406	mae: 1.2673
Epoch 794, true	ll: -4.0338	mae: 1.2475
Epoch 799, true	ll: -4.0357	mae: 1.2591
Epoch 804, true	ll: -4.0204	mae: 1.2565
Epoch 809, true	ll: -4.0425	mae: 1.2603
Epoch 814, true	ll: -4.0277	mae: 1.2632
Epoch 819, true	ll: -4.0453	mae: 1.2642
Epoch 824, true	ll: -4.0333	mae: 1.2603
Epoch 829, true	ll: -4.0514	mae: 1.2507
Epoch 834, true	ll: -4.0437	mae: 1.2586
Epoch 839, true	ll: -4.0426	mae: 1.2588
Epoch 844, true	ll: -4.0353	mae: 1.261
Epoch 849, true	ll: -4.0474	mae: 1.2704
Epoch 854, true	ll: -4.0325	mae: 1.267
Epoch 859, true	ll: -4.0324	mae: 1.2525
Epoch 864, true	ll: -4.0365	mae: 1.2534
Epoch 869, true	ll: -4.0361	mae: 1.2575
Epoch 874, true	ll: -4.0532	mae: 1.245
Epoch 879, true	ll: -4.0053	mae: 1.2722
Epoch 884, true	ll: -4.0396	mae: 1.2516
Epoch 889, true	ll: -4.0382	mae: 1.2556
Epoch 894, true	ll: -4.0174	mae: 1.2581
Epoch 899, true	ll: -4.0408	mae: 1.2552
Epoch 904, true	ll: -4.0243	mae: 1.273
Epoch 909, true	ll: -4.0322	mae: 1.2671
Epoch 914, true	ll: -4.0245	mae: 1.2553
Epoch 919, true	ll: -4.0297	mae: 1.2561
Epoch 924, true	ll: -4.0441	mae: 1.257
Epoch 929, true	ll: -4.0308	mae: 1.2761
Epoch 934, true	ll: -4.0412	mae: 1.2501
Epoch 939, true	ll: -4.0349	mae: 1.2626
Epoch 944, true	ll: -4.0418	mae: 1.2546
Epoch 949, true	ll: -4.0542	mae: 1.2455
Epoch 954, true	ll: -4.0356	mae: 1.2543
Epoch 959, true	ll: -4.0377	mae: 1.2464
Epoch 964, true	ll: -4.0449	mae: 1.2571
Epoch 969, true	ll: -4.0429	mae: 1.2541
Epoch 974, true	ll: -4.0281	mae: 1.261
Epoch 979, true	ll: -4.035	mae: 1.2743
Epoch 984, true	ll: -4.0218	mae: 1.2565
Epoch 989, true	ll: -4.0389	mae: 1.2662
Epoch 994, true	ll: -4.042	mae: 1.2551
Epoch 999, true	ll: -4.0428	mae: 1.2637
Kernel Scale: 0.5000000596046448
Test, true	ll: -3.4213	mae: 1.2522
Test, kde	ll: -3.4233	mae: 1.2513
Test, kde	ll: -3.4242	mae: 1.2518
Test, kde	ll: -3.4204	mae: 1.2518
Test, kde	ll: -3.4219	mae: 1.2514
Test, kde	ll: -3.4209	mae: 1.2514
Test, kde	ll: -3.4213	mae: 1.2516
Test, kde	ll: -3.4169	mae: 1.2514
Test, kde	ll: -3.4171	mae: 1.2516
Test, kde	ll: -3.4225	mae: 1.2515
Test, kde	ll: -3.4255	mae: 1.252
Test metrics over 10 seeds
ll: -3.4214±0.0026399
true ll: -3.4213
mae: 1.2516±0.00022779
true mae: 1.2522
