Epoch 4, true	ll: -1.5101	mae: 0.81876
Epoch 9, true	ll: -1.4681	mae: 0.79656
Epoch 14, true	ll: -1.4065	mae: 0.78869
Epoch 19, true	ll: -1.4129	mae: 0.78871
Epoch 24, true	ll: -1.4182	mae: 0.793
Epoch 29, true	ll: -1.4174	mae: 0.80133
Epoch 34, true	ll: -1.3968	mae: 0.79153
Epoch 39, true	ll: -1.3962	mae: 0.80941
Epoch 44, true	ll: -1.4288	mae: 0.90498
Epoch 49, true	ll: -1.4825	mae: 0.86631
Epoch 54, true	ll: -1.4717	mae: 0.80339
Epoch 59, true	ll: -1.3766	mae: 0.79393
Epoch 64, true	ll: -1.4205	mae: 0.84202
Epoch 69, true	ll: -1.453	mae: 0.80596
Epoch 74, true	ll: -1.4395	mae: 0.85867
Epoch 79, true	ll: -1.439	mae: 0.82695
Epoch 84, true	ll: -1.6116	mae: 0.81753
Epoch 89, true	ll: -1.4659	mae: 0.8311
Epoch 94, true	ll: -1.3967	mae: 0.79163
Epoch 99, true	ll: -1.3529	mae: 0.80196
Epoch 104, true	ll: -1.5132	mae: 0.81697
Epoch 109, true	ll: -1.5216	mae: 0.86909
Epoch 114, true	ll: -1.4853	mae: 0.83595
Epoch 119, true	ll: -1.4906	mae: 0.79632
Epoch 124, true	ll: -1.4797	mae: 0.79379
Epoch 129, true	ll: -1.528	mae: 0.82689
Epoch 134, true	ll: -1.4212	mae: 0.79242
Epoch 139, true	ll: -1.4353	mae: 0.79241
Epoch 144, true	ll: -1.4034	mae: 0.78913
Epoch 149, true	ll: -1.484	mae: 0.82836
Epoch 154, true	ll: -1.4807	mae: 0.80685
Epoch 159, true	ll: -1.5319	mae: 0.80457
Epoch 164, true	ll: -1.4851	mae: 0.7985
Epoch 169, true	ll: -1.4586	mae: 0.79553
Epoch 174, true	ll: -1.4224	mae: 0.84256
Epoch 179, true	ll: -1.4859	mae: 0.79334
Epoch 184, true	ll: -1.3968	mae: 0.79024
Epoch 189, true	ll: -1.3932	mae: 0.82927
Epoch 194, true	ll: -1.3791	mae: 0.79726
Epoch 199, true	ll: -1.3023	mae: 0.8037
Epoch 204, true	ll: -1.4646	mae: 0.78958
Epoch 209, true	ll: -1.4148	mae: 0.79105
Epoch 214, true	ll: -1.3151	mae: 0.80045
