Epoch 4, true	ll: -2.3523	mae: 0.83285
Epoch 9, true	ll: -2.4742	mae: 0.80856
Epoch 14, true	ll: -2.4673	mae: 0.84652
Epoch 19, true	ll: -2.4868	mae: 0.85014
Epoch 24, true	ll: -2.4919	mae: 0.83979
Epoch 29, true	ll: -2.4961	mae: 0.81818
Epoch 34, true	ll: -2.4914	mae: 0.84965
Epoch 39, true	ll: -2.4901	mae: 0.84449
Epoch 44, true	ll: -2.4983	mae: 0.8305
Epoch 49, true	ll: -2.4915	mae: 0.8341
Epoch 54, true	ll: -2.4962	mae: 0.8385
Epoch 59, true	ll: -2.4911	mae: 0.8502
Epoch 64, true	ll: -2.4998	mae: 0.83394
Epoch 69, true	ll: -2.5225	mae: 0.81192
Epoch 74, true	ll: -2.5003	mae: 0.84234
Epoch 79, true	ll: -2.5052	mae: 0.83465
Epoch 84, true	ll: -2.5267	mae: 0.89789
Epoch 89, true	ll: -2.4987	mae: 0.83508
Epoch 94, true	ll: -2.5059	mae: 0.83532
Epoch 99, true	ll: -2.5032	mae: 0.82927
Epoch 104, true	ll: -2.5018	mae: 0.83436
Epoch 109, true	ll: -2.5137	mae: 0.82088
Epoch 114, true	ll: -2.5048	mae: 0.83691
Epoch 119, true	ll: -2.5041	mae: 0.83721
Epoch 124, true	ll: -2.5041	mae: 0.86711
Epoch 129, true	ll: -2.5026	mae: 0.83634
Epoch 134, true	ll: -2.499	mae: 0.85137
Epoch 139, true	ll: -2.5054	mae: 0.82745
Epoch 144, true	ll: -2.4974	mae: 0.83462
Epoch 149, true	ll: -2.4957	mae: 0.83834
Epoch 154, true	ll: -2.4916	mae: 0.83729
Epoch 159, true	ll: -2.4943	mae: 0.82584
Epoch 164, true	ll: -2.5059	mae: 0.81881
Epoch 169, true	ll: -2.5061	mae: 0.85462
Epoch 174, true	ll: -2.5098	mae: 0.82094
Epoch 179, true	ll: -2.5005	mae: 0.83964
Epoch 184, true	ll: -2.4953	mae: 0.83874
Epoch 189, true	ll: -2.5044	mae: 0.83478
Epoch 194, true	ll: -2.5091	mae: 0.84008
Epoch 199, true	ll: -2.4941	mae: 0.82688
Epoch 204, true	ll: -2.5011	mae: 0.83132
Epoch 209, true	ll: -2.5072	mae: 0.82538
Epoch 214, true	ll: -2.5005	mae: 0.83073
Epoch 219, true	ll: -2.5002	mae: 0.83395
Epoch 224, true	ll: -2.5135	mae: 0.82434
Epoch 229, true	ll: -2.5001	mae: 0.84055
Epoch 234, true	ll: -2.5124	mae: 0.82015
Epoch 239, true	ll: -2.4971	mae: 0.83534
Epoch 244, true	ll: -2.5083	mae: 0.83229
Epoch 249, true	ll: -2.4988	mae: 0.82777
Epoch 254, true	ll: -2.5018	mae: 0.83273
Epoch 259, true	ll: -2.504	mae: 0.836
Epoch 264, true	ll: -2.508	mae: 0.83942
Epoch 269, true	ll: -2.5112	mae: 0.82773
Epoch 274, true	ll: -2.5061	mae: 0.84036
Epoch 279, true	ll: -2.5084	mae: 0.82692
Epoch 284, true	ll: -2.5069	mae: 0.8382
Epoch 289, true	ll: -2.5139	mae: 0.82201
Epoch 294, true	ll: -2.5037	mae: 0.83709
Epoch 299, true	ll: -2.5122	mae: 0.82283
Epoch 304, true	ll: -2.515	mae: 0.82193
Epoch 309, true	ll: -2.5108	mae: 0.84266
Epoch 314, true	ll: -2.4982	mae: 0.83067
Epoch 319, true	ll: -2.5024	mae: 0.85941
Epoch 324, true	ll: -2.4931	mae: 0.82378
Epoch 329, true	ll: -2.5081	mae: 0.8481
Epoch 334, true	ll: -2.509	mae: 0.837
Epoch 339, true	ll: -2.4888	mae: 0.85506
Epoch 344, true	ll: -2.5077	mae: 0.83858
Epoch 349, true	ll: -2.5028	mae: 0.86132
Epoch 354, true	ll: -2.511	mae: 0.85229
Epoch 359, true	ll: -2.5087	mae: 0.8601
Epoch 364, true	ll: -2.5074	mae: 0.835
Epoch 369, true	ll: -2.5147	mae: 0.82605
Epoch 374, true	ll: -2.5107	mae: 0.82781
Epoch 379, true	ll: -2.5132	mae: 0.82795
Epoch 384, true	ll: -2.5039	mae: 0.832
Epoch 389, true	ll: -2.5152	mae: 0.81982
Epoch 394, true	ll: -2.5117	mae: 0.82245
Epoch 399, true	ll: -2.5162	mae: 0.82109
Epoch 404, true	ll: -2.5055	mae: 0.82838
