Epoch 4, true	ll: -15.039	mae: 2.1433
Epoch 9, true	ll: -15.331	mae: 2.0396
Epoch 14, true	ll: -15.518	mae: 2.0642
Epoch 19, true	ll: -15.731	mae: 2.1448
Epoch 24, true	ll: -15.888	mae: 2.115
Epoch 29, true	ll: -16.006	mae: 2.1004
Epoch 34, true	ll: -16.08	mae: 2.0687
Epoch 39, true	ll: -15.889	mae: 2.1431
Epoch 44, true	ll: -15.981	mae: 2.076
Epoch 49, true	ll: -16.063	mae: 2.1054
Epoch 54, true	ll: -16.184	mae: 2.0807
Epoch 59, true	ll: -15.928	mae: 2.1017
Epoch 64, true	ll: -16.098	mae: 2.0438
Epoch 69, true	ll: -16.038	mae: 2.1484
Epoch 74, true	ll: -16.195	mae: 2.015
Epoch 79, true	ll: -16.028	mae: 2.1033
Epoch 84, true	ll: -16.061	mae: 2.1508
Epoch 89, true	ll: -16.083	mae: 2.1734
Epoch 94, true	ll: -16.108	mae: 2.0969
Epoch 99, true	ll: -16.196	mae: 2.1153
Epoch 104, true	ll: -16.177	mae: 2.1173
Epoch 109, true	ll: -16.158	mae: 2.0635
Epoch 114, true	ll: -15.884	mae: 2.1555
Epoch 119, true	ll: -16.138	mae: 2.0986
Epoch 124, true	ll: -16.147	mae: 2.0784
Epoch 129, true	ll: -16.29	mae: 2.0378
Epoch 134, true	ll: -16.051	mae: 2.112
Epoch 139, true	ll: -16.172	mae: 2.0723
Epoch 144, true	ll: -16.117	mae: 2.0931
Epoch 149, true	ll: -16.192	mae: 2.075
Epoch 154, true	ll: -16.155	mae: 2.0701
Epoch 159, true	ll: -16.167	mae: 2.0923
Epoch 164, true	ll: -16.206	mae: 2.0601
Epoch 169, true	ll: -16.088	mae: 2.1037
Epoch 174, true	ll: -16.255	mae: 2.0712
Epoch 179, true	ll: -16.119	mae: 2.1243
Epoch 184, true	ll: -16.078	mae: 2.1578
Epoch 189, true	ll: -16.196	mae: 2.0885
Epoch 194, true	ll: -16.175	mae: 2.1267
Epoch 199, true	ll: -16.256	mae: 2.0823
Epoch 204, true	ll: -16.177	mae: 2.0973
Epoch 209, true	ll: -16.259	mae: 2.0425
Epoch 214, true	ll: -16.131	mae: 2.0955
Epoch 219, true	ll: -16.173	mae: 2.1173
Epoch 224, true	ll: -16.207	mae: 2.0473
Epoch 229, true	ll: -16.212	mae: 2.0891
Epoch 234, true	ll: -16.217	mae: 2.097
Epoch 239, true	ll: -16.168	mae: 2.068
Epoch 244, true	ll: -15.972	mae: 2.1264
Epoch 249, true	ll: -16.183	mae: 2.0785
Epoch 254, true	ll: -16.036	mae: 2.1703
Epoch 259, true	ll: -16.088	mae: 2.0979
Epoch 264, true	ll: -16.052	mae: 2.1574
Epoch 269, true	ll: -16.256	mae: 2.0938
Epoch 274, true	ll: -16.215	mae: 2.1076
Epoch 279, true	ll: -16.207	mae: 2.0771
Epoch 284, true	ll: -16.191	mae: 2.1217
Epoch 289, true	ll: -16.192	mae: 2.0743
Epoch 294, true	ll: -16.065	mae: 2.1096
Epoch 299, true	ll: -16.026	mae: 2.1025
Epoch 304, true	ll: -16.25	mae: 2.0615
Epoch 309, true	ll: -16.215	mae: 2.0747
Epoch 314, true	ll: -16.25	mae: 2.0434
Epoch 319, true	ll: -16.183	mae: 2.0783
Epoch 324, true	ll: -16.256	mae: 2.0979
Epoch 329, true	ll: -16.085	mae: 2.1539
Epoch 334, true	ll: -16.271	mae: 2.0743
Epoch 339, true	ll: -16.147	mae: 2.1653
Epoch 344, true	ll: -16.108	mae: 2.0786
Epoch 349, true	ll: -16.243	mae: 2.0879
Epoch 354, true	ll: -16.154	mae: 2.1273
Epoch 359, true	ll: -16.307	mae: 2.0655
Epoch 364, true	ll: -16.167	mae: 2.1051
Epoch 369, true	ll: -16.251	mae: 2.122
Epoch 374, true	ll: -16.11	mae: 2.067
Epoch 379, true	ll: -16.26	mae: 2.0791
Epoch 384, true	ll: -16.295	mae: 2.0965
Epoch 389, true	ll: -16.252	mae: 2.0655
Epoch 394, true	ll: -16.203	mae: 2.0785
Epoch 399, true	ll: -16.297	mae: 2.0844
Epoch 404, true	ll: -16.328	mae: 2.0504
Epoch 409, true	ll: -16.055	mae: 2.0697
Epoch 414, true	ll: -16.176	mae: 2.132
Epoch 419, true	ll: -16.234	mae: 2.1035
Epoch 424, true	ll: -16.19	mae: 2.1703
Epoch 429, true	ll: -16.262	mae: 2.058
Epoch 434, true	ll: -16.299	mae: 2.0995
Epoch 439, true	ll: -16.15	mae: 2.0991
Epoch 444, true	ll: -16.208	mae: 2.0571
Epoch 449, true	ll: -16.09	mae: 2.1133
Epoch 454, true	ll: -16.21	mae: 2.0872
Epoch 459, true	ll: -16.223	mae: 2.1087
Epoch 464, true	ll: -16.135	mae: 2.1373
Epoch 469, true	ll: -16.188	mae: 2.1334
Epoch 474, true	ll: -16.265	mae: 2.0946
Epoch 479, true	ll: -16.197	mae: 2.047
Epoch 484, true	ll: -16.272	mae: 2.1002
Epoch 489, true	ll: -16.282	mae: 2.0906
Epoch 494, true	ll: -16.178	mae: 2.1137
Epoch 499, true	ll: -16.19	mae: 2.064
Epoch 504, true	ll: -16.108	mae: 2.1452
Epoch 509, true	ll: -15.956	mae: 2.1098
Epoch 514, true	ll: -16.127	mae: 2.1474
Epoch 519, true	ll: -16.195	mae: 2.1063
Epoch 524, true	ll: -16.205	mae: 2.1157
Epoch 529, true	ll: -16.235	mae: 2.0857
Epoch 534, true	ll: -16.1	mae: 2.141
Epoch 539, true	ll: -16.302	mae: 2.1017
Epoch 544, true	ll: -16.183	mae: 2.0903
Epoch 549, true	ll: -16.222	mae: 2.1265
Epoch 554, true	ll: -16.26	mae: 2.1163
Epoch 559, true	ll: -16.288	mae: 2.076
Epoch 564, true	ll: -16.232	mae: 2.1102
Epoch 569, true	ll: -16.169	mae: 2.1132
Epoch 574, true	ll: -16.192	mae: 2.1422
Epoch 579, true	ll: -16.153	mae: 2.1198
Epoch 584, true	ll: -16.259	mae: 2.0866
Epoch 589, true	ll: -16.301	mae: 2.0678
Epoch 594, true	ll: -16.205	mae: 2.056
Epoch 599, true	ll: -16.124	mae: 2.1503
Epoch 604, true	ll: -16.209	mae: 2.1444
Epoch 609, true	ll: -16.205	mae: 2.0986
Epoch 614, true	ll: -16.322	mae: 2.0941
Epoch 619, true	ll: -16.178	mae: 2.1196
Epoch 624, true	ll: -16.284	mae: 2.0865
Epoch 629, true	ll: -16.217	mae: 2.1152
Epoch 634, true	ll: -16.14	mae: 2.1392
Epoch 639, true	ll: -16.152	mae: 2.1161
Epoch 644, true	ll: -16.149	mae: 2.098
Epoch 649, true	ll: -16.204	mae: 2.0927
Epoch 654, true	ll: -16.01	mae: 2.1061
Epoch 659, true	ll: -16.293	mae: 2.0628
Epoch 664, true	ll: -16.26	mae: 2.1077
Epoch 669, true	ll: -16.26	mae: 2.0619
Epoch 674, true	ll: -16.263	mae: 2.1005
Epoch 679, true	ll: -16.254	mae: 2.1103
Epoch 684, true	ll: -16.048	mae: 2.0944
Epoch 689, true	ll: -16.158	mae: 2.0875
Epoch 694, true	ll: -16.251	mae: 2.1123
Epoch 699, true	ll: -16.236	mae: 2.1109
Epoch 704, true	ll: -16.253	mae: 2.0898
Epoch 709, true	ll: -16.257	mae: 2.1093
Epoch 714, true	ll: -16.2	mae: 2.1061
Epoch 719, true	ll: -16.302	mae: 2.0914
Epoch 724, true	ll: -16.292	mae: 2.1034
Epoch 729, true	ll: -16.218	mae: 2.111
Epoch 734, true	ll: -16.163	mae: 2.1086
Epoch 739, true	ll: -16.193	mae: 2.0946
Epoch 744, true	ll: -16.243	mae: 2.1162
Epoch 749, true	ll: -16.102	mae: 2.1017
Epoch 754, true	ll: -16.259	mae: 2.1203
Epoch 759, true	ll: -16.309	mae: 2.064
Epoch 764, true	ll: -16.256	mae: 2.0876
Epoch 769, true	ll: -16.237	mae: 2.1162
Epoch 774, true	ll: -16.337	mae: 2.0739
Epoch 779, true	ll: -16.335	mae: 2.0599
Epoch 784, true	ll: -16.197	mae: 2.1243
Epoch 789, true	ll: -16.238	mae: 2.1259
Epoch 794, true	ll: -16.263	mae: 2.0846
Epoch 799, true	ll: -16.204	mae: 2.0946
Epoch 804, true	ll: -16.193	mae: 2.1146
Epoch 809, true	ll: -16.231	mae: 2.1008
Epoch 814, true	ll: -16.154	mae: 2.116
Epoch 819, true	ll: -16.301	mae: 2.0785
Epoch 824, true	ll: -16.301	mae: 2.0825
Epoch 829, true	ll: -16.247	mae: 2.0727
Epoch 834, true	ll: -16.218	mae: 2.1384
Epoch 839, true	ll: -16.237	mae: 2.0981
Epoch 844, true	ll: -16.162	mae: 2.0956
Epoch 849, true	ll: -16.271	mae: 2.0816
Epoch 854, true	ll: -16.206	mae: 2.0909
Epoch 859, true	ll: -16.221	mae: 2.1515
Epoch 864, true	ll: -16.259	mae: 2.0904
Epoch 869, true	ll: -16.234	mae: 2.0828
Epoch 874, true	ll: -16.262	mae: 2.1065
Epoch 879, true	ll: -16.242	mae: 2.1217
Epoch 884, true	ll: -16.192	mae: 2.0961
Epoch 889, true	ll: -16.212	mae: 2.1006
Epoch 894, true	ll: -16.202	mae: 2.0979
Epoch 899, true	ll: -16.273	mae: 2.0899
Epoch 904, true	ll: -16.296	mae: 2.0773
Epoch 909, true	ll: -16.268	mae: 2.0707
Epoch 914, true	ll: -16.138	mae: 2.1301
Epoch 919, true	ll: -16.202	mae: 2.0925
Epoch 924, true	ll: -16.119	mae: 2.0847
Epoch 929, true	ll: -16.247	mae: 2.1252
Epoch 934, true	ll: -16.185	mae: 2.084
Epoch 939, true	ll: -16.188	mae: 2.1211
Epoch 944, true	ll: -16.283	mae: 2.0959
Epoch 949, true	ll: -16.272	mae: 2.0883
Epoch 954, true	ll: -16.283	mae: 2.1145
Epoch 959, true	ll: -16.138	mae: 2.1122
Epoch 964, true	ll: -16.242	mae: 2.0854
Epoch 969, true	ll: -16.217	mae: 2.1048
Epoch 974, true	ll: -16.024	mae: 2.1111
Epoch 979, true	ll: -16.211	mae: 2.1401
Epoch 984, true	ll: -16.231	mae: 2.0873
Epoch 989, true	ll: -16.166	mae: 2.0862
Epoch 994, true	ll: -16.172	mae: 2.1059
Epoch 999, true	ll: -16.19	mae: 2.0961
Kernel Scale: 0.5000000596046448
Test, true	ll: -11.915	mae: 2.0426
Test, kde	ll: -11.902	mae: 2.0421
Test, kde	ll: -11.915	mae: 2.0423
Test, kde	ll: -11.908	mae: 2.0419
Test, kde	ll: -11.906	mae: 2.0423
Test, kde	ll: -11.909	mae: 2.0421
Test, kde	ll: -11.904	mae: 2.0425
Test, kde	ll: -11.904	mae: 2.0423
