Epoch 4, true	ll: -1.848	mae: 1.2053
Epoch 9, true	ll: -1.7988	mae: 1.1847
Epoch 14, true	ll: -1.7919	mae: 1.1858
Epoch 19, true	ll: -1.7627	mae: 1.1846
Epoch 24, true	ll: -1.7435	mae: 1.1799
Epoch 29, true	ll: -1.8414	mae: 1.1857
Epoch 34, true	ll: -1.7615	mae: 1.1909
Epoch 39, true	ll: -1.7266	mae: 1.1826
Epoch 44, true	ll: -1.6197	mae: 1.1968
Epoch 49, true	ll: -1.7279	mae: 1.1836
Epoch 54, true	ll: -1.8503	mae: 1.1876
Epoch 59, true	ll: -1.7442	mae: 1.1807
Epoch 64, true	ll: -1.7952	mae: 1.1797
Epoch 69, true	ll: -1.7199	mae: 1.1825
Epoch 74, true	ll: -1.7804	mae: 1.1826
Epoch 79, true	ll: -1.6697	mae: 1.1863
Epoch 84, true	ll: -1.6703	mae: 1.1816
Epoch 89, true	ll: -1.6887	mae: 1.1833
Epoch 94, true	ll: -1.7016	mae: 1.1825
Epoch 99, true	ll: -1.716	mae: 1.1822
Epoch 104, true	ll: -1.8531	mae: 1.1799
Epoch 109, true	ll: -1.7404	mae: 1.1826
Epoch 114, true	ll: -1.674	mae: 1.1814
Epoch 119, true	ll: -1.8382	mae: 1.1825
Epoch 124, true	ll: -1.7409	mae: 1.1796
Epoch 129, true	ll: -1.8288	mae: 1.1799
Epoch 134, true	ll: -1.7368	mae: 1.1807
Epoch 139, true	ll: -1.7621	mae: 1.1811
Epoch 144, true	ll: -1.6463	mae: 1.1822
Epoch 149, true	ll: -1.7029	mae: 1.1796
Epoch 154, true	ll: -1.8511	mae: 1.183
Epoch 159, true	ll: -1.7637	mae: 1.1786
Epoch 164, true	ll: -1.8498	mae: 1.1836
Epoch 169, true	ll: -1.6257	mae: 1.1807
Epoch 174, true	ll: -1.7314	mae: 1.1802
Epoch 179, true	ll: -1.8461	mae: 1.1794
Epoch 184, true	ll: -1.7418	mae: 1.1804
Epoch 189, true	ll: -1.8006	mae: 1.1787
Epoch 194, true	ll: -1.7831	mae: 1.181
Epoch 199, true	ll: -1.7484	mae: 1.1831
Epoch 204, true	ll: -1.7782	mae: 1.1892
Epoch 209, true	ll: -1.7619	mae: 1.1768
Epoch 214, true	ll: -1.7487	mae: 1.1797
Epoch 219, true	ll: -1.752	mae: 1.1803
Epoch 224, true	ll: -1.7627	mae: 1.1785
Epoch 229, true	ll: -1.7824	mae: 1.1884
Epoch 234, true	ll: -1.651	mae: 1.1807
Epoch 239, true	ll: -1.8188	mae: 1.1786
Epoch 244, true	ll: -1.7881	mae: 1.1823
Epoch 249, true	ll: -1.8208	mae: 1.1811
Epoch 254, true	ll: -1.8162	mae: 1.1796
Epoch 259, true	ll: -1.7575	mae: 1.1807
Epoch 264, true	ll: -1.7856	mae: 1.181
Epoch 269, true	ll: -1.7597	mae: 1.1789
Epoch 274, true	ll: -1.7565	mae: 1.1822
Epoch 279, true	ll: -1.815	mae: 1.1828
Epoch 284, true	ll: -1.7664	mae: 1.1847
Epoch 289, true	ll: -1.8287	mae: 1.1835
Epoch 294, true	ll: -1.7511	mae: 1.1858
Epoch 299, true	ll: -1.7908	mae: 1.1836
Epoch 304, true	ll: -1.7446	mae: 1.1803
Epoch 309, true	ll: -1.7176	mae: 1.2002
Epoch 314, true	ll: -1.7615	mae: 1.1824
Epoch 319, true	ll: -1.7582	mae: 1.1966
Epoch 324, true	ll: -1.715	mae: 1.2114
Epoch 329, true	ll: -1.7256	mae: 1.1856
Epoch 334, true	ll: -1.7962	mae: 1.1789
Epoch 339, true	ll: -1.8052	mae: 1.1859
Epoch 344, true	ll: -1.7658	mae: 1.1797
Epoch 349, true	ll: -1.7833	mae: 1.1924
Epoch 354, true	ll: -1.7448	mae: 1.1818
Epoch 359, true	ll: -1.712	mae: 1.1817
Epoch 364, true	ll: -2.097	mae: 1.1865
Epoch 369, true	ll: -1.7832	mae: 1.1817
Epoch 374, true	ll: -1.7927	mae: 1.1882
Epoch 379, true	ll: -2.2042	mae: 1.4583
Epoch 384, true	ll: -2.2903	mae: 1.4431
Epoch 389, true	ll: -1.758	mae: 1.2188
Epoch 394, true	ll: -3.9285	mae: 1.8777
Epoch 399, true	ll: -7.7935	mae: 2.3677
Epoch 404, true	ll: -3.3248	mae: 2.0689
Epoch 409, true	ll: -2.5419	mae: 1.8424
Epoch 414, true	ll: -1.9501	mae: 1.4236
Epoch 419, true	ll: -2.0992	mae: 1.5158
Epoch 424, true	ll: -6.261	mae: 2.6524
Epoch 429, true	ll: -2.606	mae: 2.1596
Epoch 434, true	ll: -1.8635	mae: 2.1303
Epoch 439, true	ll: -2.0415	mae: 1.3728
Epoch 444, true	ll: -1.9137	mae: 1.2433
Epoch 449, true	ll: -2.3807	mae: 1.8779
Epoch 454, true	ll: -2.238	mae: 1.7138
Epoch 459, true	ll: -1.904	mae: 1.2913
Epoch 464, true	ll: -2.1246	mae: 1.5648
Epoch 469, true	ll: -1.9837	mae: 1.3604
Epoch 474, true	ll: -1.9251	mae: 1.2284
Epoch 479, true	ll: -2.2772	mae: 1.6775
Epoch 484, true	ll: -2.2922	mae: 1.6904
Epoch 489, true	ll: -2.3892	mae: 1.7056
Epoch 494, true	ll: -1.9988	mae: 1.4581
Epoch 499, true	ll: -1.9714	mae: 1.384
Epoch 504, true	ll: -1.963	mae: 1.4039
Epoch 509, true	ll: -1.9935	mae: 1.514
Epoch 514, true	ll: -1.8216	mae: 1.257
Epoch 519, true	ll: -2.094	mae: 1.4686
Epoch 524, true	ll: -2.3261	mae: 1.6885
Epoch 529, true	ll: -2.3964	mae: 1.7334
Epoch 534, true	ll: -8.2349	mae: 2.5191
Epoch 539, true	ll: -2.2761	mae: 1.8101
Epoch 544, true	ll: -3.3875	mae: 2.1112
Epoch 549, true	ll: -2.3804	mae: 1.7727
Epoch 554, true	ll: -2.2057	mae: 1.6761
Epoch 559, true	ll: -2.2745	mae: 1.7339
Epoch 564, true	ll: -2.4416	mae: 1.7634
Epoch 569, true	ll: -2.3286	mae: 1.7199
Epoch 574, true	ll: -2.6674	mae: 1.9108
Epoch 579, true	ll: -3.4887	mae: 2.1474
Epoch 584, true	ll: -3.7101	mae: 2.4053
Epoch 589, true	ll: -5.2083	mae: 2.6243
Epoch 594, true	ll: -3.0873	mae: 2.3079
Epoch 599, true	ll: -2.8761	mae: 2.263
Epoch 604, true	ll: -2.4092	mae: 1.8666
Epoch 609, true	ll: -2.6098	mae: 2.0052
Epoch 614, true	ll: -2.5371	mae: 2.0016
Epoch 619, true	ll: -3.7436	mae: 2.4947
Epoch 624, true	ll: -5.1076	mae: 2.5306
Epoch 629, true	ll: -2.8623	mae: 2.1834
Epoch 634, true	ll: -2.4394	mae: 1.9371
Epoch 639, true	ll: -3.4727	mae: 2.1431
Epoch 644, true	ll: -3.67	mae: 2.0869
Epoch 649, true	ll: -2.9379	mae: 1.9821
Epoch 654, true	ll: -2.7106	mae: 1.9188
Epoch 659, true	ll: -2.6643	mae: 1.8358
Epoch 664, true	ll: -2.781	mae: 1.8269
Epoch 669, true	ll: -5.4307	mae: 2.2072
Epoch 674, true	ll: -7.1329	mae: 2.4007
Epoch 679, true	ll: -2.7551	mae: 1.8628
Epoch 684, true	ll: -3.2263	mae: 1.8934
Epoch 689, true	ll: -2.6021	mae: 1.9934
Epoch 694, true	ll: -2.1765	mae: 1.6466
Epoch 699, true	ll: -2.0722	mae: 1.5213
Epoch 704, true	ll: -1.956	mae: 1.4306
Epoch 709, true	ll: -2.4345	mae: 1.4828
Epoch 714, true	ll: -2.1734	mae: 1.4174
Epoch 719, true	ll: -1.8395	mae: 1.2376
Epoch 724, true	ll: -1.8586	mae: 1.2209
Epoch 729, true	ll: -1.9117	mae: 1.2196
Epoch 734, true	ll: -1.8668	mae: 1.2432
Epoch 739, true	ll: -1.8384	mae: 1.2601
Epoch 744, true	ll: -1.8004	mae: 1.2054
Epoch 749, true	ll: -1.8308	mae: 1.2403
Epoch 754, true	ll: -1.8206	mae: 1.2404
Epoch 759, true	ll: -1.9633	mae: 1.3748
Epoch 764, true	ll: -1.8415	mae: 1.2695
Epoch 769, true	ll: -1.8376	mae: 1.2309
Epoch 774, true	ll: -1.8714	mae: 1.2522
Epoch 779, true	ll: -1.9064	mae: 1.3345
Epoch 784, true	ll: -1.9467	mae: 1.3397
Epoch 789, true	ll: -2.0057	mae: 1.4045
Epoch 794, true	ll: -2.3192	mae: 1.5666
Epoch 799, true	ll: -2.2115	mae: 1.5803
Epoch 804, true	ll: -1.969	mae: 1.4268
Epoch 809, true	ll: -1.9932	mae: 1.4401
Epoch 814, true	ll: -2.1955	mae: 1.5419
Epoch 819, true	ll: -2.1887	mae: 1.5174
Epoch 824, true	ll: -2.2308	mae: 1.5301
Epoch 829, true	ll: -2.4229	mae: 1.548
Epoch 834, true	ll: -3.9544	mae: 1.7876
Epoch 839, true	ll: -2.979	mae: 2.0464
Epoch 844, true	ll: -5.6012	mae: 2.8316
Epoch 849, true	ll: -3.2179	mae: 2.6436
Epoch 854, true	ll: -3.2767	mae: 2.8574
Epoch 859, true	ll: -8.5769	mae: 3.6106
Epoch 864, true	ll: -9.3954	mae: 3.5318
Epoch 869, true	ll: -3.6332	mae: 3.2542
Epoch 874, true	ll: -3.0512	mae: 2.9253
Epoch 879, true	ll: -5.1322	mae: 3.93
Epoch 884, true	ll: -8.1424	mae: 4.5611
Epoch 889, true	ll: -2.7793	mae: 1.6131
Epoch 894, true	ll: -3.0159	mae: 1.9866
Epoch 899, true	ll: -3.0216	mae: 1.7988
