Epoch 4, true	ll: -4.2796	mae: 1.283
Epoch 9, true	ll: -4.5903	mae: 1.2231
Epoch 14, true	ll: -4.5886	mae: 1.2521
Epoch 19, true	ll: -4.643	mae: 1.2967
Epoch 24, true	ll: -4.6646	mae: 1.2809
Epoch 29, true	ll: -4.6754	mae: 1.2577
Epoch 34, true	ll: -4.6868	mae: 1.253
Epoch 39, true	ll: -4.6732	mae: 1.2585
Epoch 44, true	ll: -4.6644	mae: 1.2559
Epoch 49, true	ll: -4.678	mae: 1.2571
Epoch 54, true	ll: -4.6682	mae: 1.2925
Epoch 59, true	ll: -4.6677	mae: 1.2979
Epoch 64, true	ll: -4.6926	mae: 1.2607
Epoch 69, true	ll: -4.7146	mae: 1.2562
Epoch 74, true	ll: -4.6655	mae: 1.2845
Epoch 79, true	ll: -4.6988	mae: 1.2499
Epoch 84, true	ll: -4.7107	mae: 1.3054
Epoch 89, true	ll: -4.6872	mae: 1.2628
Epoch 94, true	ll: -4.7189	mae: 1.2658
Epoch 99, true	ll: -4.7035	mae: 1.2652
Epoch 104, true	ll: -4.6944	mae: 1.2622
Epoch 109, true	ll: -4.7183	mae: 1.2659
Epoch 114, true	ll: -4.7032	mae: 1.2529
Epoch 119, true	ll: -4.6913	mae: 1.2671
Epoch 124, true	ll: -4.6926	mae: 1.2843
Epoch 129, true	ll: -4.7086	mae: 1.2947
Epoch 134, true	ll: -4.7151	mae: 1.2926
Epoch 139, true	ll: -4.698	mae: 1.2805
Epoch 144, true	ll: -4.7142	mae: 1.2609
Epoch 149, true	ll: -4.7104	mae: 1.2704
Epoch 154, true	ll: -4.6915	mae: 1.2818
Epoch 159, true	ll: -4.7141	mae: 1.2959
Epoch 164, true	ll: -4.7006	mae: 1.2446
Epoch 169, true	ll: -4.7129	mae: 1.3036
Epoch 174, true	ll: -4.6965	mae: 1.2584
Epoch 179, true	ll: -4.7117	mae: 1.2827
Epoch 184, true	ll: -4.7011	mae: 1.2724
Epoch 189, true	ll: -4.7087	mae: 1.2877
Epoch 194, true	ll: -4.7215	mae: 1.2653
Epoch 199, true	ll: -4.6999	mae: 1.2711
Epoch 204, true	ll: -4.7249	mae: 1.2414
Epoch 209, true	ll: -4.7065	mae: 1.2637
Epoch 214, true	ll: -4.7103	mae: 1.2645
Epoch 219, true	ll: -4.7141	mae: 1.2629
Epoch 224, true	ll: -4.7306	mae: 1.2515
