Epoch 4, true	ll: -1.8734	mae: 0.83707
Epoch 9, true	ll: -1.9231	mae: 0.81959
Epoch 14, true	ll: -1.926	mae: 0.81951
Epoch 19, true	ll: -1.9251	mae: 0.83802
Epoch 24, true	ll: -1.9271	mae: 0.83129
Epoch 29, true	ll: -1.9281	mae: 0.83405
Epoch 34, true	ll: -1.9291	mae: 0.83627
Epoch 39, true	ll: -1.9325	mae: 0.825
Epoch 44, true	ll: -1.9277	mae: 0.8238
Epoch 49, true	ll: -1.9324	mae: 0.83024
Epoch 54, true	ll: -1.9334	mae: 0.82705
Epoch 59, true	ll: -1.9319	mae: 0.82877
Epoch 64, true	ll: -1.933	mae: 0.82574
Epoch 69, true	ll: -1.9343	mae: 0.82948
Epoch 74, true	ll: -1.9342	mae: 0.82477
Epoch 79, true	ll: -1.9332	mae: 0.84321
Epoch 84, true	ll: -1.9407	mae: 0.84988
Epoch 89, true	ll: -1.933	mae: 0.83132
Epoch 94, true	ll: -1.9376	mae: 0.84651
Epoch 99, true	ll: -1.9349	mae: 0.83214
Epoch 104, true	ll: -1.9342	mae: 0.82998
Epoch 109, true	ll: -1.9362	mae: 0.82781
Epoch 114, true	ll: -1.9354	mae: 0.83052
Epoch 119, true	ll: -1.9325	mae: 0.82677
Epoch 124, true	ll: -1.9268	mae: 0.82771
Epoch 129, true	ll: -1.9331	mae: 0.82739
Epoch 134, true	ll: -1.9343	mae: 0.83821
Epoch 139, true	ll: -1.93	mae: 0.83473
Epoch 144, true	ll: -1.9366	mae: 0.84901
Epoch 149, true	ll: -1.9343	mae: 0.83802
Epoch 154, true	ll: -1.9329	mae: 0.82958
Epoch 159, true	ll: -1.933	mae: 0.84024
Epoch 164, true	ll: -1.9402	mae: 0.82351
Epoch 169, true	ll: -1.9361	mae: 0.8269
Epoch 174, true	ll: -1.9342	mae: 0.83243
Epoch 179, true	ll: -1.9349	mae: 0.82747
Epoch 184, true	ll: -1.932	mae: 0.83303
Epoch 189, true	ll: -1.9374	mae: 0.83895
Epoch 194, true	ll: -1.933	mae: 0.82937
Epoch 199, true	ll: -1.9327	mae: 0.82824
Epoch 204, true	ll: -1.9362	mae: 0.8249
Epoch 209, true	ll: -1.9365	mae: 0.82378
Epoch 214, true	ll: -1.932	mae: 0.84485
Epoch 219, true	ll: -1.942	mae: 0.82042
Epoch 224, true	ll: -1.9334	mae: 0.82568
Epoch 229, true	ll: -1.944	mae: 0.8512
Epoch 234, true	ll: -1.9325	mae: 0.83785
Epoch 239, true	ll: -1.9297	mae: 0.84078
Epoch 244, true	ll: -1.9366	mae: 0.83092
Epoch 249, true	ll: -1.9389	mae: 0.81893
Epoch 254, true	ll: -1.9357	mae: 0.83092
Epoch 259, true	ll: -1.9316	mae: 0.83425
Epoch 264, true	ll: -1.935	mae: 0.82891
Epoch 269, true	ll: -1.9369	mae: 0.83967
Epoch 274, true	ll: -1.9363	mae: 0.83072
Epoch 279, true	ll: -1.9334	mae: 0.8334
Epoch 284, true	ll: -1.9329	mae: 0.83289
Epoch 289, true	ll: -1.9349	mae: 0.83229
Epoch 294, true	ll: -1.9412	mae: 0.84638
Epoch 299, true	ll: -1.9326	mae: 0.83057
Epoch 304, true	ll: -1.9345	mae: 0.83331
Epoch 309, true	ll: -1.9324	mae: 0.83554
Epoch 314, true	ll: -1.9345	mae: 0.83036
Epoch 319, true	ll: -1.935	mae: 0.84301
Epoch 324, true	ll: -1.9366	mae: 0.8366
Epoch 329, true	ll: -1.9365	mae: 0.83122
Epoch 334, true	ll: -1.9395	mae: 0.82317
Epoch 339, true	ll: -1.9339	mae: 0.83126
Epoch 344, true	ll: -1.9327	mae: 0.83697
Epoch 349, true	ll: -1.9361	mae: 0.82562
Epoch 354, true	ll: -1.9374	mae: 0.82679
Epoch 359, true	ll: -1.9334	mae: 0.84492
Epoch 364, true	ll: -1.9367	mae: 0.83822
Epoch 369, true	ll: -1.9336	mae: 0.82405
Epoch 374, true	ll: -1.937	mae: 0.82403
Epoch 379, true	ll: -1.9398	mae: 0.8443
Epoch 384, true	ll: -1.9343	mae: 0.84217
Epoch 389, true	ll: -1.9347	mae: 0.83405
Epoch 394, true	ll: -1.9361	mae: 0.83158
Epoch 399, true	ll: -1.9294	mae: 0.83701
Epoch 404, true	ll: -1.938	mae: 0.84167
Epoch 409, true	ll: -1.934	mae: 0.83421
Epoch 414, true	ll: -1.936	mae: 0.84333
Epoch 419, true	ll: -1.9339	mae: 0.83617
Epoch 424, true	ll: -1.9369	mae: 0.82858
Epoch 429, true	ll: -1.9358	mae: 0.82557
Epoch 434, true	ll: -1.9352	mae: 0.83209
Epoch 439, true	ll: -1.9372	mae: 0.84173
Epoch 444, true	ll: -1.9333	mae: 0.83401
Epoch 449, true	ll: -1.935	mae: 0.83358
Epoch 454, true	ll: -1.937	mae: 0.83132
Epoch 459, true	ll: -1.9361	mae: 0.82808
Epoch 464, true	ll: -1.9342	mae: 0.83342
Epoch 469, true	ll: -1.9328	mae: 0.8357
Epoch 474, true	ll: -1.9349	mae: 0.83738
Epoch 479, true	ll: -1.9354	mae: 0.83926
Epoch 484, true	ll: -1.9364	mae: 0.8305
Epoch 489, true	ll: -1.9347	mae: 0.84139
Epoch 494, true	ll: -1.9369	mae: 0.83327
Epoch 499, true	ll: -1.9336	mae: 0.83954
Epoch 504, true	ll: -1.9349	mae: 0.8298
Epoch 509, true	ll: -1.9377	mae: 0.82324
Epoch 514, true	ll: -1.9377	mae: 0.83155
Epoch 519, true	ll: -1.9372	mae: 0.83461
Epoch 524, true	ll: -1.937	mae: 0.83002
Epoch 529, true	ll: -1.9358	mae: 0.84091
Epoch 534, true	ll: -1.94	mae: 0.8439
Epoch 539, true	ll: -1.9349	mae: 0.832
Epoch 544, true	ll: -1.9376	mae: 0.83038
Epoch 549, true	ll: -1.9362	mae: 0.8324
Epoch 554, true	ll: -1.937	mae: 0.8305
Epoch 559, true	ll: -1.9384	mae: 0.84171
Epoch 564, true	ll: -1.9411	mae: 0.84866
Epoch 569, true	ll: -1.9354	mae: 0.82903
Epoch 574, true	ll: -1.9353	mae: 0.83392
Epoch 579, true	ll: -1.9369	mae: 0.83784
Epoch 584, true	ll: -1.9376	mae: 0.83809
Epoch 589, true	ll: -1.9343	mae: 0.83703
Epoch 594, true	ll: -1.9357	mae: 0.84147
Epoch 599, true	ll: -1.9364	mae: 0.84532
Epoch 604, true	ll: -1.9346	mae: 0.83262
Epoch 609, true	ll: -1.9361	mae: 0.83159
Epoch 614, true	ll: -1.9363	mae: 0.83111
Epoch 619, true	ll: -1.9345	mae: 0.83101
Epoch 624, true	ll: -1.935	mae: 0.83105
Epoch 629, true	ll: -1.9347	mae: 0.83651
Epoch 634, true	ll: -1.9378	mae: 0.83782
Epoch 639, true	ll: -1.9354	mae: 0.833
Epoch 644, true	ll: -1.9369	mae: 0.8299
Epoch 649, true	ll: -1.9393	mae: 0.84403
Epoch 654, true	ll: -1.9368	mae: 0.8339
Epoch 659, true	ll: -1.932	mae: 0.838
Epoch 664, true	ll: -1.9387	mae: 0.82561
Epoch 669, true	ll: -1.9363	mae: 0.83317
Epoch 674, true	ll: -1.9365	mae: 0.83282
Epoch 679, true	ll: -1.9373	mae: 0.83987
Epoch 684, true	ll: -1.936	mae: 0.83648
Epoch 689, true	ll: -1.936	mae: 0.84086
Epoch 694, true	ll: -1.9358	mae: 0.82947
Epoch 699, true	ll: -1.9405	mae: 0.82429
Epoch 704, true	ll: -1.9385	mae: 0.8279
Epoch 709, true	ll: -1.9384	mae: 0.84866
Epoch 714, true	ll: -1.9378	mae: 0.83021
Epoch 719, true	ll: -1.9368	mae: 0.83309
Epoch 724, true	ll: -1.9352	mae: 0.83204
Epoch 729, true	ll: -1.9381	mae: 0.84221
Epoch 734, true	ll: -1.9347	mae: 0.83579
Epoch 739, true	ll: -1.937	mae: 0.83603
Epoch 744, true	ll: -1.9404	mae: 0.8258
Epoch 749, true	ll: -1.9353	mae: 0.8372
Epoch 754, true	ll: -1.9391	mae: 0.82743
Epoch 759, true	ll: -1.9344	mae: 0.83298
Epoch 764, true	ll: -1.9388	mae: 0.83772
Epoch 769, true	ll: -1.9365	mae: 0.83823
Epoch 774, true	ll: -1.9366	mae: 0.83905
Epoch 779, true	ll: -1.9347	mae: 0.83598
Epoch 784, true	ll: -1.9327	mae: 0.833
Epoch 789, true	ll: -1.9362	mae: 0.82973
Epoch 794, true	ll: -1.9366	mae: 0.83494
Epoch 799, true	ll: -1.9352	mae: 0.82779
Epoch 804, true	ll: -1.94	mae: 0.84643
Epoch 809, true	ll: -1.9438	mae: 0.85222
Epoch 814, true	ll: -1.9364	mae: 0.84098
Epoch 819, true	ll: -1.9405	mae: 0.848
Epoch 824, true	ll: -1.9336	mae: 0.83695
Epoch 829, true	ll: -1.9362	mae: 0.83531
Epoch 834, true	ll: -1.9364	mae: 0.83637
Epoch 839, true	ll: -1.9375	mae: 0.83076
Epoch 844, true	ll: -1.9395	mae: 0.82717
Epoch 849, true	ll: -1.9391	mae: 0.83999
Epoch 854, true	ll: -1.9366	mae: 0.83308
Epoch 859, true	ll: -1.9391	mae: 0.82462
