Epoch 4, true	ll: -1.3942	mae: 0.84377
Epoch 9, true	ll: -1.2747	mae: 0.80931
Epoch 14, true	ll: -1.2835	mae: 0.81009
Epoch 19, true	ll: -1.325	mae: 0.80821
Epoch 24, true	ll: -1.282	mae: 0.8093
Epoch 29, true	ll: -1.2697	mae: 0.80825
Epoch 34, true	ll: -1.2696	mae: 0.80982
Epoch 39, true	ll: -1.2738	mae: 0.82598
Epoch 44, true	ll: -1.3174	mae: 0.81337
Epoch 49, true	ll: -1.2981	mae: 0.81029
Epoch 54, true	ll: -1.3054	mae: 0.83222
Epoch 59, true	ll: -1.2758	mae: 0.81504
Epoch 64, true	ll: -1.2559	mae: 0.80785
Epoch 69, true	ll: -1.2712	mae: 0.81217
Epoch 74, true	ll: -1.3751	mae: 0.81944
Epoch 79, true	ll: -1.3397	mae: 0.80908
Epoch 84, true	ll: -1.3508	mae: 0.8102
Epoch 89, true	ll: -1.3014	mae: 0.81081
Epoch 94, true	ll: -1.2655	mae: 0.80817
Epoch 99, true	ll: -1.2724	mae: 0.81152
Epoch 104, true	ll: -1.3633	mae: 0.82628
Epoch 109, true	ll: -1.3547	mae: 0.80959
Epoch 114, true	ll: -1.4002	mae: 0.81378
Epoch 119, true	ll: -1.3492	mae: 0.8125
Epoch 124, true	ll: -1.274	mae: 0.81263
Epoch 129, true	ll: -1.3413	mae: 0.81079
Epoch 134, true	ll: -1.3258	mae: 0.81168
Epoch 139, true	ll: -1.3294	mae: 0.811
Epoch 144, true	ll: -1.2158	mae: 0.81646
Epoch 149, true	ll: -1.2688	mae: 0.81238
Epoch 154, true	ll: -1.3006	mae: 0.80954
Epoch 159, true	ll: -1.2654	mae: 0.80854
Epoch 164, true	ll: -1.2288	mae: 0.81001
Epoch 169, true	ll: -1.2845	mae: 0.80961
Epoch 174, true	ll: -1.2004	mae: 0.80856
Epoch 179, true	ll: -1.2823	mae: 0.80846
Epoch 184, true	ll: -1.2659	mae: 0.80857
Epoch 189, true	ll: -1.3129	mae: 0.80752
Epoch 194, true	ll: -1.2698	mae: 0.80928
Epoch 199, true	ll: -1.2609	mae: 0.81381
Epoch 204, true	ll: -1.2817	mae: 0.81209
Epoch 209, true	ll: -1.2666	mae: 0.81109
Epoch 214, true	ll: -1.2949	mae: 0.80783
Epoch 219, true	ll: -1.2473	mae: 0.80932
Epoch 224, true	ll: -1.2208	mae: 0.80929
Epoch 229, true	ll: -1.3229	mae: 0.81002
Epoch 234, true	ll: -1.2828	mae: 0.81116
Epoch 239, true	ll: -1.2676	mae: 0.80832
Epoch 244, true	ll: -1.3365	mae: 0.81205
Epoch 249, true	ll: -1.3132	mae: 0.80971
Epoch 254, true	ll: -1.2264	mae: 0.81484
Epoch 259, true	ll: -1.3184	mae: 0.80985
Epoch 264, true	ll: -1.2725	mae: 0.81113
Epoch 269, true	ll: -1.3419	mae: 0.81615
Epoch 274, true	ll: -1.2621	mae: 0.81319
Epoch 279, true	ll: -1.3071	mae: 0.80991
Epoch 284, true	ll: -1.3078	mae: 0.81646
Epoch 289, true	ll: -1.3387	mae: 0.83979
Epoch 294, true	ll: -1.339	mae: 0.83632
Epoch 299, true	ll: -1.2648	mae: 0.83078
Epoch 304, true	ll: -1.2385	mae: 0.82559
Epoch 309, true	ll: -1.3311	mae: 0.81024
Epoch 314, true	ll: -1.2542	mae: 0.80995
Epoch 319, true	ll: -1.2966	mae: 0.80979
Epoch 324, true	ll: -1.2952	mae: 0.81861
Epoch 329, true	ll: -1.2433	mae: 0.81085
Epoch 334, true	ll: -1.2963	mae: 0.82253
Epoch 339, true	ll: -1.3296	mae: 0.84057
Epoch 344, true	ll: -1.2972	mae: 0.82302
Epoch 349, true	ll: -1.3791	mae: 0.82406
Epoch 354, true	ll: -1.3857	mae: 0.83161
Epoch 359, true	ll: -1.4245	mae: 1.1343
Epoch 364, true	ll: -1.3582	mae: 0.82509
Epoch 369, true	ll: -1.3315	mae: 0.84853
Epoch 374, true	ll: -1.3259	mae: 0.81861
Epoch 379, true	ll: -1.3594	mae: 0.81534
Epoch 384, true	ll: -1.4923	mae: 0.91745
Epoch 389, true	ll: -1.4286	mae: 0.87892
Epoch 394, true	ll: -1.2834	mae: 0.85188
Epoch 399, true	ll: -1.4126	mae: 0.84636
Epoch 404, true	ll: -1.9674	mae: 1.0978
Epoch 409, true	ll: -1.3628	mae: 0.83032
Epoch 414, true	ll: -1.3237	mae: 0.81579
Epoch 419, true	ll: -1.6072	mae: 0.95566
Epoch 424, true	ll: -1.2384	mae: 0.84647
Epoch 429, true	ll: -1.2991	mae: 0.90393
Epoch 434, true	ll: -1.2657	mae: 0.81699
Epoch 439, true	ll: -1.3203	mae: 0.82004
Epoch 444, true	ll: -1.2676	mae: 0.8271
Epoch 449, true	ll: -1.2963	mae: 0.81511
Epoch 454, true	ll: -1.2643	mae: 0.81124
Epoch 459, true	ll: -1.2726	mae: 0.81294
Epoch 464, true	ll: -1.2992	mae: 0.81487
Epoch 469, true	ll: -1.3237	mae: 0.81819
Epoch 474, true	ll: -1.3142	mae: 0.82886
Epoch 479, true	ll: -1.313	mae: 0.8234
Epoch 484, true	ll: -1.2763	mae: 0.81927
Epoch 489, true	ll: -1.2615	mae: 0.8261
Epoch 494, true	ll: -1.3107	mae: 0.82131
Epoch 499, true	ll: -1.3152	mae: 0.82052
Epoch 504, true	ll: -1.3271	mae: 0.85018
Epoch 509, true	ll: -1.4101	mae: 0.85997
Epoch 514, true	ll: -1.2431	mae: 0.85471
Epoch 519, true	ll: -1.3368	mae: 0.81043
Epoch 524, true	ll: -1.336	mae: 0.8398
Epoch 529, true	ll: -1.2965	mae: 0.95274
Epoch 534, true	ll: -3.4673	mae: 1.2387
Epoch 539, true	ll: -1.3379	mae: 0.83985
Epoch 544, true	ll: -1.3554	mae: 0.80986
Epoch 549, true	ll: -1.2545	mae: 0.83059
Epoch 554, true	ll: -1.2679	mae: 0.81033
Epoch 559, true	ll: -1.3289	mae: 1.0703
Epoch 564, true	ll: -1.2364	mae: 0.82594
Epoch 569, true	ll: -1.4233	mae: 0.87029
Epoch 574, true	ll: -4.1054	mae: 1.675
Epoch 579, true	ll: -1.4298	mae: 1.267
Epoch 584, true	ll: -2.9082	mae: 14.672
Epoch 589, true	ll: -2.6844	mae: 31.135
Epoch 594, true	ll: -1.9421	mae: 3.8474
Epoch 599, true	ll: -1.3821	mae: 0.82506
Epoch 604, true	ll: -1.4287	mae: 0.8338
Epoch 609, true	ll: -1.3275	mae: 0.82439
Epoch 614, true	ll: -1.3173	mae: 0.81515
Epoch 619, true	ll: -1.3339	mae: 0.81714
Epoch 624, true	ll: -1.3384	mae: 0.81574
Epoch 629, true	ll: -1.2338	mae: 0.82921
Epoch 634, true	ll: -1.5268	mae: 0.96504
Epoch 639, true	ll: -1.2233	mae: 0.81057
Epoch 644, true	ll: -1.2975	mae: 0.8177
Epoch 649, true	ll: -1.3068	mae: 0.81773
Epoch 654, true	ll: -1.3254	mae: 0.81846
Epoch 659, true	ll: -1.3193	mae: 0.83311
Epoch 664, true	ll: -1.2713	mae: 0.84063
Epoch 669, true	ll: -1.362	mae: 0.83764
Epoch 674, true	ll: -1.3059	mae: 0.82734
Epoch 679, true	ll: -1.3146	mae: 0.85125
Epoch 684, true	ll: -1.3477	mae: 0.82059
Epoch 689, true	ll: -1.3293	mae: 0.8509
Epoch 694, true	ll: -1.3528	mae: 0.82499
Epoch 699, true	ll: -4.3854	mae: 2.3499
Epoch 704, true	ll: -4.7059	mae: 2.231
Epoch 709, true	ll: -1.9739	mae: 0.98324
Epoch 714, true	ll: -5.1189	mae: 2.7297
Epoch 719, true	ll: -2.8241	mae: 34.017
Epoch 724, true	ll: -2.8797	mae: 42.17
Epoch 729, true	ll: -3.0054	mae: 103.64
Epoch 734, true	ll: -3.3195	mae: 262.14
Epoch 739, true	ll: -3.4607	mae: 251.66
Epoch 744, true	ll: -3.4157	mae: 247.26
Epoch 749, true	ll: -3.1272	mae: 237.34
Epoch 754, true	ll: -2.4953	mae: 203.12
Epoch 759, true	ll: -2.3543	mae: 168.48
Epoch 764, true	ll: -2.3377	mae: 137.89
Epoch 769, true	ll: -2.3172	mae: 101.58
Epoch 774, true	ll: -2.267	mae: 92.943
Epoch 779, true	ll: -2.1195	mae: 41.509
Epoch 784, true	ll: -1.8205	mae: 1.4763
Epoch 789, true	ll: -1.5525	mae: 0.89601
Epoch 794, true	ll: -2.3389	mae: 1.1691
Epoch 799, true	ll: -2.3354	mae: 1.262
Epoch 804, true	ll: -2.0659	mae: 1.1406
Epoch 809, true	ll: -2.005	mae: 1.0277
Epoch 814, true	ll: -1.8566	mae: 0.86641
Epoch 819, true	ll: -1.855	mae: 0.86211
Epoch 824, true	ll: -1.9639	mae: 0.92631
Epoch 829, true	ll: -2.8836	mae: 1.6285
Epoch 834, true	ll: -2.3884	mae: 1.5448
Epoch 839, true	ll: -2.0382	mae: 1.0134
Epoch 844, true	ll: -2.0607	mae: 0.97384
Epoch 849, true	ll: -2.0985	mae: 0.93659
Epoch 854, true	ll: -1.9598	mae: 0.96643
Epoch 859, true	ll: -2.8641	mae: 1.6601
Epoch 864, true	ll: -1.7955	mae: 0.88841
Epoch 869, true	ll: -1.9316	mae: 1.0969
Epoch 874, true	ll: -1.931	mae: 1.1613
Epoch 879, true	ll: -1.9468	mae: 0.88187
Epoch 884, true	ll: -1.8192	mae: 0.92095
Epoch 889, true	ll: -1.4428	mae: 0.97435
Epoch 894, true	ll: -1.3658	mae: 0.94645
Epoch 899, true	ll: -2.1645	mae: 1.0552
Epoch 904, true	ll: -1.5916	mae: 0.93948
Epoch 909, true	ll: -1.5838	mae: 0.93337
Epoch 914, true	ll: -1.4676	mae: 0.92123
Epoch 919, true	ll: -1.4279	mae: 0.89256
Epoch 924, true	ll: -1.387	mae: 0.8921
Epoch 929, true	ll: -1.4374	mae: 0.88465
Epoch 934, true	ll: -1.4592	mae: 0.94315
Epoch 939, true	ll: -1.4459	mae: 0.93383
Epoch 944, true	ll: -1.4959	mae: 0.93776
Epoch 949, true	ll: -1.4563	mae: 0.9057
