Epoch 4, true	ll: -1.7019	mae: 0.84112
Epoch 9, true	ll: -1.7232	mae: 0.83998
Epoch 14, true	ll: -1.7348	mae: 0.85119
Epoch 19, true	ll: -1.7306	mae: 0.84619
Epoch 24, true	ll: -1.7319	mae: 0.84535
Epoch 29, true	ll: -1.7328	mae: 0.8474
Epoch 34, true	ll: -1.734	mae: 0.84391
Epoch 39, true	ll: -1.7346	mae: 0.85299
Epoch 44, true	ll: -1.736	mae: 0.83971
Epoch 49, true	ll: -1.738	mae: 0.84816
Epoch 54, true	ll: -1.74	mae: 0.83854
Epoch 59, true	ll: -1.7462	mae: 0.85763
Epoch 64, true	ll: -1.7324	mae: 0.84516
Epoch 69, true	ll: -1.7381	mae: 0.84569
Epoch 74, true	ll: -1.7476	mae: 0.85784
Epoch 79, true	ll: -1.736	mae: 0.84151
Epoch 84, true	ll: -1.7363	mae: 0.84679
Epoch 89, true	ll: -1.7349	mae: 0.84199
Epoch 94, true	ll: -1.7375	mae: 0.84553
Epoch 99, true	ll: -1.7352	mae: 0.84847
Epoch 104, true	ll: -1.737	mae: 0.84503
Epoch 109, true	ll: -1.7375	mae: 0.83899
Epoch 114, true	ll: -1.7349	mae: 0.84157
Epoch 119, true	ll: -1.7395	mae: 0.84492
Epoch 124, true	ll: -1.7387	mae: 0.84719
Epoch 129, true	ll: -1.7366	mae: 0.84238
Epoch 134, true	ll: -1.7399	mae: 0.84588
Epoch 139, true	ll: -1.7378	mae: 0.84547
Epoch 144, true	ll: -1.7381	mae: 0.84374
Epoch 149, true	ll: -1.7386	mae: 0.8536
Epoch 154, true	ll: -1.7367	mae: 0.84214
Epoch 159, true	ll: -1.7439	mae: 0.85067
Epoch 164, true	ll: -1.7372	mae: 0.84292
Epoch 169, true	ll: -1.7369	mae: 0.84292
Epoch 174, true	ll: -1.736	mae: 0.84612
Epoch 179, true	ll: -1.7404	mae: 0.84877
Epoch 184, true	ll: -1.7453	mae: 0.85119
Epoch 189, true	ll: -1.7422	mae: 0.84913
Epoch 194, true	ll: -1.7384	mae: 0.84469
Epoch 199, true	ll: -1.7379	mae: 0.83952
Epoch 204, true	ll: -1.7404	mae: 0.84396
Epoch 209, true	ll: -1.7406	mae: 0.84377
Epoch 214, true	ll: -1.7387	mae: 0.84283
Epoch 219, true	ll: -1.7391	mae: 0.84436
Epoch 224, true	ll: -1.7397	mae: 0.8454
Epoch 229, true	ll: -1.7454	mae: 0.85002
Epoch 234, true	ll: -1.7385	mae: 0.84385
Epoch 239, true	ll: -1.7389	mae: 0.84485
Epoch 244, true	ll: -1.7394	mae: 0.84224
Epoch 249, true	ll: -1.7406	mae: 0.8473
Epoch 254, true	ll: -1.7386	mae: 0.8455
Epoch 259, true	ll: -1.739	mae: 0.84086
Epoch 264, true	ll: -1.7397	mae: 0.84382
Epoch 269, true	ll: -1.7386	mae: 0.84455
Epoch 274, true	ll: -1.7399	mae: 0.84449
Epoch 279, true	ll: -1.7396	mae: 0.84327
Epoch 284, true	ll: -1.7405	mae: 0.84368
Epoch 289, true	ll: -1.74	mae: 0.84127
Epoch 294, true	ll: -1.7416	mae: 0.84531
Epoch 299, true	ll: -1.7399	mae: 0.84666
Epoch 304, true	ll: -1.741	mae: 0.84831
Epoch 309, true	ll: -1.7395	mae: 0.84065
Epoch 314, true	ll: -1.7403	mae: 0.84286
Epoch 319, true	ll: -1.7382	mae: 0.8428
Epoch 324, true	ll: -1.7397	mae: 0.84468
Epoch 329, true	ll: -1.7395	mae: 0.84484
Epoch 334, true	ll: -1.7409	mae: 0.84166
Epoch 339, true	ll: -1.7433	mae: 0.8479
Epoch 344, true	ll: -1.7391	mae: 0.84389
Epoch 349, true	ll: -1.7429	mae: 0.84667
Epoch 354, true	ll: -1.7401	mae: 0.84122
Epoch 359, true	ll: -1.7447	mae: 0.83648
Epoch 364, true	ll: -1.7424	mae: 0.8462
Epoch 369, true	ll: -1.744	mae: 0.84677
Epoch 374, true	ll: -1.7424	mae: 0.83828
Epoch 379, true	ll: -1.7417	mae: 0.84443
Epoch 384, true	ll: -1.743	mae: 0.8489
Epoch 389, true	ll: -1.7462	mae: 0.84979
Epoch 394, true	ll: -1.7418	mae: 0.84504
Epoch 399, true	ll: -1.7382	mae: 0.84025
Epoch 404, true	ll: -1.7395	mae: 0.84486
Epoch 409, true	ll: -1.7378	mae: 0.84255
Epoch 414, true	ll: -1.7477	mae: 0.8502
Epoch 419, true	ll: -1.7432	mae: 0.84818
Epoch 424, true	ll: -1.7405	mae: 0.84237
Epoch 429, true	ll: -1.7409	mae: 0.8428
Epoch 434, true	ll: -1.7413	mae: 0.8429
Epoch 439, true	ll: -1.7426	mae: 0.84414
Epoch 444, true	ll: -1.7432	mae: 0.83707
Epoch 449, true	ll: -1.7411	mae: 0.84278
Epoch 454, true	ll: -1.7411	mae: 0.84304
Epoch 459, true	ll: -1.7403	mae: 0.84379
Epoch 464, true	ll: -1.7398	mae: 0.84466
Epoch 469, true	ll: -1.7423	mae: 0.84434
Epoch 474, true	ll: -1.7416	mae: 0.84307
Epoch 479, true	ll: -1.7372	mae: 0.8455
Epoch 484, true	ll: -1.7417	mae: 0.83903
Epoch 489, true	ll: -1.7396	mae: 0.84245
Epoch 494, true	ll: -1.745	mae: 0.84763
Epoch 499, true	ll: -1.7419	mae: 0.83944
Epoch 504, true	ll: -1.7442	mae: 0.85025
Epoch 509, true	ll: -1.7466	mae: 0.84998
Epoch 514, true	ll: -1.7413	mae: 0.84401
Epoch 519, true	ll: -1.7445	mae: 0.84711
Epoch 524, true	ll: -1.7409	mae: 0.84017
Epoch 529, true	ll: -1.7407	mae: 0.84233
Epoch 534, true	ll: -1.7426	mae: 0.84382
Epoch 539, true	ll: -1.7415	mae: 0.84169
Epoch 544, true	ll: -1.7378	mae: 0.84122
Epoch 549, true	ll: -1.7413	mae: 0.84056
Epoch 554, true	ll: -1.7409	mae: 0.84196
Epoch 559, true	ll: -1.7395	mae: 0.84199
Epoch 564, true	ll: -1.7418	mae: 0.84095
Epoch 569, true	ll: -1.742	mae: 0.83925
Epoch 574, true	ll: -1.7424	mae: 0.84479
Epoch 579, true	ll: -1.7431	mae: 0.84593
Epoch 584, true	ll: -1.7426	mae: 0.84287
Epoch 589, true	ll: -1.7419	mae: 0.84352
Epoch 594, true	ll: -1.7419	mae: 0.83939
Epoch 599, true	ll: -1.744	mae: 0.84708
Epoch 604, true	ll: -1.7398	mae: 0.83964
Epoch 609, true	ll: -1.7396	mae: 0.84137
Epoch 614, true	ll: -1.7418	mae: 0.84415
Epoch 619, true	ll: -1.738	mae: 0.84407
Epoch 624, true	ll: -1.7421	mae: 0.84663
Epoch 629, true	ll: -1.7451	mae: 0.847
Epoch 634, true	ll: -1.7479	mae: 0.8509
Epoch 639, true	ll: -1.7414	mae: 0.84006
Epoch 644, true	ll: -1.7429	mae: 0.84458
Epoch 649, true	ll: -1.7413	mae: 0.84168
Epoch 654, true	ll: -1.7408	mae: 0.8417
Epoch 659, true	ll: -1.7461	mae: 0.84873
Epoch 664, true	ll: -1.7418	mae: 0.84069
Epoch 669, true	ll: -1.7435	mae: 0.84645
Epoch 674, true	ll: -1.7409	mae: 0.84211
Epoch 679, true	ll: -1.7428	mae: 0.83855
Epoch 684, true	ll: -1.743	mae: 0.84562
Epoch 689, true	ll: -1.7402	mae: 0.84245
Epoch 694, true	ll: -1.7422	mae: 0.84497
Epoch 699, true	ll: -1.7416	mae: 0.8429
Epoch 704, true	ll: -1.7422	mae: 0.84222
Epoch 709, true	ll: -1.7419	mae: 0.84184
Epoch 714, true	ll: -1.7418	mae: 0.84186
Epoch 719, true	ll: -1.7425	mae: 0.84245
Epoch 724, true	ll: -1.7415	mae: 0.84034
Epoch 729, true	ll: -1.7468	mae: 0.84826
Epoch 734, true	ll: -1.7412	mae: 0.84259
Epoch 739, true	ll: -1.7434	mae: 0.84669
Epoch 744, true	ll: -1.7425	mae: 0.84558
Epoch 749, true	ll: -1.7421	mae: 0.83995
Epoch 754, true	ll: -1.7418	mae: 0.83974
Epoch 759, true	ll: -1.7453	mae: 0.84702
Epoch 764, true	ll: -1.7394	mae: 0.84395
Epoch 769, true	ll: -1.7399	mae: 0.84287
Epoch 774, true	ll: -1.7424	mae: 0.84393
Epoch 779, true	ll: -1.7405	mae: 0.84086
Epoch 784, true	ll: -1.7404	mae: 0.84161
Epoch 789, true	ll: -1.7428	mae: 0.84543
Epoch 794, true	ll: -1.7421	mae: 0.84306
Epoch 799, true	ll: -1.742	mae: 0.8464
Epoch 804, true	ll: -1.7418	mae: 0.84146
Epoch 809, true	ll: -1.7426	mae: 0.84564
Epoch 814, true	ll: -1.7508	mae: 0.85111
Epoch 819, true	ll: -1.7441	mae: 0.84599
Epoch 824, true	ll: -1.7423	mae: 0.84129
Epoch 829, true	ll: -1.7435	mae: 0.84593
Epoch 834, true	ll: -1.7426	mae: 0.84476
Epoch 839, true	ll: -1.741	mae: 0.84178
Epoch 844, true	ll: -1.7442	mae: 0.84612
Epoch 849, true	ll: -1.7408	mae: 0.84164
Epoch 854, true	ll: -1.7415	mae: 0.84387
Epoch 859, true	ll: -1.7407	mae: 0.84257
Epoch 864, true	ll: -1.7456	mae: 0.84668
Epoch 869, true	ll: -1.7452	mae: 0.84721
Epoch 874, true	ll: -1.741	mae: 0.84018
Epoch 879, true	ll: -1.7407	mae: 0.8424
Epoch 884, true	ll: -1.7457	mae: 0.84835
Epoch 889, true	ll: -1.7459	mae: 0.84818
