Epoch 4, true	ll: -1.4281	mae: 0.83219
Epoch 9, true	ll: -1.1879	mae: 0.82104
Epoch 14, true	ll: -1.0966	mae: 0.82336
Epoch 19, true	ll: -1.4151	mae: 0.83261
Epoch 24, true	ll: -1.1411	mae: 0.83946
Epoch 29, true	ll: -1.1391	mae: 0.81966
Epoch 34, true	ll: -1.033	mae: 0.84079
Epoch 39, true	ll: -1.2535	mae: 0.81351
Epoch 44, true	ll: -1.0024	mae: 0.83425
Epoch 49, true	ll: -0.88958	mae: 0.89604
Epoch 54, true	ll: -1.1153	mae: 0.81855
Epoch 59, true	ll: -0.96043	mae: 0.84431
Epoch 64, true	ll: -1.1147	mae: 0.82016
Epoch 69, true	ll: -1.0879	mae: 1.1718
Epoch 74, true	ll: -0.97054	mae: 0.88856
Epoch 79, true	ll: -0.98456	mae: 0.84406
Epoch 84, true	ll: -1.5361	mae: 1.7419
Epoch 89, true	ll: -2.0177	mae: 1.229
Epoch 94, true	ll: -1.4054	mae: 0.85553
Epoch 99, true	ll: -0.78281	mae: 0.81363
Epoch 104, true	ll: -0.97647	mae: 0.8194
Epoch 109, true	ll: -0.76074	mae: 0.80715
Epoch 114, true	ll: -0.56717	mae: 0.80491
Epoch 119, true	ll: -1.2639	mae: 0.85797
Epoch 124, true	ll: -0.80261	mae: 0.81884
Epoch 129, true	ll: -0.66317	mae: 0.80881
Epoch 134, true	ll: -0.34442	mae: 0.80801
Epoch 139, true	ll: -0.71719	mae: 0.82937
Epoch 144, true	ll: -0.64482	mae: 0.82611
Epoch 149, true	ll: -0.22514	mae: 0.82275
Epoch 154, true	ll: -0.14955	mae: 0.86044
Epoch 159, true	ll: -0.80238	mae: 0.81534
Epoch 164, true	ll: -1.1037	mae: 0.83442
Epoch 169, true	ll: -0.41109	mae: 0.81144
Epoch 174, true	ll: -2.0803	mae: 1.0016
Epoch 179, true	ll: -0.84872	mae: 0.8293
Epoch 184, true	ll: -1.7921	mae: 0.86956
Epoch 189, true	ll: -1.2499	mae: 0.83706
Epoch 194, true	ll: -1.2927	mae: 0.86458
Epoch 199, true	ll: -0.72035	mae: 0.81708
Epoch 204, true	ll: -0.88018	mae: 0.83294
Epoch 209, true	ll: -1.0044	mae: 0.85484
Epoch 214, true	ll: -0.53532	mae: 0.82656
Epoch 219, true	ll: -0.69197	mae: 0.81536
Epoch 224, true	ll: -1.1792	mae: 0.91298
Epoch 229, true	ll: -0.72945	mae: 0.80931
Epoch 234, true	ll: -1.4564	mae: 0.86098
Epoch 239, true	ll: -3.332	mae: 1.2084
Epoch 244, true	ll: -0.60453	mae: 0.81913
Epoch 249, true	ll: -0.73358	mae: 0.82528
Epoch 254, true	ll: -0.87343	mae: 1.0176
Epoch 259, true	ll: -0.5061	mae: 0.86093
Epoch 264, true	ll: -0.80121	mae: 0.8104
Epoch 269, true	ll: -1.1633	mae: 0.82793
Epoch 274, true	ll: -1.3392	mae: 0.85401
Epoch 279, true	ll: -1.3507	mae: 0.85878
Epoch 284, true	ll: -0.74161	mae: 0.8051
Epoch 289, true	ll: -1.5621	mae: 0.9287
Epoch 294, true	ll: -1.0691	mae: 0.82731
Epoch 299, true	ll: -0.6553	mae: 0.87455
Epoch 304, true	ll: -3.0733	mae: 1.174
Epoch 309, true	ll: -1.1789	mae: 0.84107
Epoch 314, true	ll: -0.81365	mae: 0.96958
Epoch 319, true	ll: -1.0179	mae: 1.0433
Epoch 324, true	ll: -0.74758	mae: 0.82041
Epoch 329, true	ll: -1.8467	mae: 0.98805
Epoch 334, true	ll: -1.0343	mae: 0.83894
Epoch 339, true	ll: -1.0399	mae: 0.84742
Epoch 344, true	ll: -0.84841	mae: 0.82886
Epoch 349, true	ll: -1.5328	mae: 0.89071
Epoch 354, true	ll: -1.2079	mae: 0.85148
Epoch 359, true	ll: -1.1353	mae: 0.83487
Epoch 364, true	ll: -0.96303	mae: 0.82863
Epoch 369, true	ll: -1.1445	mae: 0.85218
Epoch 374, true	ll: -1.5272	mae: 0.90821
Epoch 379, true	ll: -1.5714	mae: 1.0396
Epoch 384, true	ll: -1.6295	mae: 1.1168
Epoch 389, true	ll: -1.6455	mae: 1.1407
Epoch 394, true	ll: -1.6771	mae: 1.1534
Epoch 399, true	ll: -1.2635	mae: 0.9747
Epoch 404, true	ll: -1.4997	mae: 1.1134
Epoch 409, true	ll: -1.6449	mae: 1.1492
Epoch 414, true	ll: -1.795	mae: 1.1621
Epoch 419, true	ll: -3.0994	mae: 1.1833
Epoch 424, true	ll: -1.9507	mae: 1.1051
Epoch 429, true	ll: -1.5044	mae: 1.1358
Epoch 434, true	ll: -1.3105	mae: 1.1161
Epoch 439, true	ll: -1.7118	mae: 1.1734
Epoch 444, true	ll: -1.8731	mae: 1.1772
Epoch 449, true	ll: -2.332	mae: 0.99958
Epoch 454, true	ll: -1.5061	mae: 0.94109
Epoch 459, true	ll: -1.9826	mae: 1.5468
Epoch 464, true	ll: -1.562	mae: 1.1644
Epoch 469, true	ll: -1.6009	mae: 1.1509
Epoch 474, true	ll: -1.5666	mae: 1.053
Epoch 479, true	ll: -1.544	mae: 1.0065
Epoch 484, true	ll: -1.3713	mae: 1.0725
Epoch 489, true	ll: -1.5119	mae: 1.1424
Epoch 494, true	ll: -1.5051	mae: 1.1504
Epoch 499, true	ll: -1.7028	mae: 1.169
Epoch 504, true	ll: -1.6097	mae: 1.1681
Epoch 509, true	ll: -1.4815	mae: 1.1544
Epoch 514, true	ll: -1.5123	mae: 1.1501
Epoch 519, true	ll: -1.6563	mae: 1.1671
Epoch 524, true	ll: -3.227	mae: 1.1771
Epoch 529, true	ll: -3.3539	mae: 1.1468
Epoch 534, true	ll: -1.9852	mae: 0.9462
Epoch 539, true	ll: -1.6022	mae: 0.92132
Epoch 544, true	ll: -1.6114	mae: 0.93055
Epoch 549, true	ll: -1.6195	mae: 0.93424
Epoch 554, true	ll: -1.5975	mae: 0.94475
Epoch 559, true	ll: -1.6204	mae: 0.95172
Epoch 564, true	ll: -1.5821	mae: 0.96888
Epoch 569, true	ll: -1.6057	mae: 0.96431
Epoch 574, true	ll: -1.5752	mae: 0.98685
Epoch 579, true	ll: -1.4499	mae: 0.97059
Epoch 584, true	ll: -1.5566	mae: 0.99559
Epoch 589, true	ll: -1.649	mae: 1.0098
Epoch 594, true	ll: -1.7455	mae: 1.1437
Epoch 599, true	ll: -1.531	mae: 1.1745
Epoch 604, true	ll: -1.5961	mae: 1.1549
Epoch 609, true	ll: -2.1577	mae: 1.4842
Epoch 614, true	ll: -2.2598	mae: 1.5231
Epoch 619, true	ll: -1.9952	mae: 1.3004
Epoch 624, true	ll: -1.9322	mae: 1.2666
Epoch 629, true	ll: -2.0774	mae: 1.3406
Epoch 634, true	ll: -1.7813	mae: 1.2925
Epoch 639, true	ll: -1.758	mae: 1.1975
Epoch 644, true	ll: -1.5469	mae: 1.1645
Epoch 649, true	ll: -1.4245	mae: 1.124
Epoch 654, true	ll: -2.3393	mae: 1.3838
Epoch 659, true	ll: -2.1985	mae: 1.3485
Epoch 664, true	ll: -2.402	mae: 1.3273
Epoch 669, true	ll: -2.4961	mae: 1.322
Epoch 674, true	ll: -2.1237	mae: 1.1608
Epoch 679, true	ll: -1.6652	mae: 0.93197
Epoch 684, true	ll: -1.6822	mae: 0.97397
Epoch 689, true	ll: -1.6078	mae: 0.96524
Epoch 694, true	ll: -1.596	mae: 0.95039
Epoch 699, true	ll: -1.5791	mae: 0.95591
Epoch 704, true	ll: -1.5739	mae: 0.91298
Epoch 709, true	ll: -1.5868	mae: 0.93437
Epoch 714, true	ll: -1.5604	mae: 0.94944
Epoch 719, true	ll: -1.4914	mae: 0.89745
Epoch 724, true	ll: -1.5207	mae: 0.89502
Epoch 729, true	ll: -1.5265	mae: 0.90816
Epoch 734, true	ll: -1.5008	mae: 0.87591
Epoch 739, true	ll: -1.6092	mae: 0.89818
Epoch 744, true	ll: -1.5218	mae: 0.96073
Epoch 749, true	ll: -1.767	mae: 1.1637
Epoch 754, true	ll: -1.6952	mae: 1.1226
Epoch 759, true	ll: -1.9267	mae: 1.3108
Epoch 764, true	ll: -1.8406	mae: 1.2328
Epoch 769, true	ll: -2.1107	mae: 1.3919
Epoch 774, true	ll: -2.0473	mae: 1.2698
Epoch 779, true	ll: -2.1554	mae: 1.4161
Epoch 784, true	ll: -2.1447	mae: 1.4795
Epoch 789, true	ll: -2.3059	mae: 1.5053
Epoch 794, true	ll: -2.3299	mae: 1.5469
Epoch 799, true	ll: -2.2458	mae: 1.6029
Epoch 804, true	ll: -2.2912	mae: 1.9068
Epoch 809, true	ll: -2.2281	mae: 1.6852
Epoch 814, true	ll: -2.4984	mae: 1.7463
Epoch 819, true	ll: -2.5526	mae: 1.919
Epoch 824, true	ll: -2.4553	mae: 1.8179
Epoch 829, true	ll: -2.4186	mae: 1.8059
Epoch 834, true	ll: -2.5299	mae: 1.8678
Epoch 839, true	ll: -2.4888	mae: 1.8042
Epoch 844, true	ll: -2.3078	mae: 1.7056
Epoch 849, true	ll: -1.7949	mae: 1.2471
Epoch 854, true	ll: -1.8698	mae: 1.3021
Epoch 859, true	ll: -1.9874	mae: 1.4685
Epoch 864, true	ll: -2.2527	mae: 2.7067
Epoch 869, true	ll: -2.0328	mae: 1.7855
Epoch 874, true	ll: -1.7819	mae: 1.1133
Epoch 879, true	ll: -1.8969	mae: 1.3553
Epoch 884, true	ll: -1.8518	mae: 1.3592
Epoch 889, true	ll: -1.9541	mae: 1.7451
Epoch 894, true	ll: -2.0896	mae: 2.6116
Epoch 899, true	ll: -3.4181	mae: 2.5468
Epoch 904, true	ll: -3.2589	mae: 3.1078
Epoch 909, true	ll: -2.8134	mae: 2.0599
Epoch 914, true	ll: -2.4658	mae: 2.1038
Epoch 919, true	ll: -2.1003	mae: 2.4388
