Epoch 4, true	ll: -3.2339	mae: 1.3642
Epoch 9, true	ll: -3.3789	mae: 1.3579
Epoch 14, true	ll: -3.4923	mae: 1.347
Epoch 19, true	ll: -3.4425	mae: 1.3493
Epoch 24, true	ll: -3.4516	mae: 1.3617
Epoch 29, true	ll: -3.5187	mae: 1.3439
Epoch 34, true	ll: -3.4165	mae: 1.357
Epoch 39, true	ll: -3.4869	mae: 1.3693
Epoch 44, true	ll: -3.4773	mae: 1.3469
Epoch 49, true	ll: -3.5195	mae: 1.3406
Epoch 54, true	ll: -3.5204	mae: 1.3469
Epoch 59, true	ll: -3.5533	mae: 1.3441
Epoch 64, true	ll: -3.5166	mae: 1.3615
Epoch 69, true	ll: -3.5305	mae: 1.3583
Epoch 74, true	ll: -3.5624	mae: 1.3665
Epoch 79, true	ll: -3.5275	mae: 1.3526
Epoch 84, true	ll: -3.5956	mae: 1.3444
Epoch 89, true	ll: -3.5406	mae: 1.3528
Epoch 94, true	ll: -3.5412	mae: 1.3487
Epoch 99, true	ll: -3.6633	mae: 1.3999
Epoch 104, true	ll: -3.5329	mae: 1.3526
Epoch 109, true	ll: -3.577	mae: 1.3511
Epoch 114, true	ll: -3.5794	mae: 1.3512
Epoch 119, true	ll: -3.5549	mae: 1.3469
Epoch 124, true	ll: -3.5356	mae: 1.3492
Epoch 129, true	ll: -3.5613	mae: 1.3488
Epoch 134, true	ll: -3.5311	mae: 1.3535
Epoch 139, true	ll: -3.5863	mae: 1.3475
Epoch 144, true	ll: -3.5917	mae: 1.3591
Epoch 149, true	ll: -3.586	mae: 1.3481
Epoch 154, true	ll: -3.5839	mae: 1.3485
Epoch 159, true	ll: -3.5723	mae: 1.3488
Epoch 164, true	ll: -3.5936	mae: 1.3627
Epoch 169, true	ll: -3.6068	mae: 1.3454
Epoch 174, true	ll: -3.5573	mae: 1.3472
Epoch 179, true	ll: -3.6111	mae: 1.3446
Epoch 184, true	ll: -3.5893	mae: 1.3489
Epoch 189, true	ll: -3.5996	mae: 1.3475
Epoch 194, true	ll: -3.5446	mae: 1.3494
Epoch 199, true	ll: -3.6131	mae: 1.3449
Epoch 204, true	ll: -3.5945	mae: 1.3487
Epoch 209, true	ll: -3.5496	mae: 1.3512
Epoch 214, true	ll: -3.5973	mae: 1.3578
Epoch 219, true	ll: -3.5602	mae: 1.348
Epoch 224, true	ll: -3.561	mae: 1.3469
Epoch 229, true	ll: -3.5728	mae: 1.3501
Epoch 234, true	ll: -3.5894	mae: 1.3508
Epoch 239, true	ll: -3.6078	mae: 1.3457
Epoch 244, true	ll: -3.6385	mae: 1.3659
Epoch 249, true	ll: -3.6102	mae: 1.3549
Epoch 254, true	ll: -3.5859	mae: 1.3452
Epoch 259, true	ll: -3.6534	mae: 1.3783
Epoch 264, true	ll: -3.5781	mae: 1.3454
Epoch 269, true	ll: -3.6746	mae: 1.3463
Epoch 274, true	ll: -3.6528	mae: 1.3434
Epoch 279, true	ll: -3.6112	mae: 1.3568
Epoch 284, true	ll: -3.6012	mae: 1.3454
Epoch 289, true	ll: -3.6157	mae: 1.3518
Epoch 294, true	ll: -3.5875	mae: 1.357
Epoch 299, true	ll: -3.5841	mae: 1.3498
Epoch 304, true	ll: -3.6106	mae: 1.3553
Epoch 309, true	ll: -3.5718	mae: 1.348
Epoch 314, true	ll: -3.6171	mae: 1.3458
Epoch 319, true	ll: -3.5383	mae: 1.3593
Epoch 324, true	ll: -3.6071	mae: 1.3473
Epoch 329, true	ll: -3.5627	mae: 1.3507
Epoch 334, true	ll: -3.6268	mae: 1.3569
Epoch 339, true	ll: -3.6187	mae: 1.3474
Epoch 344, true	ll: -3.6043	mae: 1.3495
Epoch 349, true	ll: -3.6434	mae: 1.3447
Epoch 354, true	ll: -3.6383	mae: 1.3463
Epoch 359, true	ll: -3.6167	mae: 1.3513
Epoch 364, true	ll: -3.5997	mae: 1.3488
Epoch 369, true	ll: -3.6102	mae: 1.3471
Epoch 374, true	ll: -3.6253	mae: 1.3457
Epoch 379, true	ll: -3.6483	mae: 1.3673
Epoch 384, true	ll: -3.6248	mae: 1.3508
Epoch 389, true	ll: -3.6042	mae: 1.349
Epoch 394, true	ll: -3.6152	mae: 1.3521
Epoch 399, true	ll: -3.6109	mae: 1.3482
Epoch 404, true	ll: -3.6182	mae: 1.3526
Epoch 409, true	ll: -3.6365	mae: 1.3425
Epoch 414, true	ll: -3.6037	mae: 1.3495
Epoch 419, true	ll: -3.5695	mae: 1.3504
Epoch 424, true	ll: -3.6299	mae: 1.3457
Epoch 429, true	ll: -3.5728	mae: 1.35
Epoch 434, true	ll: -3.6324	mae: 1.3543
Epoch 439, true	ll: -3.5661	mae: 1.355
Epoch 444, true	ll: -3.6004	mae: 1.3552
Epoch 449, true	ll: -3.6134	mae: 1.3499
Epoch 454, true	ll: -3.6159	mae: 1.3503
Epoch 459, true	ll: -3.5833	mae: 1.3509
Epoch 464, true	ll: -3.6263	mae: 1.3586
Epoch 469, true	ll: -3.6234	mae: 1.3452
Epoch 474, true	ll: -3.6379	mae: 1.3508
Epoch 479, true	ll: -3.6332	mae: 1.3454
Epoch 484, true	ll: -3.5926	mae: 1.3445
Epoch 489, true	ll: -3.6299	mae: 1.358
Epoch 494, true	ll: -3.5925	mae: 1.3511
Epoch 499, true	ll: -3.6348	mae: 1.3514
Epoch 504, true	ll: -3.6254	mae: 1.3465
Epoch 509, true	ll: -3.6144	mae: 1.3504
Epoch 514, true	ll: -3.5938	mae: 1.3486
Epoch 519, true	ll: -3.6227	mae: 1.3487
Epoch 524, true	ll: -3.6142	mae: 1.3541
Epoch 529, true	ll: -3.6155	mae: 1.351
Epoch 534, true	ll: -3.6344	mae: 1.353
Epoch 539, true	ll: -3.62	mae: 1.3604
Epoch 544, true	ll: -3.6286	mae: 1.3451
Epoch 549, true	ll: -3.6224	mae: 1.3442
Epoch 554, true	ll: -3.5963	mae: 1.3505
Epoch 559, true	ll: -3.6404	mae: 1.3596
Epoch 564, true	ll: -3.6272	mae: 1.345
Epoch 569, true	ll: -3.5933	mae: 1.3455
Epoch 574, true	ll: -3.5921	mae: 1.3625
Epoch 579, true	ll: -3.6216	mae: 1.3523
