Epoch 4, true	ll: -1.9223	mae: 1.3555
Epoch 9, true	ll: -1.9198	mae: 1.3511
Epoch 14, true	ll: -1.8942	mae: 1.3464
Epoch 19, true	ll: -1.9115	mae: 1.3607
Epoch 24, true	ll: -1.8983	mae: 1.3618
Epoch 29, true	ll: -1.8953	mae: 1.3649
Epoch 34, true	ll: -1.8866	mae: 1.3697
Epoch 39, true	ll: -1.8808	mae: 1.3717
Epoch 44, true	ll: -1.8964	mae: 1.3794
Epoch 49, true	ll: -1.8707	mae: 1.3482
Epoch 54, true	ll: -1.8855	mae: 1.395
Epoch 59, true	ll: -1.8855	mae: 1.3715
Epoch 64, true	ll: -1.8981	mae: 1.3592
Epoch 69, true	ll: -1.8688	mae: 1.3563
Epoch 74, true	ll: -1.8986	mae: 1.4245
Epoch 79, true	ll: -1.8652	mae: 1.3505
Epoch 84, true	ll: -1.8644	mae: 1.3838
Epoch 89, true	ll: -1.8538	mae: 1.3769
Epoch 94, true	ll: -1.9302	mae: 1.4132
Epoch 99, true	ll: -1.8603	mae: 1.3571
Epoch 104, true	ll: -1.871	mae: 1.3624
Epoch 109, true	ll: -1.9521	mae: 1.4374
Epoch 114, true	ll: -2.0206	mae: 1.5915
Epoch 119, true	ll: -2.3132	mae: 2.1629
Epoch 124, true	ll: -2.2135	mae: 1.8217
Epoch 129, true	ll: -2.1004	mae: 1.4923
Epoch 134, true	ll: -2.1638	mae: 1.7255
Epoch 139, true	ll: -2.2488	mae: 1.9473
Epoch 144, true	ll: -1.8917	mae: 1.4005
Epoch 149, true	ll: -2.0613	mae: 1.6435
Epoch 154, true	ll: -1.9751	mae: 1.503
Epoch 159, true	ll: -2.0811	mae: 1.6692
Epoch 164, true	ll: -2.0294	mae: 1.5777
Epoch 169, true	ll: -1.9062	mae: 1.4246
Epoch 174, true	ll: -2.1348	mae: 1.6876
Epoch 179, true	ll: -2.01	mae: 1.5653
Epoch 184, true	ll: -2.1857	mae: 1.855
Epoch 189, true	ll: -1.8855	mae: 1.4061
Epoch 194, true	ll: -1.901	mae: 1.3838
Epoch 199, true	ll: -1.9662	mae: 1.4962
Epoch 204, true	ll: -2.1733	mae: 1.7887
Epoch 209, true	ll: -1.9687	mae: 1.5085
Epoch 214, true	ll: -1.8956	mae: 1.4353
Epoch 219, true	ll: -2.0	mae: 1.5158
Epoch 224, true	ll: -1.9228	mae: 1.3872
Epoch 229, true	ll: -1.9362	mae: 1.3785
Epoch 234, true	ll: -1.9	mae: 1.3864
Epoch 239, true	ll: -1.8961	mae: 1.3573
Epoch 244, true	ll: -2.0651	mae: 1.6848
Epoch 249, true	ll: -2.3221	mae: 1.7982
Epoch 254, true	ll: -2.0303	mae: 1.4339
Epoch 259, true	ll: -2.0877	mae: 1.5921
Epoch 264, true	ll: -2.1634	mae: 1.7201
Epoch 269, true	ll: -2.1336	mae: 1.3925
Epoch 274, true	ll: -2.243	mae: 1.5246
Epoch 279, true	ll: -2.2456	mae: 1.6473
Epoch 284, true	ll: -2.2313	mae: 1.6642
Epoch 289, true	ll: -2.4305	mae: 2.3795
Epoch 294, true	ll: -2.3228	mae: 2.0485
Epoch 299, true	ll: -2.1723	mae: 1.6826
Epoch 304, true	ll: -1.9921	mae: 1.4107
Epoch 309, true	ll: -2.1602	mae: 1.744
Epoch 314, true	ll: -2.2011	mae: 1.933
Epoch 319, true	ll: -2.2041	mae: 1.9958
Epoch 324, true	ll: -2.0658	mae: 1.5099
Epoch 329, true	ll: -2.4062	mae: 2.067
Epoch 334, true	ll: -2.4161	mae: 1.9551
Epoch 339, true	ll: -2.3222	mae: 1.514
Epoch 344, true	ll: -2.4147	mae: 1.8231
Epoch 349, true	ll: -2.789	mae: 3.8098
Epoch 354, true	ll: -2.6786	mae: 3.2902
Epoch 359, true	ll: -2.5436	mae: 2.6783
Epoch 364, true	ll: -2.531	mae: 2.8857
Epoch 369, true	ll: -2.3067	mae: 2.0161
Epoch 374, true	ll: -2.1004	mae: 1.6334
Epoch 379, true	ll: -2.3639	mae: 2.1127
Epoch 384, true	ll: -2.267	mae: 1.7
Epoch 389, true	ll: -2.0103	mae: 1.3857
Epoch 394, true	ll: -2.6154	mae: 2.1357
Epoch 399, true	ll: -2.1096	mae: 1.6408
Epoch 404, true	ll: -2.1449	mae: 1.8226
Epoch 409, true	ll: -2.0287	mae: 1.4867
Epoch 414, true	ll: -2.2023	mae: 1.6888
Epoch 419, true	ll: -2.0856	mae: 1.6201
Epoch 424, true	ll: -2.023	mae: 1.3678
Epoch 429, true	ll: -1.9781	mae: 1.3591
Epoch 434, true	ll: -1.9618	mae: 1.3648
Epoch 439, true	ll: -2.191	mae: 1.7822
Epoch 444, true	ll: -2.0915	mae: 1.6179
Epoch 449, true	ll: -2.431	mae: 2.7197
Epoch 454, true	ll: -2.5585	mae: 3.1453
Epoch 459, true	ll: -2.5235	mae: 2.9409
Epoch 464, true	ll: -2.1725	mae: 1.5755
Epoch 469, true	ll: -1.9476	mae: 1.3932
Epoch 474, true	ll: -1.9585	mae: 1.4107
Epoch 479, true	ll: -2.1932	mae: 1.6516
