Epoch 4, true	ll: -10.305	mae: 2.6206
Epoch 9, true	ll: -3.2454	mae: 2.2123
Epoch 14, true	ll: -3.6567	mae: 1.8702
Epoch 19, true	ll: -2.8801	mae: 1.8304
Epoch 24, true	ll: -2.4202	mae: 1.81
Epoch 29, true	ll: -2.2662	mae: 1.7984
Epoch 34, true	ll: -2.3475	mae: 1.7292
Epoch 39, true	ll: -2.2907	mae: 1.5686
Epoch 44, true	ll: -3.0518	mae: 1.718
Epoch 49, true	ll: -2.2316	mae: 1.7582
Epoch 54, true	ll: -2.5287	mae: 1.5437
Epoch 59, true	ll: -2.1903	mae: 1.4074
Epoch 64, true	ll: -1.9642	mae: 1.3645
Epoch 69, true	ll: -1.9428	mae: 1.3758
Epoch 74, true	ll: -1.9133	mae: 1.3663
Epoch 79, true	ll: -1.9497	mae: 1.4239
Epoch 84, true	ll: -2.4821	mae: 2.3543
Epoch 89, true	ll: -1.9278	mae: 1.3712
Epoch 94, true	ll: -1.9541	mae: 1.4263
Epoch 99, true	ll: -1.9598	mae: 1.4217
Epoch 104, true	ll: -1.9174	mae: 1.3484
Epoch 109, true	ll: -2.2359	mae: 1.5104
Epoch 114, true	ll: -2.0356	mae: 1.391
Epoch 119, true	ll: -2.1405	mae: 1.4354
Epoch 124, true	ll: -2.0567	mae: 1.4182
Epoch 129, true	ll: -2.0405	mae: 1.3728
Epoch 134, true	ll: -2.0726	mae: 1.6642
Epoch 139, true	ll: -1.9926	mae: 1.4869
Epoch 144, true	ll: -2.1104	mae: 1.3824
Epoch 149, true	ll: -2.0144	mae: 1.5591
Epoch 154, true	ll: -2.0559	mae: 1.6938
Epoch 159, true	ll: -1.9879	mae: 1.369
Epoch 164, true	ll: -2.1357	mae: 1.4131
Epoch 169, true	ll: -1.951	mae: 1.3523
Epoch 174, true	ll: -1.9283	mae: 1.3819
Epoch 179, true	ll: -1.9613	mae: 1.3652
Epoch 184, true	ll: -2.0155	mae: 1.3991
Epoch 189, true	ll: -1.9666	mae: 1.3788
Epoch 194, true	ll: -1.9252	mae: 1.3768
Epoch 199, true	ll: -1.9823	mae: 1.4829
Epoch 204, true	ll: -1.9917	mae: 1.3988
Epoch 209, true	ll: -1.9239	mae: 1.3645
Epoch 214, true	ll: -1.9212	mae: 1.3588
Epoch 219, true	ll: -1.9312	mae: 1.3763
Epoch 224, true	ll: -1.9225	mae: 1.3704
Epoch 229, true	ll: -1.9298	mae: 1.3897
Epoch 234, true	ll: -1.9186	mae: 1.358
Epoch 239, true	ll: -1.9239	mae: 1.3594
Epoch 244, true	ll: -1.9321	mae: 1.4025
Epoch 249, true	ll: -1.9176	mae: 1.3611
Epoch 254, true	ll: -1.9207	mae: 1.3599
Epoch 259, true	ll: -1.921	mae: 1.3578
Epoch 264, true	ll: -1.9074	mae: 1.3583
Epoch 269, true	ll: -1.917	mae: 1.3576
Epoch 274, true	ll: -1.918	mae: 1.3585
Epoch 279, true	ll: -1.9054	mae: 1.3611
Epoch 284, true	ll: -1.9216	mae: 1.3623
Epoch 289, true	ll: -1.9193	mae: 1.3662
Epoch 294, true	ll: -1.9157	mae: 1.36
Epoch 299, true	ll: -1.9067	mae: 1.3639
Epoch 304, true	ll: -1.9003	mae: 1.3596
Epoch 309, true	ll: -1.9192	mae: 1.3621
Epoch 314, true	ll: -1.8907	mae: 1.3632
Epoch 319, true	ll: -1.8983	mae: 1.363
Epoch 324, true	ll: -1.8722	mae: 1.3586
Epoch 329, true	ll: -1.9055	mae: 1.3632
Epoch 334, true	ll: -1.8752	mae: 1.3519
Epoch 339, true	ll: -1.8773	mae: 1.3569
Epoch 344, true	ll: -1.9078	mae: 1.3547
Epoch 349, true	ll: -1.8804	mae: 1.3515
Epoch 354, true	ll: -1.8738	mae: 1.3537
Epoch 359, true	ll: -1.8769	mae: 1.3494
Epoch 364, true	ll: -1.8536	mae: 1.3471
Epoch 369, true	ll: -1.885	mae: 1.3569
Epoch 374, true	ll: -1.882	mae: 1.3575
Epoch 379, true	ll: -1.8684	mae: 1.3501
Epoch 384, true	ll: -1.8465	mae: 1.3495
Epoch 389, true	ll: -1.8699	mae: 1.3493
Epoch 394, true	ll: -1.8815	mae: 1.3497
Epoch 399, true	ll: -1.8799	mae: 1.3448
Epoch 404, true	ll: -1.8349	mae: 1.3473
Epoch 409, true	ll: -1.8397	mae: 1.3478
Epoch 414, true	ll: -1.8663	mae: 1.3506
Epoch 419, true	ll: -1.8889	mae: 1.3486
Epoch 424, true	ll: -1.8504	mae: 1.3461
Epoch 429, true	ll: -1.8712	mae: 1.345
Epoch 434, true	ll: -1.7955	mae: 1.3446
Epoch 439, true	ll: -1.8484	mae: 1.3453
Epoch 444, true	ll: -1.8798	mae: 1.3446
Epoch 449, true	ll: -1.8573	mae: 1.3459
Epoch 454, true	ll: -1.889	mae: 1.3511
Epoch 459, true	ll: -1.8858	mae: 1.3464
Epoch 464, true	ll: -1.8742	mae: 1.3452
Epoch 469, true	ll: -1.9189	mae: 1.3452
Epoch 474, true	ll: -1.8421	mae: 1.3455
Epoch 479, true	ll: -1.877	mae: 1.3433
Epoch 484, true	ll: -1.8771	mae: 1.3493
Epoch 489, true	ll: -1.8574	mae: 1.3456
Epoch 494, true	ll: -1.8865	mae: 1.3488
Epoch 499, true	ll: -1.8541	mae: 1.3401
Epoch 504, true	ll: -1.8866	mae: 1.3442
Epoch 509, true	ll: -1.7961	mae: 1.3436
Epoch 514, true	ll: -1.8436	mae: 1.3412
Epoch 519, true	ll: -1.78	mae: 1.3389
Epoch 524, true	ll: -1.8306	mae: 1.3429
Epoch 529, true	ll: -1.8499	mae: 1.3436
Epoch 534, true	ll: -1.8244	mae: 1.343
Epoch 539, true	ll: -1.8891	mae: 1.3455
Epoch 544, true	ll: -1.8958	mae: 1.3464
Epoch 549, true	ll: -1.837	mae: 1.3422
Epoch 554, true	ll: -1.8615	mae: 1.344
Epoch 559, true	ll: -1.8906	mae: 1.3445
Epoch 564, true	ll: -1.8704	mae: 1.3417
Epoch 569, true	ll: -1.8777	mae: 1.343
Epoch 574, true	ll: -1.8755	mae: 1.3441
Epoch 579, true	ll: -1.8884	mae: 1.3389
Epoch 584, true	ll: -1.83	mae: 1.3436
Epoch 589, true	ll: -1.8647	mae: 1.3446
Epoch 594, true	ll: -1.9051	mae: 1.3468
Epoch 599, true	ll: -1.8198	mae: 1.3418
Epoch 604, true	ll: -1.8793	mae: 1.3418
Epoch 609, true	ll: -1.8972	mae: 1.3453
Epoch 614, true	ll: -1.853	mae: 1.3408
Epoch 619, true	ll: -1.8399	mae: 1.3434
