Epoch 4, true	ll: -2.2282	mae: 1.8107
Epoch 9, true	ll: -2.393	mae: 2.4175
Epoch 14, true	ll: -7.0785	mae: 2.1933
Epoch 19, true	ll: -2.3486	mae: 1.7554
Epoch 24, true	ll: -4.0795	mae: 4.5106
Epoch 29, true	ll: -2.1449	mae: 1.4248
Epoch 34, true	ll: -2.0075	mae: 1.4047
Epoch 39, true	ll: -2.0011	mae: 1.381
Epoch 44, true	ll: -2.0185	mae: 1.3893
Epoch 49, true	ll: -2.2867	mae: 1.4193
Epoch 54, true	ll: -2.0501	mae: 1.3901
Epoch 59, true	ll: -1.9973	mae: 1.3865
Epoch 64, true	ll: -1.9534	mae: 1.3912
Epoch 69, true	ll: -1.9315	mae: 1.3911
Epoch 74, true	ll: -2.1658	mae: 1.8124
Epoch 79, true	ll: -2.0071	mae: 1.4101
Epoch 84, true	ll: -2.048	mae: 1.3981
Epoch 89, true	ll: -5.1038	mae: 2.1375
Epoch 94, true	ll: -2.318	mae: 1.4943
Epoch 99, true	ll: -2.0987	mae: 1.3968
Epoch 104, true	ll: -2.8041	mae: 1.4835
Epoch 109, true	ll: -2.4727	mae: 1.7997
Epoch 114, true	ll: -1.972	mae: 1.3789
Epoch 119, true	ll: -2.9701	mae: 1.4851
Epoch 124, true	ll: -1.9722	mae: 1.3691
Epoch 129, true	ll: -2.4482	mae: 1.4217
Epoch 134, true	ll: -2.5891	mae: 1.3617
Epoch 139, true	ll: -4.0567	mae: 1.5921
Epoch 144, true	ll: -2.5083	mae: 1.5566
Epoch 149, true	ll: -2.3942	mae: 2.173
