Epoch 4, true	ll: -3.6351	mae: 1.9564
Epoch 9, true	ll: -2.2807	mae: 2.0244
Epoch 14, true	ll: -2.1984	mae: 1.6607
Epoch 19, true	ll: -4.9888	mae: 2.3724
Epoch 24, true	ll: -2.1032	mae: 1.5558
Epoch 29, true	ll: -7.2676	mae: 3.5011
Epoch 34, true	ll: -2.907	mae: 1.9004
Epoch 39, true	ll: -2.4211	mae: 1.4173
Epoch 44, true	ll: -1.9537	mae: 1.4137
Epoch 49, true	ll: -2.3298	mae: 1.5149
Epoch 54, true	ll: -2.0079	mae: 1.4903
Epoch 59, true	ll: -2.1088	mae: 1.3802
Epoch 64, true	ll: -5.3408	mae: 2.1428
Epoch 69, true	ll: -2.1528	mae: 1.5585
Epoch 74, true	ll: -3.9591	mae: 1.4731
Epoch 79, true	ll: -3.9794	mae: 1.5668
Epoch 84, true	ll: -2.5611	mae: 3.1112
Epoch 89, true	ll: -2.0464	mae: 1.4001
Epoch 94, true	ll: -2.0277	mae: 1.3914
Epoch 99, true	ll: -2.0547	mae: 1.4129
Epoch 104, true	ll: -1.9937	mae: 1.3893
Epoch 109, true	ll: -1.9575	mae: 1.3748
Epoch 114, true	ll: -2.9885	mae: 1.543
Epoch 119, true	ll: -2.1559	mae: 1.428
Epoch 124, true	ll: -1.9732	mae: 1.3753
Epoch 129, true	ll: -2.1053	mae: 1.6805
Epoch 134, true	ll: -2.23	mae: 1.4019
Epoch 139, true	ll: -1.9373	mae: 1.3802
Epoch 144, true	ll: -1.8681	mae: 1.3771
Epoch 149, true	ll: -1.939	mae: 1.3587
Epoch 154, true	ll: -1.9292	mae: 1.3548
Epoch 159, true	ll: -1.8572	mae: 1.3635
Epoch 164, true	ll: -1.7784	mae: 1.3687
Epoch 169, true	ll: -1.7792	mae: 1.3477
Epoch 174, true	ll: -1.5754	mae: 1.3405
Epoch 179, true	ll: -1.8428	mae: 1.3398
Epoch 184, true	ll: -1.7318	mae: 1.3511
Epoch 189, true	ll: -1.9364	mae: 1.3459
Epoch 194, true	ll: -1.7738	mae: 1.3485
Epoch 199, true	ll: -1.6121	mae: 1.3442
Epoch 204, true	ll: -1.8391	mae: 1.3485
Epoch 209, true	ll: -1.7579	mae: 1.3418
Epoch 214, true	ll: -1.7893	mae: 1.342
Epoch 219, true	ll: -1.8626	mae: 1.3496
Epoch 224, true	ll: -1.846	mae: 1.3413
Epoch 229, true	ll: -1.8743	mae: 1.3538
Epoch 234, true	ll: -1.8446	mae: 1.3473
Epoch 239, true	ll: -1.8194	mae: 1.3365
Epoch 244, true	ll: -1.813	mae: 1.334
Epoch 249, true	ll: -1.7664	mae: 1.336
Epoch 254, true	ll: -1.7333	mae: 1.3357
Epoch 259, true	ll: -1.6284	mae: 1.3398
Epoch 264, true	ll: -1.5827	mae: 1.347
Epoch 269, true	ll: -1.5884	mae: 1.3378
Epoch 274, true	ll: -1.5964	mae: 1.3377
Epoch 279, true	ll: -1.6691	mae: 1.3372
Epoch 284, true	ll: -1.7295	mae: 1.337
Epoch 289, true	ll: -1.6318	mae: 1.3363
Epoch 294, true	ll: -1.6416	mae: 1.3375
Epoch 299, true	ll: -1.7676	mae: 1.3398
Epoch 304, true	ll: -1.6723	mae: 1.3429
Epoch 309, true	ll: -1.9509	mae: 1.3777
Epoch 314, true	ll: -1.644	mae: 1.337
Epoch 319, true	ll: -1.6029	mae: 1.3408
Epoch 324, true	ll: -1.9814	mae: 1.4129
Epoch 329, true	ll: -1.427	mae: 1.3435
Epoch 334, true	ll: -1.5502	mae: 1.3383
Epoch 339, true	ll: -1.699	mae: 1.3522
Epoch 344, true	ll: -1.5094	mae: 1.334
Epoch 349, true	ll: -1.5107	mae: 1.3379
Epoch 354, true	ll: -1.6766	mae: 1.3391
Epoch 359, true	ll: -1.4526	mae: 1.3366
Epoch 364, true	ll: -1.4465	mae: 1.3386
Epoch 369, true	ll: -1.5088	mae: 1.3367
Epoch 374, true	ll: -1.9641	mae: 1.4135
Epoch 379, true	ll: -1.7531	mae: 1.33
Epoch 384, true	ll: -1.3486	mae: 1.3992
Epoch 389, true	ll: -1.4554	mae: 1.3309
Epoch 394, true	ll: -1.676	mae: 1.3606
Epoch 399, true	ll: -1.5667	mae: 1.3434
Epoch 404, true	ll: -1.4438	mae: 1.3431
Epoch 409, true	ll: -1.6006	mae: 1.3298
Epoch 414, true	ll: -1.6771	mae: 1.3394
Epoch 419, true	ll: -1.6426	mae: 1.3382
Epoch 424, true	ll: -1.4538	mae: 1.3316
Epoch 429, true	ll: -1.4	mae: 1.3362
Epoch 434, true	ll: -1.5202	mae: 1.3356
Epoch 439, true	ll: -1.6987	mae: 1.3307
Epoch 444, true	ll: -1.5889	mae: 1.3384
Epoch 449, true	ll: -1.6186	mae: 1.3333
Epoch 454, true	ll: -1.8081	mae: 1.3389
Epoch 459, true	ll: -1.914	mae: 1.3308
Epoch 464, true	ll: -2.0055	mae: 1.4567
Epoch 469, true	ll: -1.7106	mae: 1.3347
