Epoch 4, true	ll: -3.7026	mae: 1.3701
Epoch 9, true	ll: -3.6677	mae: 1.3501
Epoch 14, true	ll: -3.6691	mae: 1.3538
Epoch 19, true	ll: -3.6571	mae: 1.3512
Epoch 24, true	ll: -3.6501	mae: 1.3502
Epoch 29, true	ll: -3.666	mae: 1.3572
Epoch 34, true	ll: -3.6678	mae: 1.3472
Epoch 39, true	ll: -3.6652	mae: 1.353
Epoch 44, true	ll: -3.6751	mae: 1.3611
Epoch 49, true	ll: -3.6254	mae: 1.3451
Epoch 54, true	ll: -3.6648	mae: 1.3457
Epoch 59, true	ll: -3.6628	mae: 1.3474
Epoch 64, true	ll: -3.6813	mae: 1.3418
Epoch 69, true	ll: -3.6559	mae: 1.3596
Epoch 74, true	ll: -3.6476	mae: 1.348
Epoch 79, true	ll: -3.6683	mae: 1.3481
Epoch 84, true	ll: -3.6697	mae: 1.3441
Epoch 89, true	ll: -3.6928	mae: 1.3653
Epoch 94, true	ll: -3.6676	mae: 1.3488
Epoch 99, true	ll: -3.6446	mae: 1.3468
Epoch 104, true	ll: -3.6669	mae: 1.3462
Epoch 109, true	ll: -3.5931	mae: 1.3479
Epoch 114, true	ll: -3.6684	mae: 1.3539
Epoch 119, true	ll: -3.6516	mae: 1.347
Epoch 124, true	ll: -3.6341	mae: 1.3468
Epoch 129, true	ll: -3.6747	mae: 1.345
Epoch 134, true	ll: -3.6696	mae: 1.359
Epoch 139, true	ll: -3.644	mae: 1.3604
Epoch 144, true	ll: -3.6718	mae: 1.3443
Epoch 149, true	ll: -3.6591	mae: 1.3483
Epoch 154, true	ll: -3.6719	mae: 1.3471
Epoch 159, true	ll: -3.6747	mae: 1.3429
Epoch 164, true	ll: -3.6649	mae: 1.3571
Epoch 169, true	ll: -3.6641	mae: 1.3457
Epoch 174, true	ll: -3.6577	mae: 1.348
Epoch 179, true	ll: -3.6689	mae: 1.3463
Epoch 184, true	ll: -3.6689	mae: 1.3434
Epoch 189, true	ll: -3.6513	mae: 1.3483
Epoch 194, true	ll: -3.6812	mae: 1.342
Epoch 199, true	ll: -3.6744	mae: 1.3429
Epoch 204, true	ll: -3.656	mae: 1.3473
Epoch 209, true	ll: -3.6679	mae: 1.3488
Epoch 214, true	ll: -3.6703	mae: 1.3536
Epoch 219, true	ll: -3.6597	mae: 1.3459
Epoch 224, true	ll: -3.6716	mae: 1.358
Epoch 229, true	ll: -3.6672	mae: 1.3505
Epoch 234, true	ll: -3.6826	mae: 1.3461
