Epoch 4, true	ll: -2.3698	mae: 2.3268
Epoch 9, true	ll: -3.3876	mae: 2.0371
Epoch 14, true	ll: -3.8769	mae: 2.6523
Epoch 19, true	ll: -2.8882	mae: 1.9623
Epoch 24, true	ll: -2.2642	mae: 1.4458
Epoch 29, true	ll: -2.0923	mae: 1.4485
Epoch 34, true	ll: -2.5306	mae: 1.4049
Epoch 39, true	ll: -1.9764	mae: 1.3721
Epoch 44, true	ll: -1.9764	mae: 1.3812
Epoch 49, true	ll: -1.9598	mae: 1.3943
Epoch 54, true	ll: -2.8924	mae: 1.5321
Epoch 59, true	ll: -2.0158	mae: 1.4549
Epoch 64, true	ll: -1.9876	mae: 1.3929
Epoch 69, true	ll: -3.0296	mae: 1.4893
Epoch 74, true	ll: -2.354	mae: 1.4177
Epoch 79, true	ll: -2.0656	mae: 1.4039
Epoch 84, true	ll: -1.9908	mae: 1.4305
Epoch 89, true	ll: -2.0467	mae: 1.4129
Epoch 94, true	ll: -2.1574	mae: 1.592
Epoch 99, true	ll: -2.0701	mae: 1.6739
Epoch 104, true	ll: -2.0398	mae: 1.5287
Epoch 109, true	ll: -2.2844	mae: 1.5882
Epoch 114, true	ll: -2.0021	mae: 1.3817
Epoch 119, true	ll: -2.0283	mae: 1.4159
Epoch 124, true	ll: -2.1211	mae: 1.5642
Epoch 129, true	ll: -2.0681	mae: 1.5113
Epoch 134, true	ll: -2.1238	mae: 1.6107
Epoch 139, true	ll: -2.0669	mae: 1.4819
Epoch 144, true	ll: -2.1545	mae: 1.6814
Epoch 149, true	ll: -2.0983	mae: 1.5654
Epoch 154, true	ll: -2.073	mae: 1.4555
Epoch 159, true	ll: -2.088	mae: 1.5589
Epoch 164, true	ll: -2.0439	mae: 1.4236
Epoch 169, true	ll: -2.3713	mae: 1.94
Epoch 174, true	ll: -2.4342	mae: 2.1831
Epoch 179, true	ll: -2.305	mae: 2.1005
Epoch 184, true	ll: -2.1664	mae: 1.6631
Epoch 189, true	ll: -2.1661	mae: 1.5154
Epoch 194, true	ll: -2.1407	mae: 1.4225
Epoch 199, true	ll: -2.1479	mae: 1.5351
Epoch 204, true	ll: -2.1688	mae: 1.4008
Epoch 209, true	ll: -2.2173	mae: 1.6025
Epoch 214, true	ll: -2.1127	mae: 1.4435
Epoch 219, true	ll: -2.0604	mae: 1.3905
Epoch 224, true	ll: -2.0429	mae: 1.3725
Epoch 229, true	ll: -2.0543	mae: 1.3757
Epoch 234, true	ll: -2.0644	mae: 1.5598
Epoch 239, true	ll: -2.046	mae: 1.5607
Epoch 244, true	ll: -2.0188	mae: 1.4453
Epoch 249, true	ll: -2.1603	mae: 1.5958
Epoch 254, true	ll: -2.2909	mae: 1.7202
Epoch 259, true	ll: -2.048	mae: 1.4649
Epoch 264, true	ll: -2.2595	mae: 1.7297
Epoch 269, true	ll: -2.3752	mae: 1.8304
Epoch 274, true	ll: -2.1077	mae: 1.5953
Epoch 279, true	ll: -2.0414	mae: 1.4619
Epoch 284, true	ll: -2.0321	mae: 1.4076
Epoch 289, true	ll: -2.0126	mae: 1.4005
Epoch 294, true	ll: -2.0031	mae: 1.3777
Epoch 299, true	ll: -1.999	mae: 1.3762
Epoch 304, true	ll: -1.9821	mae: 1.3683
Epoch 309, true	ll: -1.9972	mae: 1.3898
Epoch 314, true	ll: -1.9741	mae: 1.3695
Epoch 319, true	ll: -1.9704	mae: 1.3671
Epoch 324, true	ll: -1.9936	mae: 1.3837
Epoch 329, true	ll: -1.989	mae: 1.3838
Epoch 334, true	ll: -1.9854	mae: 1.4504
Epoch 339, true	ll: -2.0718	mae: 1.7226
Epoch 344, true	ll: -2.0435	mae: 1.5675
Epoch 349, true	ll: -2.0026	mae: 1.3954
Epoch 354, true	ll: -1.9501	mae: 1.363
Epoch 359, true	ll: -2.0611	mae: 1.4759
Epoch 364, true	ll: -1.9777	mae: 1.3643
Epoch 369, true	ll: -2.0626	mae: 1.4939
Epoch 374, true	ll: -2.0956	mae: 1.5373
Epoch 379, true	ll: -1.9698	mae: 1.4424
Epoch 384, true	ll: -1.9643	mae: 1.3656
Epoch 389, true	ll: -2.0251	mae: 1.4457
Epoch 394, true	ll: -1.9654	mae: 1.3721
Epoch 399, true	ll: -1.9824	mae: 1.3618
Epoch 404, true	ll: -1.9794	mae: 1.4834
Epoch 409, true	ll: -2.2945	mae: 2.3005
Epoch 414, true	ll: -2.0523	mae: 1.6715
Epoch 419, true	ll: -2.3961	mae: 2.4296
Epoch 424, true	ll: -2.3318	mae: 2.2697
Epoch 429, true	ll: -2.1302	mae: 1.7963
Epoch 434, true	ll: -2.0237	mae: 1.4119
Epoch 439, true	ll: -1.985	mae: 1.4812
Epoch 444, true	ll: -1.9581	mae: 1.3875
Epoch 449, true	ll: -2.1738	mae: 1.514
Epoch 454, true	ll: -2.5043	mae: 1.7147
Epoch 459, true	ll: -1.9564	mae: 1.3766
Epoch 464, true	ll: -1.9884	mae: 1.4014
Epoch 469, true	ll: -1.9646	mae: 1.3739
Epoch 474, true	ll: -2.8509	mae: 1.9031
Epoch 479, true	ll: -2.4208	mae: 1.7527
Epoch 484, true	ll: -2.0087	mae: 1.426
Epoch 489, true	ll: -2.293	mae: 1.7765
Epoch 494, true	ll: -2.6941	mae: 2.0193
Epoch 499, true	ll: -2.4773	mae: 1.9263
Epoch 504, true	ll: -2.7591	mae: 2.1174
Epoch 509, true	ll: -2.5989	mae: 2.0469
Epoch 514, true	ll: -2.816	mae: 2.1712
Epoch 519, true	ll: -4.7285	mae: 2.6546
Epoch 524, true	ll: -3.404	mae: 2.4919
Epoch 529, true	ll: -2.6935	mae: 2.3358
Epoch 534, true	ll: -2.4568	mae: 2.2395
Epoch 539, true	ll: -2.1086	mae: 1.5077
Epoch 544, true	ll: -2.1204	mae: 1.5383
Epoch 549, true	ll: -2.1601	mae: 1.4031
Epoch 554, true	ll: -2.1469	mae: 1.7684
Epoch 559, true	ll: -2.7428	mae: 2.4079
Epoch 564, true	ll: -2.416	mae: 2.2244
Epoch 569, true	ll: -2.1845	mae: 1.8919
Epoch 574, true	ll: -2.3069	mae: 2.1456
Epoch 579, true	ll: -2.2839	mae: 2.1482
Epoch 584, true	ll: -2.577	mae: 2.443
Epoch 589, true	ll: -2.652	mae: 2.5151
Epoch 594, true	ll: -2.555	mae: 2.4432
Epoch 599, true	ll: -2.5195	mae: 2.4181
Epoch 604, true	ll: -2.4353	mae: 2.4046
Epoch 609, true	ll: -2.6276	mae: 2.5625
Epoch 614, true	ll: -2.3955	mae: 2.4056
Epoch 619, true	ll: -2.2834	mae: 2.17
Epoch 624, true	ll: -2.7141	mae: 2.6958
Epoch 629, true	ll: -2.2341	mae: 1.9035
Epoch 634, true	ll: -2.2401	mae: 1.9305
Epoch 639, true	ll: -2.2318	mae: 1.9039
Epoch 644, true	ll: -2.214	mae: 1.8345
