Epoch 19, true	ll: -0.72364	mae: 0.34881
Epoch 39, true	ll: -0.6744	mae: 0.32918
Epoch 59, true	ll: -0.64953	mae: 0.32669
Epoch 79, true	ll: -0.63324	mae: 0.31686
Epoch 99, true	ll: -0.62164	mae: 0.31266
Epoch 119, true	ll: -0.62089	mae: 0.30131
Epoch 139, true	ll: -0.63115	mae: 0.29816
Epoch 159, true	ll: -0.60403	mae: 0.29908
Epoch 179, true	ll: -0.60224	mae: 0.30231
Epoch 199, true	ll: -0.61086	mae: 0.29472
Epoch 219, true	ll: -0.60065	mae: 0.30136
Epoch 239, true	ll: -0.60486	mae: 0.2929
Epoch 259, true	ll: -0.59954	mae: 0.29167
Epoch 279, true	ll: -0.60147	mae: 0.28987
Epoch 299, true	ll: -0.59873	mae: 0.29875
Epoch 319, true	ll: -0.60109	mae: 0.29214
Epoch 339, true	ll: -0.60452	mae: 0.29124
Epoch 359, true	ll: -0.60953	mae: 0.3071
Epoch 379, true	ll: -0.60506	mae: 0.29941
Epoch 399, true	ll: -0.67915	mae: 0.32675
Epoch 419, true	ll: -0.62094	mae: 0.29263
Epoch 439, true	ll: -0.63278	mae: 0.30652
Epoch 459, true	ll: -0.62077	mae: 0.29337
Epoch 479, true	ll: -0.6337	mae: 0.29926
Epoch 499, true	ll: -0.63242	mae: 0.29476
Epoch 519, true	ll: -0.63245	mae: 0.28974
Epoch 539, true	ll: -0.64642	mae: 0.29304
Epoch 559, true	ll: -0.64087	mae: 0.28974
Epoch 579, true	ll: -0.62479	mae: 0.29037
Epoch 599, true	ll: -0.63491	mae: 0.29369
Epoch 619, true	ll: -0.68865	mae: 0.31207
Epoch 639, true	ll: -0.6454	mae: 0.29347
Epoch 659, true	ll: -0.6646	mae: 0.30115
Epoch 679, true	ll: -0.66467	mae: 0.29625
Epoch 699, true	ll: -0.65806	mae: 0.29697
Epoch 719, true	ll: -0.66267	mae: 0.29175
Epoch 739, true	ll: -0.68953	mae: 0.30496
Epoch 759, true	ll: -0.66763	mae: 0.29633
Epoch 779, true	ll: -0.66722	mae: 0.29428
Epoch 799, true	ll: -0.68039	mae: 0.30011
Epoch 819, true	ll: -0.67801	mae: 0.29849
Epoch 839, true	ll: -0.6805	mae: 0.29602
Epoch 859, true	ll: -0.7476	mae: 0.32472
Epoch 879, true	ll: -0.66726	mae: 0.294
Epoch 899, true	ll: -0.67199	mae: 0.29742
Epoch 919, true	ll: -0.68058	mae: 0.29649
Epoch 939, true	ll: -0.68923	mae: 0.29789
Epoch 959, true	ll: -0.68681	mae: 0.30369
Epoch 979, true	ll: -0.68512	mae: 0.29577
Epoch 999, true	ll: -0.69736	mae: 0.30019
Kernel Scale: 0.18126825988292694
Test, true	ll: -0.66631	mae: 0.30877
Test, kde	ll: -0.66796	mae: 0.30872
Test, kde	ll: -0.667	mae: 0.30861
Test, kde	ll: -0.66744	mae: 0.30867
Test, kde	ll: -0.66785	mae: 0.30863
Test, kde	ll: -0.66864	mae: 0.30866
Test, kde	ll: -0.66542	mae: 0.30886
Test, kde	ll: -0.66715	mae: 0.30859
Test, kde	ll: -0.66769	mae: 0.30882
Test, kde	ll: -0.66764	mae: 0.30876
Test, kde	ll: -0.66816	mae: 0.30903
Test metrics over 10 seeds
ll: -0.6675±0.00082509
true ll: -0.66631
mae: 0.30874±0.00013048
true mae: 0.30877
