Epoch 19, true	ll: -1.0594	mae: 0.56793
Epoch 39, true	ll: -0.94912	mae: 0.45926
Epoch 59, true	ll: -1.1181	mae: 0.58929
Epoch 79, true	ll: -0.85779	mae: 0.42647
Epoch 99, true	ll: -0.86078	mae: 0.4752
Epoch 119, true	ll: -0.82175	mae: 0.46094
Epoch 139, true	ll: -0.82486	mae: 0.42941
Epoch 159, true	ll: -0.82881	mae: 0.442
Epoch 179, true	ll: -1.3047	mae: 0.76468
Epoch 199, true	ll: -1.0393	mae: 0.56136
Epoch 219, true	ll: -0.86412	mae: 0.47686
Epoch 239, true	ll: -0.73316	mae: 0.40465
Epoch 259, true	ll: -1.1137	mae: 0.58766
Epoch 279, true	ll: -0.82384	mae: 0.44487
Epoch 299, true	ll: -0.67361	mae: 0.37592
Epoch 319, true	ll: -0.62448	mae: 0.36691
Epoch 339, true	ll: -0.73264	mae: 0.41217
Epoch 359, true	ll: -0.63197	mae: 0.37471
Epoch 379, true	ll: -0.62758	mae: 0.38694
Epoch 399, true	ll: -1.1607	mae: 0.64829
Epoch 419, true	ll: -0.62939	mae: 0.37711
Epoch 439, true	ll: -0.68103	mae: 0.39333
Epoch 459, true	ll: -0.64749	mae: 0.37733
Epoch 479, true	ll: -0.64164	mae: 0.37415
Epoch 499, true	ll: -0.60012	mae: 0.35848
Epoch 519, true	ll: -0.70951	mae: 0.40361
Epoch 539, true	ll: -0.55763	mae: 0.35364
Epoch 559, true	ll: -0.65185	mae: 0.37718
Epoch 579, true	ll: -0.68624	mae: 0.39684
Epoch 599, true	ll: -0.60585	mae: 0.36093
Epoch 619, true	ll: -0.80738	mae: 0.44462
Epoch 639, true	ll: -0.58906	mae: 0.3507
Epoch 659, true	ll: -0.80724	mae: 0.40252
Epoch 679, true	ll: -0.60373	mae: 0.35522
Epoch 699, true	ll: -0.72183	mae: 0.41044
Epoch 719, true	ll: -0.92347	mae: 0.48415
Epoch 739, true	ll: -0.92543	mae: 0.47717
Epoch 759, true	ll: -0.73491	mae: 0.38265
Epoch 779, true	ll: -0.83341	mae: 0.42649
Epoch 799, true	ll: -0.65496	mae: 0.36924
Epoch 819, true	ll: -0.75977	mae: 0.40251
Epoch 839, true	ll: -0.72212	mae: 0.40148
Epoch 859, true	ll: -1.1775	mae: 0.63394
Epoch 879, true	ll: -0.6172	mae: 0.3473
Epoch 899, true	ll: -0.67736	mae: 0.38138
Epoch 919, true	ll: -1.4275	mae: 0.86176
Epoch 939, true	ll: -1.2914	mae: 0.707
Epoch 959, true	ll: -0.86096	mae: 0.45593
Epoch 979, true	ll: -0.72862	mae: 0.39903
Epoch 999, true	ll: -0.80812	mae: 0.43657
Kernel Scale: 0.07460272312164307
Test, true	ll: -0.62965	mae: 0.35087
Test, kde	ll: -0.6388	mae: 0.34979
Test, kde	ll: -0.64984	mae: 0.35052
Test, kde	ll: -0.6455	mae: 0.34808
Test, kde	ll: -0.63764	mae: 0.349
Test, kde	ll: -0.64925	mae: 0.35082
Test, kde	ll: -0.632	mae: 0.34967
Test, kde	ll: -0.65107	mae: 0.35058
Test, kde	ll: -0.65178	mae: 0.34996
Test, kde	ll: -0.6454	mae: 0.3503
Test, kde	ll: -0.65476	mae: 0.35072
Test metrics over 10 seeds
ll: -0.6456±0.0069133
true ll: -0.62965
mae: 0.34994±0.00081723
true mae: 0.35087
