Epoch 19, true	ll: -1.3936	mae: 0.84119
Epoch 39, true	ll: -1.4016	mae: 0.84012
Epoch 59, true	ll: -1.3725	mae: 0.81202
Epoch 79, true	ll: -1.3456	mae: 0.78686
Epoch 99, true	ll: -1.3398	mae: 0.78453
Epoch 119, true	ll: -1.3533	mae: 0.7874
Epoch 139, true	ll: -1.3598	mae: 0.7897
Epoch 159, true	ll: -1.3229	mae: 0.77956
Epoch 179, true	ll: -1.3496	mae: 0.7894
Epoch 199, true	ll: -1.35	mae: 0.77647
Epoch 219, true	ll: -1.3621	mae: 0.80163
Epoch 239, true	ll: -1.3299	mae: 0.77347
Epoch 259, true	ll: -1.3476	mae: 0.76611
Epoch 279, true	ll: -1.3471	mae: 0.76235
Epoch 299, true	ll: -1.3739	mae: 0.80066
Epoch 319, true	ll: -1.3497	mae: 0.77297
Epoch 339, true	ll: -1.3629	mae: 0.79622
Epoch 359, true	ll: -1.3207	mae: 0.77058
Epoch 379, true	ll: -1.3846	mae: 0.8017
Epoch 399, true	ll: -1.3586	mae: 0.7956
Epoch 419, true	ll: -1.3573	mae: 0.77876
Epoch 439, true	ll: -1.3443	mae: 0.76712
Epoch 459, true	ll: -1.3269	mae: 0.76414
Epoch 479, true	ll: -1.294	mae: 0.77455
Epoch 499, true	ll: -1.5608	mae: 1.0076
Epoch 519, true	ll: -1.3099	mae: 0.76651
Epoch 539, true	ll: -1.371	mae: 0.79148
Epoch 559, true	ll: -1.315	mae: 0.76647
Epoch 579, true	ll: -1.4076	mae: 0.86
Epoch 599, true	ll: -1.3709	mae: 0.76807
Epoch 619, true	ll: -1.5077	mae: 0.89413
Epoch 639, true	ll: -1.3839	mae: 0.805
Epoch 659, true	ll: -1.3684	mae: 0.78469
Epoch 679, true	ll: -1.3633	mae: 0.77226
Epoch 699, true	ll: -1.6325	mae: 1.0543
Epoch 719, true	ll: -1.3359	mae: 0.78506
Epoch 739, true	ll: -1.3297	mae: 0.77915
Epoch 759, true	ll: -1.375	mae: 0.80769
Epoch 779, true	ll: -1.4386	mae: 0.85184
Epoch 799, true	ll: -1.3702	mae: 0.80134
Epoch 819, true	ll: -1.3784	mae: 0.813
Epoch 839, true	ll: -1.4892	mae: 0.88364
Epoch 859, true	ll: -1.5799	mae: 1.0061
Epoch 879, true	ll: -1.4056	mae: 0.82897
Epoch 899, true	ll: -1.4101	mae: 0.81671
Epoch 919, true	ll: -1.3589	mae: 0.79337
Epoch 939, true	ll: -1.3799	mae: 0.8161
Epoch 959, true	ll: -1.3995	mae: 0.83525
Epoch 979, true	ll: -1.3491	mae: 0.78697
Epoch 999, true	ll: -1.3932	mae: 0.82751
Kernel Scale: 0.030703481286764145
Test, true	ll: -1.2967	mae: 0.74418
Test, kde	ll: -1.2966	mae: 0.74421
Test, kde	ll: -1.2918	mae: 0.74631
Test, kde	ll: -1.3022	mae: 0.74557
Test, kde	ll: -1.2921	mae: 0.74401
Test, kde	ll: -1.3087	mae: 0.74405
Test, kde	ll: -1.2915	mae: 0.74047
Test, kde	ll: -1.2944	mae: 0.74351
Test, kde	ll: -1.2933	mae: 0.75071
Test, kde	ll: -1.2903	mae: 0.74861
Test, kde	ll: -1.293	mae: 0.74703
Test metrics over 10 seeds
ll: -1.2954±0.005481
true ll: -1.2967
mae: 0.74545±0.0027377
true mae: 0.74418
