Epoch 19, true	ll: -3.6472	mae: 2.109
Epoch 39, true	ll: -1.424	mae: 0.70963
Epoch 59, true	ll: -1.5904	mae: 0.75487
Epoch 79, true	ll: -1.4149	mae: 0.6935
Epoch 99, true	ll: -1.2517	mae: 0.71864
Epoch 119, true	ll: -1.0044	mae: 0.64847
Epoch 139, true	ll: -0.79241	mae: 0.5841
Epoch 159, true	ll: -0.75197	mae: 0.57061
Epoch 179, true	ll: -0.68752	mae: 0.58237
Epoch 199, true	ll: -0.55276	mae: 0.5657
Epoch 219, true	ll: -0.39209	mae: 0.56258
Epoch 239, true	ll: -0.35669	mae: 0.56059
Epoch 259, true	ll: -0.95782	mae: 0.6728
Epoch 279, true	ll: -0.2519	mae: 0.55702
Epoch 299, true	ll: -0.89649	mae: 0.61928
Epoch 319, true	ll: -0.61575	mae: 0.59391
Epoch 339, true	ll: -1.0048	mae: 0.65838
Epoch 359, true	ll: -0.74077	mae: 0.64579
Epoch 379, true	ll: -0.46464	mae: 0.57523
Epoch 399, true	ll: -0.48304	mae: 0.57053
Epoch 419, true	ll: -0.44636	mae: 0.57019
Epoch 439, true	ll: -0.30297	mae: 0.55233
Epoch 459, true	ll: -0.78562	mae: 0.60023
Epoch 479, true	ll: -0.51865	mae: 0.54619
Epoch 499, true	ll: -0.7021	mae: 0.60556
Epoch 519, true	ll: -0.94846	mae: 0.63899
Epoch 539, true	ll: -0.23883	mae: 0.4978
Epoch 559, true	ll: -0.56647	mae: 0.55518
Epoch 579, true	ll: -0.36185	mae: 0.45455
Epoch 599, true	ll: -0.36102	mae: 0.4391
Epoch 619, true	ll: -1.119	mae: 0.53284
Epoch 639, true	ll: -0.94748	mae: 0.61142
Epoch 659, true	ll: -0.64735	mae: 0.38264
Epoch 679, true	ll: -0.71027	mae: 0.33469
Epoch 699, true	ll: -0.84509	mae: 0.38334
Epoch 719, true	ll: -1.0317	mae: 0.39581
Epoch 739, true	ll: -2.6701	mae: 1.199
Epoch 759, true	ll: -0.82054	mae: 0.43768
Epoch 779, true	ll: -0.82471	mae: 0.44137
Epoch 799, true	ll: -0.81807	mae: 0.4277
Epoch 819, true	ll: -0.78911	mae: 0.38344
Epoch 839, true	ll: -0.79549	mae: 0.35983
Epoch 859, true	ll: -0.76339	mae: 0.33529
Epoch 879, true	ll: -0.72747	mae: 0.32588
Epoch 899, true	ll: -0.70717	mae: 0.31682
Epoch 919, true	ll: -0.68717	mae: 0.28993
Epoch 939, true	ll: -0.71176	mae: 0.30018
Epoch 959, true	ll: -0.70289	mae: 0.3071
Epoch 979, true	ll: -0.68565	mae: 0.28589
Epoch 999, true	ll: -0.66876	mae: 0.27144
Epoch 1019, true	ll: -0.67772	mae: 0.25912
Epoch 1039, true	ll: -1.4514	mae: 0.51633
Epoch 1059, true	ll: -1.5516	mae: 0.60694
Epoch 1079, true	ll: -3.4182	mae: 1.6011
Epoch 1099, true	ll: -1.073	mae: 0.53828
Epoch 1119, true	ll: -1.0422	mae: 0.4871
Epoch 1139, true	ll: -1.17	mae: 0.72649
Epoch 1159, true	ll: -1.1275	mae: 0.67913
Epoch 1179, true	ll: -0.22227	mae: 0.4892
Epoch 1199, true	ll: -0.20604	mae: 0.37313
Epoch 1219, true	ll: -0.57153	mae: 0.39146
Epoch 1239, true	ll: -1.1056	mae: 0.58115
Epoch 1259, true	ll: -0.8097	mae: 0.51998
Epoch 1279, true	ll: -0.89379	mae: 0.41893
Epoch 1299, true	ll: -0.82731	mae: 0.36543
Epoch 1319, true	ll: -1.1971	mae: 0.60041
Epoch 1339, true	ll: -1.7168	mae: 1.2065
Epoch 1359, true	ll: -0.87981	mae: 0.41748
Epoch 1379, true	ll: -0.78141	mae: 0.32896
Epoch 1399, true	ll: -0.75165	mae: 0.32139
Epoch 1419, true	ll: -1.1538	mae: 0.596
Epoch 1439, true	ll: -0.69486	mae: 0.28408
Epoch 1459, true	ll: -2.1124	mae: 1.4987
Epoch 1479, true	ll: -1.9092	mae: 1.3629
Epoch 1499, true	ll: -1.1653	mae: 0.68803
Epoch 1519, true	ll: -1.4273	mae: 0.90512
Epoch 1539, true	ll: -1.8762	mae: 1.3647
Epoch 1559, true	ll: -0.77832	mae: 0.372
Epoch 1579, true	ll: -0.77501	mae: 0.36649
Epoch 1599, true	ll: -1.33	mae: 0.80161
Epoch 1619, true	ll: -0.61609	mae: 0.43819
Epoch 1639, true	ll: -0.37784	mae: 0.33421
Epoch 1659, true	ll: -0.68044	mae: 0.34432
Epoch 1679, true	ll: -0.40018	mae: 0.3103
Epoch 1699, true	ll: -0.286	mae: 0.28575
Epoch 1719, true	ll: -0.52449	mae: 0.26199
Epoch 1739, true	ll: -0.5925	mae: 0.27597
Epoch 1759, true	ll: -1.5256	mae: 0.92148
Epoch 1779, true	ll: -0.82038	mae: 0.3237
Epoch 1799, true	ll: -1.1542	mae: 0.48462
Epoch 1819, true	ll: -0.84195	mae: 0.52577
Epoch 1839, true	ll: -0.38437	mae: 0.2718
Epoch 1859, true	ll: -0.57983	mae: 0.23096
Epoch 1879, true	ll: -0.62564	mae: 0.23361
Epoch 1899, true	ll: -0.62951	mae: 0.24018
Epoch 1919, true	ll: -0.62321	mae: 0.24329
Epoch 1939, true	ll: -0.63051	mae: 0.23887
Epoch 1959, true	ll: -0.68609	mae: 0.30637
Epoch 1979, true	ll: -0.6927	mae: 0.414
Epoch 1999, true	ll: -0.56306	mae: 0.31017
Kernel Scale: 0.0059038372710347176
Test, true	ll: -0.22314	mae: 0.36166
Test, kde	ll: -0.20098	mae: 0.35508
Test, kde	ll: -0.18294	mae: 0.36238
Test, kde	ll: -0.19369	mae: 0.35575
Test, kde	ll: -0.20599	mae: 0.35913
Test, kde	ll: -0.21128	mae: 0.34948
Test, kde	ll: -0.19819	mae: 0.35906
Test, kde	ll: -0.20581	mae: 0.35389
Test, kde	ll: -0.17899	mae: 0.35962
Test, kde	ll: -0.19821	mae: 0.35954
Test, kde	ll: -0.19526	mae: 0.35912
Test metrics over 10 seeds
ll: -0.19713±0.0095766
true ll: -0.22314
mae: 0.35731±0.0035513
true mae: 0.36166
