Epoch 19, true	ll: -1.7388	mae: 0.18193
Epoch 39, true	ll: -4.6605	mae: 0.54586
Epoch 59, true	ll: -17.527	mae: 0.61103
Epoch 79, true	ll: -60.849	mae: 1.1856
Epoch 99, true	ll: -8.2839	mae: 0.32873
Epoch 119, true	ll: -1.9482	mae: 0.18666
Epoch 139, true	ll: -1.9853	mae: 0.18543
Epoch 159, true	ll: -2.9277	mae: 0.25614
Epoch 179, true	ll: -5.0569	mae: 0.431
Epoch 199, true	ll: -3.5188	mae: 0.66769
Epoch 219, true	ll: -2.3874	mae: 0.20876
Epoch 239, true	ll: -5.5129	mae: 0.28083
Epoch 259, true	ll: -4.5867	mae: 2.4963
Epoch 279, true	ll: -4.4538	mae: 0.3714
Epoch 299, true	ll: -3.8053	mae: 0.27953
Epoch 319, true	ll: -1.8428	mae: 0.21662
Epoch 339, true	ll: -4.5096	mae: 0.32828
Epoch 359, true	ll: -2.3571	mae: 0.23066
Epoch 379, true	ll: -2.1557	mae: 0.20432
Epoch 399, true	ll: -1.9327	mae: 0.19015
Epoch 419, true	ll: -2.1663	mae: 0.31122
Epoch 439, true	ll: -2.2551	mae: 0.19245
Epoch 459, true	ll: -1.8703	mae: 0.23617
Epoch 479, true	ll: -1.9337	mae: 0.25059
Epoch 499, true	ll: -2.1578	mae: 0.1888
Epoch 519, true	ll: -2.4586	mae: 0.24918
Epoch 539, true	ll: -2.0468	mae: 0.17441
Epoch 559, true	ll: -6.2117	mae: 0.34994
Epoch 579, true	ll: -4.2638	mae: 0.2562
Epoch 599, true	ll: -2.8166	mae: 0.24346
Epoch 619, true	ll: -2.0885	mae: 0.18293
Epoch 639, true	ll: -1.225	mae: 0.27299
Epoch 659, true	ll: -2.1771	mae: 0.19666
Epoch 679, true	ll: -1.7864	mae: 0.18569
Epoch 699, true	ll: -1.6263	mae: 0.2784
Epoch 719, true	ll: -2.3068	mae: 0.19103
Epoch 739, true	ll: -2.1606	mae: 0.19869
Epoch 759, true	ll: -2.321	mae: 0.43853
Epoch 779, true	ll: -11.012	mae: 0.31094
Epoch 799, true	ll: -18.063	mae: 0.36116
Epoch 819, true	ll: -10.343	mae: 0.31082
Epoch 839, true	ll: -4.7567	mae: 0.26633
Epoch 859, true	ll: -1.894	mae: 0.20799
Epoch 879, true	ll: -1.9521	mae: 0.17973
Epoch 899, true	ll: -2.1248	mae: 0.22715
Epoch 919, true	ll: -1.9506	mae: 0.19541
Epoch 939, true	ll: -1.9704	mae: 0.18279
Epoch 959, true	ll: -1.7113	mae: 0.19157
Epoch 979, true	ll: -1.6122	mae: 0.19804
Epoch 999, true	ll: -1.9978	mae: 0.19448
Kernel Scale: 0.5000000596046448
Test, true	ll: -0.7954	mae: 0.26765
Test, kde	ll: -0.80072	mae: 0.26601
Test, kde	ll: -0.79142	mae: 0.26523
Test, kde	ll: -0.79155	mae: 0.26551
Test, kde	ll: -0.80167	mae: 0.26595
Test, kde	ll: -0.79171	mae: 0.26495
Test, kde	ll: -0.7941	mae: 0.26746
Test, kde	ll: -0.80074	mae: 0.26514
Test, kde	ll: -0.79618	mae: 0.26547
Test, kde	ll: -0.79625	mae: 0.26591
Test, kde	ll: -0.79049	mae: 0.26466
Test metrics over 10 seeds
ll: -0.79548±0.0040908
true ll: -0.7954
mae: 0.26563±0.00074271
true mae: 0.26765
