Epoch 19, true	ll: -2.3309	mae: 0.32591
Epoch 39, true	ll: -4.4191	mae: 0.34309
Epoch 59, true	ll: -1.8629	mae: 0.20701
Epoch 79, true	ll: -2.436	mae: 0.29525
Epoch 99, true	ll: -1.8571	mae: 0.23822
Epoch 119, true	ll: -2.3673	mae: 0.25724
Epoch 139, true	ll: -3.0582	mae: 0.23674
Epoch 159, true	ll: -2.7125	mae: 0.28303
Epoch 179, true	ll: -2.1552	mae: 0.21867
Epoch 199, true	ll: -2.0364	mae: 0.19164
Epoch 219, true	ll: -2.3008	mae: 0.19311
Epoch 239, true	ll: -2.1362	mae: 0.27984
Epoch 259, true	ll: -2.2025	mae: 0.18872
Epoch 279, true	ll: -2.2485	mae: 0.19416
Epoch 299, true	ll: -2.4415	mae: 0.21376
Epoch 319, true	ll: -2.2438	mae: 0.2035
Epoch 339, true	ll: -1.9163	mae: 0.20082
Epoch 359, true	ll: -2.1387	mae: 0.18056
Epoch 379, true	ll: -2.2228	mae: 0.22938
Epoch 399, true	ll: -1.9619	mae: 0.25026
Epoch 419, true	ll: -2.0656	mae: 0.30717
Epoch 439, true	ll: -3.2886	mae: 0.22861
Epoch 459, true	ll: -2.4522	mae: 0.20772
Epoch 479, true	ll: -2.0297	mae: 0.19101
Epoch 499, true	ll: -1.7479	mae: 0.29867
Epoch 519, true	ll: -1.9257	mae: 0.17317
Epoch 539, true	ll: -2.0685	mae: 0.23252
Epoch 559, true	ll: -3.2389	mae: 0.24408
Epoch 579, true	ll: -8.1781	mae: 0.3283
Epoch 599, true	ll: -17.089	mae: 0.39047
Epoch 619, true	ll: -32.151	mae: 0.51499
Epoch 639, true	ll: -2.2952	mae: 0.17848
Epoch 659, true	ll: -272.32	mae: 1.0357
Epoch 679, true	ll: -753.88	mae: 1.602
Epoch 699, true	ll: -2074.0	mae: 2.5548
Epoch 719, true	ll: -4177.2	mae: 3.885
Epoch 739, true	ll: -3526.7	mae: 3.2726
Epoch 759, true	ll: -3250.2	mae: 2.9942
Epoch 779, true	ll: -4799.4	mae: 3.5763
Epoch 799, true	ll: -8389.7	mae: 4.7215
Epoch 819, true	ll: -6162.7	mae: 4.2334
Epoch 839, true	ll: -2.2093	mae: 0.18361
Epoch 859, true	ll: -2.3685	mae: 0.20837
Epoch 879, true	ll: -2.1448	mae: 0.1842
Epoch 899, true	ll: -2.058	mae: 0.19002
Epoch 919, true	ll: -2.2304	mae: 0.18662
Epoch 939, true	ll: -2.0338	mae: 0.20908
Epoch 959, true	ll: -2.341	mae: 0.19325
Epoch 979, true	ll: -2.0615	mae: 0.2266
Epoch 999, true	ll: -2.3286	mae: 0.18952
Kernel Scale: 0.5000000596046448
Test, true	ll: -0.83713	mae: 0.27153
Test, kde	ll: -0.83433	mae: 0.27265
Test, kde	ll: -0.83291	mae: 0.26792
Test, kde	ll: -0.83263	mae: 0.27034
Test, kde	ll: -0.83323	mae: 0.26907
Test, kde	ll: -0.83627	mae: 0.27236
Test, kde	ll: -0.83567	mae: 0.27011
Test, kde	ll: -0.83691	mae: 0.27354
Test, kde	ll: -0.83272	mae: 0.27087
Test, kde	ll: -0.83289	mae: 0.27078
Test, kde	ll: -0.835	mae: 0.27131
Test metrics over 10 seeds
ll: -0.83426±0.0015284
true ll: -0.83713
mae: 0.27089±0.0015963
true mae: 0.27153
