Epoch 19, true	ll: -3.8323	mae: 1.8615
Epoch 39, true	ll: -1.6867	mae: 1.1676
Epoch 59, true	ll: -2.2604	mae: 1.8123
Epoch 79, true	ll: -1.4451	mae: 0.69024
Epoch 99, true	ll: -3.814	mae: 2.1752
Epoch 119, true	ll: -1.8848	mae: 1.0498
Epoch 139, true	ll: -1.5039	mae: 0.73914
Epoch 159, true	ll: -1.4252	mae: 0.74792
Epoch 179, true	ll: -1.3382	mae: 0.72869
Epoch 199, true	ll: -1.4352	mae: 0.70354
Epoch 219, true	ll: -1.3119	mae: 0.70864
Epoch 239, true	ll: -1.204	mae: 0.68528
Epoch 259, true	ll: -1.1986	mae: 0.85658
Epoch 279, true	ll: -1.2775	mae: 0.80467
Epoch 299, true	ll: -1.2048	mae: 0.66983
Epoch 319, true	ll: -0.98411	mae: 0.74547
Epoch 339, true	ll: -0.26104	mae: 0.57587
Epoch 359, true	ll: -0.99608	mae: 0.72925
Epoch 379, true	ll: -0.65448	mae: 0.6339
Epoch 399, true	ll: -0.89441	mae: 0.70624
Epoch 419, true	ll: -0.29278	mae: 0.5643
Epoch 439, true	ll: -0.12487	mae: 0.55488
Epoch 459, true	ll: -0.49044	mae: 0.59802
Epoch 479, true	ll: -0.73372	mae: 0.59878
Epoch 499, true	ll: -0.8357	mae: 0.68373
Epoch 519, true	ll: -1.1548	mae: 0.55622
Epoch 539, true	ll: -0.65567	mae: 0.59177
Epoch 559, true	ll: -0.46766	mae: 0.47411
Epoch 579, true	ll: -0.7898	mae: 0.55848
Epoch 599, true	ll: -1.0425	mae: 0.69594
Epoch 619, true	ll: -0.83438	mae: 0.57683
Epoch 639, true	ll: -0.73015	mae: 0.42645
Epoch 659, true	ll: -0.84712	mae: 0.3535
Epoch 679, true	ll: -0.71211	mae: 0.2845
Epoch 699, true	ll: -0.76357	mae: 0.31862
Epoch 719, true	ll: -0.75339	mae: 0.30081
Epoch 739, true	ll: -0.70934	mae: 0.4012
Epoch 759, true	ll: -0.75501	mae: 0.41101
Epoch 779, true	ll: -1.1517	mae: 0.5333
Epoch 799, true	ll: -4.487	mae: 1.9284
Epoch 819, true	ll: -1.1465	mae: 1.1358
Epoch 839, true	ll: -0.82053	mae: 0.37723
Epoch 859, true	ll: -0.81653	mae: 0.34845
Epoch 879, true	ll: -0.81657	mae: 0.41666
Epoch 899, true	ll: -0.86911	mae: 0.46169
Epoch 919, true	ll: -0.67696	mae: 0.26432
Epoch 939, true	ll: -0.69632	mae: 0.26616
Epoch 959, true	ll: -0.62898	mae: 0.29519
Epoch 979, true	ll: -0.75257	mae: 0.34504
Epoch 999, true	ll: -0.7344	mae: 0.3001
Epoch 1019, true	ll: -0.73905	mae: 0.32495
Epoch 1039, true	ll: -1.6927	mae: 1.2132
Epoch 1059, true	ll: -0.81611	mae: 0.3866
Epoch 1079, true	ll: -0.94865	mae: 0.46339
Epoch 1099, true	ll: -0.61765	mae: 0.25069
Epoch 1119, true	ll: -0.70336	mae: 0.26662
Epoch 1139, true	ll: -0.96617	mae: 0.58394
Epoch 1159, true	ll: -0.59665	mae: 0.34127
Epoch 1179, true	ll: -0.18037	mae: 0.2448
Epoch 1199, true	ll: -0.23347	mae: 0.25098
Epoch 1219, true	ll: -0.99809	mae: 0.52515
Epoch 1239, true	ll: -0.62182	mae: 0.34918
Epoch 1259, true	ll: -0.2104	mae: 0.24571
Epoch 1279, true	ll: -0.91033	mae: 0.36855
Epoch 1299, true	ll: -0.40262	mae: 0.2899
Epoch 1319, true	ll: -0.26336	mae: 0.26904
Epoch 1339, true	ll: -0.2017	mae: 0.26182
Epoch 1359, true	ll: -2.7392	mae: 1.9619
Epoch 1379, true	ll: -1.1064	mae: 0.56024
Epoch 1399, true	ll: -0.38881	mae: 0.27834
Epoch 1419, true	ll: -0.52252	mae: 0.30374
Epoch 1439, true	ll: -0.69092	mae: 0.37148
Epoch 1459, true	ll: -0.67666	mae: 0.33952
Epoch 1479, true	ll: -0.50705	mae: 0.30918
Epoch 1499, true	ll: -0.33106	mae: 0.21019
Epoch 1519, true	ll: -1.9946	mae: 1.4154
Epoch 1539, true	ll: -1.8981	mae: 1.3847
Epoch 1559, true	ll: -0.56833	mae: 0.35721
Epoch 1579, true	ll: -0.82394	mae: 0.53518
Epoch 1599, true	ll: -0.1799	mae: 0.25315
Epoch 1619, true	ll: -1.2764	mae: 0.77736
Epoch 1639, true	ll: -0.47793	mae: 0.2481
Epoch 1659, true	ll: -0.3544	mae: 0.22079
Epoch 1679, true	ll: -0.12983	mae: 0.23343
Epoch 1699, true	ll: -0.90725	mae: 0.4475
Epoch 1719, true	ll: -0.053276	mae: 0.24817
Epoch 1739, true	ll: -0.88756	mae: 0.43121
Epoch 1759, true	ll: -0.088112	mae: 0.22829
Epoch 1779, true	ll: 0.03659	mae: 0.21803
Epoch 1799, true	ll: -0.025874	mae: 0.25051
Epoch 1819, true	ll: -0.26152	mae: 0.2799
Epoch 1839, true	ll: 0.356	mae: 0.18884
Epoch 1859, true	ll: 0.015511	mae: 0.20635
Epoch 1879, true	ll: 0.38891	mae: 0.18162
Epoch 1899, true	ll: 0.38542	mae: 0.19352
Epoch 1919, true	ll: -0.020972	mae: 0.24984
Epoch 1939, true	ll: 0.058131	mae: 0.1872
Epoch 1959, true	ll: 0.25319	mae: 0.19563
Epoch 1979, true	ll: 0.59078	mae: 0.17535
Epoch 1999, true	ll: 0.55522	mae: 0.17242
Kernel Scale: 0.0059038372710347176
Test, true	ll: 0.092418	mae: 0.16277
Test, kde	ll: 0.079476	mae: 0.16204
Test, kde	ll: 0.085643	mae: 0.16258
Test, kde	ll: 0.055853	mae: 0.16337
Test, kde	ll: 0.073212	mae: 0.16423
Test, kde	ll: -0.03368	mae: 0.16048
Test, kde	ll: 0.086684	mae: 0.16209
Test, kde	ll: 0.072492	mae: 0.16411
Test, kde	ll: 0.10659	mae: 0.16098
Test, kde	ll: -0.045283	mae: 0.16547
Test, kde	ll: 0.082086	mae: 0.16201
Test metrics over 10 seeds
ll: 0.056307±0.049476
true ll: 0.092418
mae: 0.16274±0.0014711
true mae: 0.16277
