Epoch 19, true	ll: -1.4899	mae: 0.77445
Epoch 39, true	ll: -1.4432	mae: 0.73526
Epoch 59, true	ll: -1.2935	mae: 0.67674
Epoch 79, true	ll: -0.97585	mae: 0.45723
Epoch 99, true	ll: -0.74038	mae: 0.39522
Epoch 119, true	ll: -0.63095	mae: 0.30071
Epoch 139, true	ll: -0.60747	mae: 0.30559
Epoch 159, true	ll: -0.65267	mae: 0.3579
Epoch 179, true	ll: -0.59824	mae: 0.32995
Epoch 199, true	ll: -0.53044	mae: 0.26672
Epoch 219, true	ll: -0.53261	mae: 0.29501
Epoch 239, true	ll: -0.50706	mae: 0.24496
Epoch 259, true	ll: -0.49046	mae: 0.22204
Epoch 279, true	ll: -0.50376	mae: 0.26098
Epoch 299, true	ll: -0.48276	mae: 0.21695
Epoch 319, true	ll: -0.51708	mae: 0.19049
Epoch 339, true	ll: -0.47328	mae: 0.22879
Epoch 359, true	ll: -0.484	mae: 0.21802
Epoch 379, true	ll: -0.47032	mae: 0.20532
Epoch 399, true	ll: -0.46631	mae: 0.23274
Epoch 419, true	ll: -0.47567	mae: 0.19572
Epoch 439, true	ll: -0.63191	mae: 0.23767
Epoch 459, true	ll: -0.46431	mae: 0.20906
Epoch 479, true	ll: -0.52676	mae: 0.30527
Epoch 499, true	ll: -0.45615	mae: 0.23109
Epoch 519, true	ll: -0.49967	mae: 0.18273
Epoch 539, true	ll: -0.48614	mae: 0.21385
Epoch 559, true	ll: -0.47855	mae: 0.19316
Epoch 579, true	ll: -0.46257	mae: 0.24161
Epoch 599, true	ll: -0.49828	mae: 0.28975
Epoch 619, true	ll: -0.51842	mae: 0.30387
Epoch 639, true	ll: -0.47442	mae: 0.17624
Epoch 659, true	ll: -0.4567	mae: 0.20673
Epoch 679, true	ll: -0.53043	mae: 0.31662
Epoch 699, true	ll: -0.47615	mae: 0.18138
Epoch 719, true	ll: -0.47077	mae: 0.17909
Epoch 739, true	ll: -0.45043	mae: 0.22256
Epoch 759, true	ll: -0.48726	mae: 0.1917
Epoch 779, true	ll: -0.46745	mae: 0.26355
Epoch 799, true	ll: -0.45961	mae: 0.24641
Epoch 819, true	ll: -0.4796	mae: 0.28195
Epoch 839, true	ll: -0.49071	mae: 0.18837
Epoch 859, true	ll: -0.45423	mae: 0.20081
Epoch 879, true	ll: -0.48667	mae: 0.17981
Epoch 899, true	ll: -0.4738	mae: 0.1781
Epoch 919, true	ll: -0.46837	mae: 0.25729
Epoch 939, true	ll: -0.51195	mae: 0.30205
Epoch 959, true	ll: -0.45661	mae: 0.24497
Epoch 979, true	ll: -0.44625	mae: 0.19352
Epoch 999, true	ll: -0.55032	mae: 0.3279
Kernel Scale: 0.1406564861536026
Test, true	ll: -0.40606	mae: 0.19132
Test, kde	ll: -0.40586	mae: 0.19114
Test, kde	ll: -0.40542	mae: 0.19136
Test, kde	ll: -0.40592	mae: 0.19133
Test, kde	ll: -0.40541	mae: 0.19114
Test, kde	ll: -0.40562	mae: 0.19119
Test, kde	ll: -0.40591	mae: 0.19142
Test, kde	ll: -0.40582	mae: 0.19121
Test, kde	ll: -0.4051	mae: 0.19121
Test, kde	ll: -0.40493	mae: 0.19111
Test, kde	ll: -0.4059	mae: 0.19143
Test metrics over 10 seeds
ll: -0.40559±0.00034233
true ll: -0.40606
mae: 0.19126±0.0001149
true mae: 0.19132
