Epoch 4, true	ll: -1.3102	mae: 0.68931
Epoch 9, true	ll: -0.091004	mae: 0.5046
Epoch 14, true	ll: 0.3324	mae: 0.50315
Epoch 19, true	ll: 1.4522	mae: 0.49671
Epoch 24, true	ll: 1.5576	mae: 0.49646
Epoch 29, true	ll: 1.5883	mae: 0.49322
Epoch 34, true	ll: 1.5618	mae: 0.49306
Epoch 39, true	ll: 1.5765	mae: 0.50017
Epoch 44, true	ll: 1.5683	mae: 0.50109
Epoch 49, true	ll: 1.5833	mae: 0.50408
Epoch 54, true	ll: 1.5615	mae: 0.5026
Epoch 59, true	ll: 1.6005	mae: 0.4994
Epoch 64, true	ll: 1.6436	mae: 0.50117
Epoch 69, true	ll: 1.6373	mae: 0.50114
Epoch 74, true	ll: 1.6364	mae: 0.50141
Epoch 79, true	ll: 1.6657	mae: 0.50041
Epoch 84, true	ll: 1.6661	mae: 0.50054
Epoch 89, true	ll: 1.675	mae: 0.49668
Epoch 94, true	ll: 1.634	mae: 0.50026
Epoch 99, true	ll: 1.6838	mae: 0.50052
Epoch 104, true	ll: 1.6983	mae: 0.49642
Epoch 109, true	ll: 1.6966	mae: 0.49883
Epoch 114, true	ll: 1.6688	mae: 0.50093
Epoch 119, true	ll: 1.6793	mae: 0.50352
Epoch 124, true	ll: 1.6699	mae: 0.50314
Epoch 129, true	ll: 1.704	mae: 0.50322
Epoch 134, true	ll: 1.6973	mae: 0.50325
Epoch 139, true	ll: 1.7056	mae: 0.50146
Epoch 144, true	ll: 1.3852	mae: 0.49923
Epoch 149, true	ll: 1.708	mae: 0.49604
Epoch 154, true	ll: 1.7262	mae: 0.49796
Epoch 159, true	ll: 1.71	mae: 0.49756
Epoch 164, true	ll: 1.7063	mae: 0.49717
Epoch 169, true	ll: 1.7279	mae: 0.49811
Epoch 174, true	ll: 1.7299	mae: 0.494
Epoch 179, true	ll: 1.6665	mae: 0.499
Epoch 184, true	ll: 1.732	mae: 0.49868
Epoch 189, true	ll: 0.68702	mae: 0.48381
Epoch 194, true	ll: 1.7153	mae: 0.46679
Epoch 199, true	ll: 1.724	mae: 0.45789
Epoch 204, true	ll: 1.7272	mae: 0.47085
Epoch 209, true	ll: 1.7263	mae: 0.46811
Epoch 214, true	ll: 1.6752	mae: 0.48964
Epoch 219, true	ll: 1.7147	mae: 0.48034
Epoch 224, true	ll: 1.7234	mae: 0.48826
Epoch 229, true	ll: 1.7285	mae: 0.49699
Epoch 234, true	ll: 1.7503	mae: 0.49758
Epoch 239, true	ll: 1.7542	mae: 0.49265
Epoch 244, true	ll: 1.7544	mae: 0.49429
Epoch 249, true	ll: 1.6856	mae: 0.48951
Epoch 254, true	ll: 1.7551	mae: 0.48246
Epoch 259, true	ll: 1.7615	mae: 0.4777
Epoch 264, true	ll: 1.7518	mae: 0.47
Epoch 269, true	ll: 1.7434	mae: 0.4688
Epoch 274, true	ll: 1.7518	mae: 0.47635
Epoch 279, true	ll: 1.7701	mae: 0.47775
Epoch 284, true	ll: 1.7577	mae: 0.47891
Epoch 289, true	ll: 1.7701	mae: 0.47731
Epoch 294, true	ll: 1.7794	mae: 0.46767
Epoch 299, true	ll: 1.7732	mae: 0.4811
Epoch 304, true	ll: 1.7422	mae: 0.47107
Epoch 309, true	ll: 1.7668	mae: 0.45525
Epoch 314, true	ll: 1.7576	mae: 0.44892
Epoch 319, true	ll: 1.7738	mae: 0.45521
Epoch 324, true	ll: 1.7732	mae: 0.45936
Epoch 329, true	ll: 1.731	mae: 0.45529
Epoch 334, true	ll: 1.7786	mae: 0.45826
Epoch 339, true	ll: 1.7667	mae: 0.44669
Epoch 344, true	ll: 1.7456	mae: 0.44582
Epoch 349, true	ll: 1.7075	mae: 0.46172
Epoch 354, true	ll: 1.7035	mae: 0.46637
Epoch 359, true	ll: 1.7418	mae: 0.46367
Epoch 364, true	ll: 1.6731	mae: 0.46079
Epoch 369, true	ll: 1.6799	mae: 0.47147
Epoch 374, true	ll: 1.628	mae: 0.46118
Epoch 379, true	ll: 1.6115	mae: 0.46317
Epoch 384, true	ll: 1.5287	mae: 0.48003
Epoch 389, true	ll: 1.5103	mae: 0.48158
Epoch 394, true	ll: 1.5263	mae: 0.48424
Epoch 399, true	ll: 1.5126	mae: 0.46882
Epoch 404, true	ll: 1.4399	mae: 0.49266
Epoch 409, true	ll: 1.494	mae: 0.48766
Epoch 414, true	ll: 1.4557	mae: 0.4774
Epoch 419, true	ll: 1.4382	mae: 0.48725
Epoch 424, true	ll: 1.4324	mae: 0.48838
Epoch 429, true	ll: 1.4133	mae: 0.49304
