Epoch 4, true	ll: -0.69883	mae: 0.47839
Epoch 9, true	ll: -0.69619	mae: 0.46787
Epoch 14, true	ll: -0.69596	mae: 0.46812
Epoch 19, true	ll: -0.69699	mae: 0.4697
Epoch 24, true	ll: -0.69712	mae: 0.4696
Epoch 29, true	ll: -0.69612	mae: 0.46738
Epoch 34, true	ll: -0.69615	mae: 0.46783
Epoch 39, true	ll: -0.69616	mae: 0.46847
Epoch 44, true	ll: -0.69703	mae: 0.46943
Epoch 49, true	ll: -0.69747	mae: 0.46926
Epoch 54, true	ll: -0.69653	mae: 0.46704
Epoch 59, true	ll: -0.69634	mae: 0.46716
Epoch 64, true	ll: -0.69663	mae: 0.46867
Epoch 69, true	ll: -0.69606	mae: 0.46878
Epoch 74, true	ll: -0.69619	mae: 0.46854
Epoch 79, true	ll: -0.69744	mae: 0.46932
Epoch 84, true	ll: -0.69718	mae: 0.46695
Epoch 89, true	ll: -0.69798	mae: 0.47004
Epoch 94, true	ll: -0.6977	mae: 0.46994
Epoch 99, true	ll: -0.69713	mae: 0.46897
Epoch 104, true	ll: -0.69618	mae: 0.46843
Epoch 109, true	ll: -0.69688	mae: 0.46926
Epoch 114, true	ll: -0.69641	mae: 0.46693
Epoch 119, true	ll: -0.69688	mae: 0.46634
Epoch 124, true	ll: -0.69656	mae: 0.46951
Epoch 129, true	ll: -0.69615	mae: 0.46847
Epoch 134, true	ll: -0.69634	mae: 0.46882
Epoch 139, true	ll: -0.69609	mae: 0.46828
Epoch 144, true	ll: -0.69654	mae: 0.46941
Epoch 149, true	ll: -0.69625	mae: 0.46829
Epoch 154, true	ll: -0.69624	mae: 0.46849
Epoch 159, true	ll: -0.69625	mae: 0.46742
Epoch 164, true	ll: -0.69629	mae: 0.46751
Epoch 169, true	ll: -0.69716	mae: 0.46995
Epoch 174, true	ll: -0.69756	mae: 0.4698
Epoch 179, true	ll: -0.69648	mae: 0.46924
Epoch 184, true	ll: -0.69644	mae: 0.46824
Epoch 189, true	ll: -0.69802	mae: 0.46946
Epoch 194, true	ll: -0.69617	mae: 0.46885
Epoch 199, true	ll: -0.69648	mae: 0.46869
Epoch 204, true	ll: -0.69651	mae: 0.46658
Epoch 209, true	ll: -0.69647	mae: 0.46914
Epoch 214, true	ll: -0.69626	mae: 0.46819
Epoch 219, true	ll: -0.69677	mae: 0.46907
Epoch 224, true	ll: -0.69641	mae: 0.46911
Epoch 229, true	ll: -0.69708	mae: 0.46958
Epoch 234, true	ll: -0.69708	mae: 0.46919
Epoch 239, true	ll: -0.69635	mae: 0.46762
Epoch 244, true	ll: -0.69653	mae: 0.46894
Epoch 249, true	ll: -0.69723	mae: 0.46987
Epoch 254, true	ll: -0.69794	mae: 0.46952
Epoch 259, true	ll: -0.69614	mae: 0.46847
Epoch 264, true	ll: -0.69637	mae: 0.46783
Epoch 269, true	ll: -0.69642	mae: 0.46735
