Epoch 19, true	ll: -0.5375	mae: 0.23859
Epoch 39, true	ll: -1.053	mae: 0.23639
Epoch 59, true	ll: -1.1991	mae: 0.23332
Epoch 79, true	ll: -0.40575	mae: 0.23146
Epoch 99, true	ll: 0.21432	mae: 0.23406
Epoch 119, true	ll: -0.45888	mae: 0.23192
Epoch 139, true	ll: -0.54502	mae: 0.23099
Epoch 159, true	ll: -0.068405	mae: 0.23237
Epoch 179, true	ll: -0.31326	mae: 0.232
Epoch 199, true	ll: -0.15246	mae: 0.23151
Epoch 219, true	ll: -0.17848	mae: 0.23147
Epoch 239, true	ll: -0.18013	mae: 0.23464
Epoch 259, true	ll: -0.30331	mae: 0.23083
Epoch 279, true	ll: -0.16912	mae: 0.23098
Epoch 299, true	ll: -0.59572	mae: 0.2308
Epoch 319, true	ll: -0.22721	mae: 0.23104
Epoch 339, true	ll: 0.76707	mae: 0.24602
Epoch 359, true	ll: -0.63618	mae: 0.23229
Epoch 379, true	ll: -0.079434	mae: 0.23192
Epoch 399, true	ll: 0.10339	mae: 0.23084
Epoch 419, true	ll: -0.24549	mae: 0.23127
Epoch 439, true	ll: 0.46959	mae: 0.23297
Epoch 459, true	ll: -0.37837	mae: 0.23083
Epoch 479, true	ll: 0.43696	mae: 0.23204
Epoch 499, true	ll: 0.2053	mae: 0.25333
Epoch 519, true	ll: -0.31213	mae: 0.26599
Epoch 539, true	ll: 0.02818	mae: 0.27099
Epoch 559, true	ll: -0.11511	mae: 0.23098
Epoch 579, true	ll: -0.20542	mae: 0.2312
Epoch 599, true	ll: 0.22685	mae: 0.23143
Epoch 619, true	ll: 0.46373	mae: 0.2329
Epoch 639, true	ll: 0.27718	mae: 0.23083
Epoch 659, true	ll: 0.02329	mae: 0.23077
Epoch 679, true	ll: -0.10098	mae: 0.23101
Epoch 699, true	ll: 0.27066	mae: 0.23092
Epoch 719, true	ll: -0.14095	mae: 0.23078
Epoch 739, true	ll: -0.28477	mae: 0.23084
Epoch 759, true	ll: -0.3037	mae: 0.23078
Epoch 779, true	ll: 0.17732	mae: 0.23075
Epoch 799, true	ll: -0.24438	mae: 0.231
Epoch 819, true	ll: 0.07274	mae: 0.23096
Epoch 839, true	ll: 0.20224	mae: 0.23097
Epoch 859, true	ll: -0.57247	mae: 0.23079
Epoch 879, true	ll: -0.036876	mae: 0.23074
Epoch 899, true	ll: 0.097255	mae: 0.23109
Epoch 919, true	ll: -0.53422	mae: 0.23238
Epoch 939, true	ll: 0.3558	mae: 0.23156
Epoch 959, true	ll: -0.39537	mae: 0.23079
Epoch 979, true	ll: 0.16683	mae: 0.23236
Epoch 999, true	ll: -0.082662	mae: 0.23175
Kernel Scale: 0.0027583418413996696
Test, true	ll: 0.85158	mae: 0.25692
Test, kde	ll: -7.5785	mae: 0.25759
Test, kde	ll: 0.1081	mae: 0.25934
Test, kde	ll: -5.4671	mae: 0.25862
Test, kde	ll: -1.2437	mae: 0.25875
Test, kde	ll: 0.28213	mae: 0.25732
Test, kde	ll: -1.3074	mae: 0.25904
Test, kde	ll: -2.5874	mae: 0.25683
Test, kde	ll: -2.1749	mae: 0.25772
Test, kde	ll: -12.106	mae: 0.25646
Test, kde	ll: 0.88831	mae: 0.2559
Test metrics over 10 seeds
ll: -3.1187±3.901
true ll: 0.85158
mae: 0.25776±0.0011003
true mae: 0.25692
