Epoch 9, true	ll: -1.6889	mae: 1.2474
Epoch 19, true	ll: -1.2769	mae: 1.2486
Epoch 29, true	ll: -0.88434	mae: 1.2451
Epoch 39, true	ll: -0.87274	mae: 1.2453
Epoch 49, true	ll: -0.89508	mae: 1.2456
Epoch 59, true	ll: -0.88501	mae: 1.246
Epoch 69, true	ll: -0.86261	mae: 1.2451
Epoch 79, true	ll: -0.84804	mae: 1.2451
Epoch 89, true	ll: -0.87742	mae: 1.2453
Epoch 99, true	ll: -0.84089	mae: 1.2454
Epoch 109, true	ll: -0.79747	mae: 1.2462
Epoch 119, true	ll: -0.80196	mae: 1.2456
Epoch 129, true	ll: -0.81935	mae: 1.2459
Epoch 139, true	ll: -0.79514	mae: 1.2458
Epoch 149, true	ll: -0.82364	mae: 1.2449
Epoch 159, true	ll: -0.79676	mae: 1.2459
Epoch 169, true	ll: -0.81001	mae: 1.2458
Epoch 179, true	ll: -0.80443	mae: 1.2454
Epoch 189, true	ll: -0.80117	mae: 1.2452
Epoch 199, true	ll: -0.79411	mae: 1.2455
