Epoch 4, true	ll: -1.5189	mae: 0.74051
Epoch 9, true	ll: -2.5059	mae: 1.3118
Epoch 14, true	ll: -1.6132	mae: 0.85295
Epoch 19, true	ll: -1.538	mae: 0.66387
Epoch 24, true	ll: -1.5175	mae: 0.65926
Epoch 29, true	ll: -1.5238	mae: 0.66128
Epoch 34, true	ll: -1.5575	mae: 0.6637
Epoch 39, true	ll: -1.5628	mae: 0.85745
Epoch 44, true	ll: -1.6064	mae: 0.66702
Epoch 49, true	ll: -1.4939	mae: 0.66389
Epoch 54, true	ll: -1.4573	mae: 0.67072
Epoch 59, true	ll: -1.4808	mae: 0.65577
Epoch 64, true	ll: -1.3353	mae: 0.66787
Epoch 69, true	ll: -1.2862	mae: 0.66181
Epoch 74, true	ll: -1.3771	mae: 0.65904
Epoch 79, true	ll: -1.3057	mae: 0.66361
Epoch 84, true	ll: -1.2327	mae: 0.66677
Epoch 89, true	ll: -1.1852	mae: 0.6603
Epoch 94, true	ll: -1.2184	mae: 0.66269
Epoch 99, true	ll: -1.1612	mae: 0.67198
Epoch 104, true	ll: -1.13	mae: 0.67906
Epoch 109, true	ll: -1.181	mae: 0.68556
Epoch 114, true	ll: -1.1685	mae: 0.69859
Epoch 119, true	ll: -1.1656	mae: 0.75305
Epoch 124, true	ll: -1.2085	mae: 0.81809
Epoch 129, true	ll: -1.2387	mae: 0.78623
Epoch 134, true	ll: -1.1259	mae: 0.75629
Epoch 139, true	ll: -1.1331	mae: 0.73771
Epoch 144, true	ll: -1.1434	mae: 0.76351
Epoch 149, true	ll: -1.1261	mae: 0.74502
Epoch 154, true	ll: -1.0738	mae: 0.75506
Epoch 159, true	ll: -1.0803	mae: 0.73102
Epoch 164, true	ll: -1.1032	mae: 0.71657
Epoch 169, true	ll: -1.0574	mae: 0.7065
Epoch 174, true	ll: -1.0926	mae: 0.71518
Epoch 179, true	ll: -1.0701	mae: 0.69584
Epoch 184, true	ll: -1.0578	mae: 0.7008
Epoch 189, true	ll: -1.114	mae: 0.72853
Epoch 194, true	ll: -1.1831	mae: 0.80705
Epoch 199, true	ll: -1.0498	mae: 0.68906
Epoch 204, true	ll: -1.102	mae: 0.69415
Epoch 209, true	ll: -1.1078	mae: 0.71284
Epoch 214, true	ll: -1.2399	mae: 0.73785
Epoch 219, true	ll: -1.0419	mae: 0.69748
Epoch 224, true	ll: -1.2128	mae: 0.72397
Epoch 229, true	ll: -0.99993	mae: 0.68059
Epoch 234, true	ll: -1.0751	mae: 0.69182
Epoch 239, true	ll: -1.0077	mae: 0.68091
Epoch 244, true	ll: -1.0696	mae: 0.72033
Epoch 249, true	ll: -1.0441	mae: 0.70868
Epoch 254, true	ll: -1.0477	mae: 0.6851
Epoch 259, true	ll: -1.0198	mae: 0.69327
Epoch 264, true	ll: -0.99329	mae: 0.65933
Epoch 269, true	ll: -1.0422	mae: 0.69655
Epoch 274, true	ll: -1.0969	mae: 0.68559
Epoch 279, true	ll: -1.0125	mae: 0.69866
Epoch 284, true	ll: -0.97722	mae: 0.70088
Epoch 289, true	ll: -1.0366	mae: 0.70501
Epoch 294, true	ll: -0.99226	mae: 0.70968
Epoch 299, true	ll: -0.91474	mae: 0.66786
Epoch 304, true	ll: -0.89852	mae: 0.67616
Epoch 309, true	ll: -1.1502	mae: 0.70181
Epoch 314, true	ll: -0.88269	mae: 0.66341
Epoch 319, true	ll: -0.87138	mae: 0.68051
Epoch 324, true	ll: -0.90391	mae: 0.66727
Epoch 329, true	ll: -0.84396	mae: 0.66791
Epoch 334, true	ll: -1.0429	mae: 0.69695
Epoch 339, true	ll: -0.93733	mae: 0.67321
Epoch 344, true	ll: -0.9432	mae: 0.69203
Epoch 349, true	ll: -0.90046	mae: 0.67417
Epoch 354, true	ll: -0.91125	mae: 0.65604
Epoch 359, true	ll: -0.93167	mae: 0.65627
Epoch 364, true	ll: -0.93698	mae: 0.66314
Epoch 369, true	ll: -0.89217	mae: 0.68648
Epoch 374, true	ll: -0.89289	mae: 0.66912
Epoch 379, true	ll: -0.87276	mae: 0.6493
Epoch 384, true	ll: -0.88851	mae: 0.67034
Epoch 389, true	ll: -0.96425	mae: 0.68632
Epoch 394, true	ll: -0.87972	mae: 0.66005
Epoch 399, true	ll: -0.908	mae: 0.6635
Epoch 404, true	ll: -0.87524	mae: 0.65699
Epoch 409, true	ll: -0.80976	mae: 0.6498
Epoch 414, true	ll: -0.85308	mae: 0.68729
Epoch 419, true	ll: -0.89231	mae: 0.69076
Epoch 424, true	ll: -0.8074	mae: 0.66835
Epoch 429, true	ll: -0.81975	mae: 0.68396
Epoch 434, true	ll: -0.78869	mae: 0.68226
Epoch 439, true	ll: -0.76918	mae: 0.7016
Epoch 444, true	ll: -0.74747	mae: 0.67507
Epoch 449, true	ll: -0.77457	mae: 0.6726
Epoch 454, true	ll: -0.74844	mae: 0.69855
Epoch 459, true	ll: -0.75027	mae: 0.66373
Epoch 464, true	ll: -0.70945	mae: 0.66934
Epoch 469, true	ll: -0.76635	mae: 0.68615
Epoch 474, true	ll: -0.77927	mae: 0.66503
Epoch 479, true	ll: -0.77503	mae: 0.69318
Epoch 484, true	ll: -0.7286	mae: 0.68973
Epoch 489, true	ll: -0.7235	mae: 0.68104
Epoch 494, true	ll: -0.71619	mae: 0.67822
Epoch 499, true	ll: -0.70914	mae: 0.68988
Epoch 504, true	ll: -0.76498	mae: 0.68727
Epoch 509, true	ll: -0.75234	mae: 0.70386
Epoch 514, true	ll: -0.71827	mae: 0.67883
Epoch 519, true	ll: -0.7838	mae: 0.70606
Epoch 524, true	ll: -0.72027	mae: 0.71285
Epoch 529, true	ll: -0.7781	mae: 0.71421
Epoch 534, true	ll: -0.71825	mae: 0.69481
Epoch 539, true	ll: -0.73186	mae: 0.68476
Epoch 544, true	ll: -0.69624	mae: 0.68719
Epoch 549, true	ll: -0.70422	mae: 0.68215
Epoch 554, true	ll: -0.79661	mae: 0.78681
Epoch 559, true	ll: -0.67893	mae: 0.69745
Epoch 564, true	ll: -0.69486	mae: 0.73935
Epoch 569, true	ll: -0.8135	mae: 0.75298
Epoch 574, true	ll: -1.0155	mae: 0.80801
Epoch 579, true	ll: -0.72503	mae: 0.68592
Epoch 584, true	ll: -0.72151	mae: 0.68175
Epoch 589, true	ll: -0.70085	mae: 0.70499
Epoch 594, true	ll: -0.73692	mae: 0.7575
Epoch 599, true	ll: -0.83315	mae: 0.70978
Epoch 604, true	ll: -0.65962	mae: 0.68802
Epoch 609, true	ll: -0.81829	mae: 0.69589
Epoch 614, true	ll: -1.1631	mae: 0.90232
Epoch 619, true	ll: -0.65501	mae: 0.68313
Epoch 624, true	ll: -0.69939	mae: 0.71694
Epoch 629, true	ll: -0.72879	mae: 0.67763
Epoch 634, true	ll: -0.85315	mae: 0.741
Epoch 639, true	ll: -0.9136	mae: 0.81497
Epoch 644, true	ll: -0.71653	mae: 0.6414
Epoch 649, true	ll: -0.76563	mae: 0.69388
Epoch 654, true	ll: -0.79347	mae: 0.68176
Epoch 659, true	ll: -0.62946	mae: 0.66245
Epoch 664, true	ll: -0.87183	mae: 0.68847
