Epoch 4, true	ll: -1.5663	mae: 0.75285
Epoch 9, true	ll: -1.8076	mae: 0.97273
Epoch 14, true	ll: -1.5277	mae: 0.79155
Epoch 19, true	ll: -1.5194	mae: 0.65517
Epoch 24, true	ll: -1.8522	mae: 0.82595
Epoch 29, true	ll: -1.5635	mae: 0.65799
Epoch 34, true	ll: -1.5294	mae: 0.77189
Epoch 39, true	ll: -1.6453	mae: 0.81081
Epoch 44, true	ll: -1.6533	mae: 0.6667
Epoch 49, true	ll: -1.719	mae: 0.6705
Epoch 54, true	ll: -1.6599	mae: 0.66097
Epoch 59, true	ll: -1.6704	mae: 0.673
Epoch 64, true	ll: -1.6992	mae: 0.6643
Epoch 69, true	ll: -1.6211	mae: 0.71974
Epoch 74, true	ll: -1.6787	mae: 0.84283
Epoch 79, true	ll: -1.6173	mae: 0.67627
Epoch 84, true	ll: -1.67	mae: 0.66113
Epoch 89, true	ll: -1.7251	mae: 0.6675
Epoch 94, true	ll: -1.6757	mae: 0.84263
Epoch 99, true	ll: -1.4393	mae: 0.7235
Epoch 104, true	ll: -1.6639	mae: 0.6738
Epoch 109, true	ll: -1.8337	mae: 0.68146
Epoch 114, true	ll: -2.0572	mae: 0.70703
Epoch 119, true	ll: -1.9595	mae: 0.69661
Epoch 124, true	ll: -1.4648	mae: 0.70308
Epoch 129, true	ll: -1.4293	mae: 0.68381
Epoch 134, true	ll: -1.4002	mae: 0.66568
Epoch 139, true	ll: -1.3868	mae: 0.65464
Epoch 144, true	ll: -1.3629	mae: 0.65534
Epoch 149, true	ll: -1.3503	mae: 0.65439
Epoch 154, true	ll: -1.3331	mae: 0.65518
Epoch 159, true	ll: -1.329	mae: 0.66145
Epoch 164, true	ll: -1.3311	mae: 0.6617
Epoch 169, true	ll: -1.3598	mae: 0.68105
Epoch 174, true	ll: -1.2735	mae: 0.67926
Epoch 179, true	ll: -1.2384	mae: 0.67032
Epoch 184, true	ll: -1.311	mae: 0.67423
Epoch 189, true	ll: -1.3322	mae: 0.68666
Epoch 194, true	ll: -1.3216	mae: 0.71565
Epoch 199, true	ll: -1.2755	mae: 0.70706
Epoch 204, true	ll: -1.2392	mae: 0.7655
Epoch 209, true	ll: -2.9619	mae: 0.94186
Epoch 214, true	ll: -1.8484	mae: 1.0188
Epoch 219, true	ll: -1.4664	mae: 0.75369
Epoch 224, true	ll: -1.3305	mae: 0.70373
Epoch 229, true	ll: -1.4453	mae: 0.73583
Epoch 234, true	ll: -1.2513	mae: 0.69127
Epoch 239, true	ll: -1.3412	mae: 0.74386
Epoch 244, true	ll: -1.253	mae: 0.70267
Epoch 249, true	ll: -1.0876	mae: 0.78507
Epoch 254, true	ll: -2.7884	mae: 0.95704
Epoch 259, true	ll: -2.5221	mae: 0.93476
Epoch 264, true	ll: -1.0605	mae: 0.76114
Epoch 269, true	ll: -1.2907	mae: 0.71373
Epoch 274, true	ll: -1.2492	mae: 0.69685
Epoch 279, true	ll: -1.39	mae: 0.68741
Epoch 284, true	ll: -1.4475	mae: 0.71774
Epoch 289, true	ll: -1.2575	mae: 0.71837
Epoch 294, true	ll: -1.2696	mae: 0.72696
Epoch 299, true	ll: -0.88131	mae: 0.74611
Epoch 304, true	ll: -1.0636	mae: 0.72341
Epoch 309, true	ll: -1.0271	mae: 0.69686
Epoch 314, true	ll: -1.0668	mae: 0.71207
Epoch 319, true	ll: -1.2104	mae: 0.68635
Epoch 324, true	ll: -1.0888	mae: 0.7679
Epoch 329, true	ll: -1.1363	mae: 0.69132
Epoch 334, true	ll: -1.0622	mae: 0.72552
Epoch 339, true	ll: -1.2572	mae: 0.68185
Epoch 344, true	ll: -1.1169	mae: 0.72801
Epoch 349, true	ll: -1.1316	mae: 0.79894
Epoch 354, true	ll: -1.2801	mae: 0.85031
Epoch 359, true	ll: -1.3313	mae: 0.79895
Epoch 364, true	ll: -1.4147	mae: 0.69186
Epoch 369, true	ll: -1.3504	mae: 0.6906
Epoch 374, true	ll: -1.3713	mae: 0.76833
