Epoch 4, true	ll: -0.21442	mae: 0.23526
Epoch 9, true	ll: -0.257	mae: 0.23687
Epoch 14, true	ll: -0.11999	mae: 0.20628
Epoch 19, true	ll: -0.13705	mae: 0.21312
Epoch 24, true	ll: -0.082384	mae: 0.20144
Epoch 29, true	ll: -0.10024	mae: 0.2022
Epoch 34, true	ll: -0.084561	mae: 0.19967
Epoch 39, true	ll: -0.081772	mae: 0.2037
Epoch 44, true	ll: -0.12444	mae: 0.20484
Epoch 49, true	ll: -0.092548	mae: 0.2074
Epoch 54, true	ll: -0.14723	mae: 0.21625
Epoch 59, true	ll: -0.059402	mae: 0.19656
Epoch 64, true	ll: -0.074083	mae: 0.20113
Epoch 69, true	ll: -0.088512	mae: 0.20222
Epoch 74, true	ll: -0.093428	mae: 0.19859
Epoch 79, true	ll: -0.074615	mae: 0.19675
Epoch 84, true	ll: -0.093073	mae: 0.19957
Epoch 89, true	ll: -0.15405	mae: 0.21095
Epoch 94, true	ll: -0.096305	mae: 0.19818
Epoch 99, true	ll: -0.12861	mae: 0.20739
Epoch 104, true	ll: -0.054764	mae: 0.19551
Epoch 109, true	ll: -0.10451	mae: 0.20531
Epoch 114, true	ll: -0.071989	mae: 0.19581
Epoch 119, true	ll: -0.1498	mae: 0.21185
Epoch 124, true	ll: -0.12333	mae: 0.20154
Epoch 129, true	ll: -0.080829	mae: 0.19522
Epoch 134, true	ll: -0.078966	mae: 0.20158
Epoch 139, true	ll: -0.056982	mae: 0.19937
Epoch 144, true	ll: -0.056123	mae: 0.19262
Epoch 149, true	ll: -0.096972	mae: 0.20062
Epoch 154, true	ll: -0.069916	mae: 0.19545
Epoch 159, true	ll: -0.11007	mae: 0.20585
Epoch 164, true	ll: -0.16398	mae: 0.21274
Epoch 169, true	ll: -0.059451	mae: 0.19457
Epoch 174, true	ll: -0.065804	mae: 0.19411
Epoch 179, true	ll: -0.14077	mae: 0.21575
Epoch 184, true	ll: -0.077232	mae: 0.195
Epoch 189, true	ll: -0.045237	mae: 0.19111
Epoch 194, true	ll: -0.054153	mae: 0.18817
Epoch 199, true	ll: -0.07595	mae: 0.19942
Epoch 204, true	ll: -0.064804	mae: 0.19862
Epoch 209, true	ll: -0.006659	mae: 0.18833
Epoch 214, true	ll: -0.041918	mae: 0.19058
Epoch 219, true	ll: -0.10293	mae: 0.20838
Epoch 224, true	ll: -0.070085	mae: 0.20282
Epoch 229, true	ll: -0.054598	mae: 0.19139
Epoch 234, true	ll: -0.037625	mae: 0.18644
Epoch 239, true	ll: -0.026178	mae: 0.18994
Epoch 244, true	ll: -0.029879	mae: 0.18744
Epoch 249, true	ll: -0.061856	mae: 0.19638
Epoch 254, true	ll: -0.070568	mae: 0.20001
Epoch 259, true	ll: -0.081894	mae: 0.20277
Epoch 264, true	ll: -0.029645	mae: 0.18645
Epoch 269, true	ll: -0.013563	mae: 0.1859
Epoch 274, true	ll: -0.12543	mae: 0.21352
Epoch 279, true	ll: -0.025043	mae: 0.18816
Epoch 284, true	ll: -0.05522	mae: 0.19828
Epoch 289, true	ll: 0.0044788	mae: 0.18716
Epoch 294, true	ll: -0.033819	mae: 0.19061
Epoch 299, true	ll: -0.092346	mae: 0.20269
Epoch 304, true	ll: -0.1522	mae: 0.21967
Epoch 309, true	ll: -0.0063791	mae: 0.18798
Epoch 314, true	ll: -0.062551	mae: 0.20576
Epoch 319, true	ll: -0.026731	mae: 0.19324
Epoch 324, true	ll: -0.039904	mae: 0.19326
Epoch 329, true	ll: -0.041954	mae: 0.18915
Epoch 334, true	ll: -0.0097204	mae: 0.18569
Epoch 339, true	ll: -0.010216	mae: 0.18684
Epoch 344, true	ll: -0.039532	mae: 0.19247
Epoch 349, true	ll: -0.051683	mae: 0.19243
Epoch 354, true	ll: -0.052178	mae: 0.19385
Epoch 359, true	ll: 0.0032247	mae: 0.18658
Epoch 364, true	ll: -0.048561	mae: 0.18809
Epoch 369, true	ll: -0.0097141	mae: 0.18686
Epoch 374, true	ll: -0.13024	mae: 0.22066
Epoch 379, true	ll: -0.02683	mae: 0.19034
Epoch 384, true	ll: -0.044329	mae: 0.19752
Epoch 389, true	ll: -0.18087	mae: 0.22803
Epoch 394, true	ll: 0.019854	mae: 0.185
Epoch 399, true	ll: -0.019194	mae: 0.18586
Epoch 404, true	ll: -0.0034617	mae: 0.18583
Epoch 409, true	ll: -0.12398	mae: 0.21119
Epoch 414, true	ll: -0.11216	mae: 0.21199
Epoch 419, true	ll: -0.033345	mae: 0.19253
Epoch 424, true	ll: -0.0021425	mae: 0.18709
Epoch 429, true	ll: -0.1137	mae: 0.21442
Epoch 434, true	ll: -0.012687	mae: 0.18656
Epoch 439, true	ll: -0.39486	mae: 0.30034
Epoch 444, true	ll: -0.14233	mae: 0.22203
Epoch 449, true	ll: -0.11007	mae: 0.20628
Epoch 454, true	ll: -0.017574	mae: 0.19365
Epoch 459, true	ll: -0.020945	mae: 0.19564
Epoch 464, true	ll: -0.06906	mae: 0.20087
Epoch 469, true	ll: -0.020761	mae: 0.1869
Epoch 474, true	ll: -0.13843	mae: 0.2139
Epoch 479, true	ll: -0.091393	mae: 0.2021
Epoch 484, true	ll: -0.17116	mae: 0.23103
Epoch 489, true	ll: 0.020891	mae: 0.18676
Epoch 494, true	ll: -0.12534	mae: 0.21599
Epoch 499, true	ll: -0.059223	mae: 0.20041
Epoch 504, true	ll: -0.081205	mae: 0.20266
Epoch 509, true	ll: -0.042738	mae: 0.19535
Epoch 514, true	ll: -0.12493	mae: 0.21304
Epoch 519, true	ll: -0.073921	mae: 0.20208
Epoch 524, true	ll: -0.023166	mae: 0.18714
Epoch 529, true	ll: 0.024009	mae: 0.188
Epoch 534, true	ll: -0.042567	mae: 0.19258
Epoch 539, true	ll: -0.070829	mae: 0.19857
Epoch 544, true	ll: -0.04249	mae: 0.19189
Epoch 549, true	ll: -0.020973	mae: 0.18852
Epoch 554, true	ll: -0.056738	mae: 0.19451
Epoch 559, true	ll: -0.045535	mae: 0.19568
Epoch 564, true	ll: -0.12653	mae: 0.20778
Epoch 569, true	ll: -0.029274	mae: 0.19298
Epoch 574, true	ll: -0.083687	mae: 0.20171
Epoch 579, true	ll: -0.71011	mae: 0.41789
Epoch 584, true	ll: -0.062379	mae: 0.20037
Epoch 589, true	ll: -0.087576	mae: 0.20271
Epoch 594, true	ll: -0.061269	mae: 0.19436
Epoch 599, true	ll: -0.034365	mae: 0.19251
Epoch 604, true	ll: -0.044907	mae: 0.19511
Epoch 609, true	ll: -0.087916	mae: 0.20307
Epoch 614, true	ll: -0.058429	mae: 0.21078
Epoch 619, true	ll: -0.027713	mae: 0.19212
Epoch 624, true	ll: -0.041432	mae: 0.19438
Epoch 629, true	ll: -0.12795	mae: 0.21875
Epoch 634, true	ll: -0.032514	mae: 0.19499
Epoch 639, true	ll: -0.031196	mae: 0.19475
Epoch 644, true	ll: -0.00098208	mae: 0.18655
Epoch 649, true	ll: -0.19104	mae: 0.22999
Epoch 654, true	ll: -0.010807	mae: 0.19437
Epoch 659, true	ll: -0.025722	mae: 0.19454
Epoch 664, true	ll: -0.053328	mae: 0.20292
Epoch 669, true	ll: -0.070513	mae: 0.20866
Epoch 674, true	ll: -0.015695	mae: 0.19028
Epoch 679, true	ll: -0.04508	mae: 0.1894
Epoch 684, true	ll: 0.050914	mae: 0.18203
Epoch 689, true	ll: -0.022095	mae: 0.18834
Epoch 694, true	ll: -0.032236	mae: 0.19313
Epoch 699, true	ll: -0.058504	mae: 0.19392
Epoch 704, true	ll: -0.089463	mae: 0.2009
Epoch 709, true	ll: -0.13937	mae: 0.21566
Epoch 714, true	ll: 0.0024828	mae: 0.18557
Epoch 719, true	ll: 0.0058823	mae: 0.18258
Epoch 724, true	ll: -0.12893	mae: 0.21285
Epoch 729, true	ll: -0.053978	mae: 0.19199
Epoch 734, true	ll: -0.011813	mae: 0.18702
Epoch 739, true	ll: -0.0052393	mae: 0.18859
Epoch 744, true	ll: -0.036788	mae: 0.19166
Epoch 749, true	ll: -0.048699	mae: 0.19454
Epoch 754, true	ll: 0.0065867	mae: 0.19085
Epoch 759, true	ll: -0.021803	mae: 0.19302
Epoch 764, true	ll: -0.0045939	mae: 0.18783
Epoch 769, true	ll: -0.056973	mae: 0.18931
Epoch 774, true	ll: -0.04433	mae: 0.19173
Epoch 779, true	ll: -0.018274	mae: 0.18913
Epoch 784, true	ll: -0.025854	mae: 0.18556
Epoch 789, true	ll: -0.071597	mae: 0.19923
Epoch 794, true	ll: -0.27599	mae: 0.24956
Epoch 799, true	ll: -0.071565	mae: 0.20218
Epoch 804, true	ll: -0.01401	mae: 0.18464
Epoch 809, true	ll: -0.014387	mae: 0.18752
Epoch 814, true	ll: -0.010479	mae: 0.18762
Epoch 819, true	ll: -0.057437	mae: 0.19528
Epoch 824, true	ll: -0.10517	mae: 0.20333
Epoch 829, true	ll: 0.00059852	mae: 0.18238
Epoch 834, true	ll: -0.0026342	mae: 0.18566
Epoch 839, true	ll: -0.043074	mae: 0.19035
Epoch 844, true	ll: -0.027426	mae: 0.18801
Epoch 849, true	ll: -0.14113	mae: 0.214
Epoch 854, true	ll: -0.030459	mae: 0.18918
Epoch 859, true	ll: -0.1845	mae: 0.22414
Epoch 864, true	ll: -0.057302	mae: 0.19405
Epoch 869, true	ll: -0.048292	mae: 0.19888
Epoch 874, true	ll: -0.029883	mae: 0.18967
Epoch 879, true	ll: -0.093274	mae: 0.20688
Epoch 884, true	ll: 0.040078	mae: 0.18499
Epoch 889, true	ll: -0.042549	mae: 0.19036
Epoch 894, true	ll: -0.033772	mae: 0.19019
Epoch 899, true	ll: -0.043196	mae: 0.19071
Epoch 904, true	ll: 0.0072188	mae: 0.18451
Epoch 909, true	ll: -0.069776	mae: 0.19381
Epoch 914, true	ll: -0.037602	mae: 0.18861
Epoch 919, true	ll: -0.023128	mae: 0.18995
Epoch 924, true	ll: -0.023923	mae: 0.18981
Epoch 929, true	ll: -0.16188	mae: 0.22404
Epoch 934, true	ll: -0.030285	mae: 0.18849
Epoch 939, true	ll: -0.02983	mae: 0.18484
Epoch 944, true	ll: -0.05532	mae: 0.19618
Epoch 949, true	ll: -0.05076	mae: 0.19032
Epoch 954, true	ll: -0.0025164	mae: 0.18043
Epoch 959, true	ll: -0.045308	mae: 0.18916
Epoch 964, true	ll: -0.038875	mae: 0.18696
Epoch 969, true	ll: -0.032491	mae: 0.18736
Epoch 974, true	ll: -0.068801	mae: 0.19018
Epoch 979, true	ll: -0.061649	mae: 0.19287
Epoch 984, true	ll: -0.0021852	mae: 0.17996
Epoch 989, true	ll: -0.030387	mae: 0.18457
Epoch 994, true	ll: -0.018256	mae: 0.18314
Epoch 999, true	ll: -0.02699	mae: 0.1851
