Epoch 4, true	ll: -17.874	mae: 2.1602
Epoch 9, true	ll: -17.543	mae: 2.1106
Epoch 14, true	ll: -17.302	mae: 2.0676
Epoch 19, true	ll: -17.088	mae: 2.0242
Epoch 24, true	ll: -16.797	mae: 1.9834
Epoch 29, true	ll: -16.269	mae: 1.9472
Epoch 34, true	ll: -15.114	mae: 1.9295
Epoch 39, true	ll: -13.607	mae: 1.9536
Epoch 44, true	ll: -12.14	mae: 2.0358
Epoch 49, true	ll: -11.272	mae: 2.1972
Epoch 54, true	ll: -10.604	mae: 2.4531
Epoch 59, true	ll: -10.441	mae: 2.7819
Epoch 64, true	ll: -10.449	mae: 3.1172
Epoch 69, true	ll: -10.4	mae: 3.3104
Epoch 74, true	ll: -9.6893	mae: 3.2769
Epoch 79, true	ll: -8.9409	mae: 3.0198
Epoch 84, true	ll: -8.4078	mae: 2.7224
Epoch 89, true	ll: -7.975	mae: 2.4893
Epoch 94, true	ll: -7.7498	mae: 2.3739
Epoch 99, true	ll: -7.5417	mae: 2.3446
Epoch 104, true	ll: -6.5351	mae: 2.3518
Epoch 109, true	ll: -6.3787	mae: 2.2738
Epoch 114, true	ll: -6.1226	mae: 2.1764
Epoch 119, true	ll: -5.7978	mae: 2.0767
Epoch 124, true	ll: -5.459	mae: 2.0085
Epoch 129, true	ll: -5.0789	mae: 1.965
Epoch 134, true	ll: -5.1389	mae: 1.8668
Epoch 139, true	ll: -4.9329	mae: 1.7777
Epoch 144, true	ll: -4.6863	mae: 1.7266
Epoch 149, true	ll: -4.9722	mae: 1.6424
Epoch 154, true	ll: -4.8751	mae: 1.6123
Epoch 159, true	ll: -4.8344	mae: 1.5377
Epoch 164, true	ll: -4.9066	mae: 1.4809
Epoch 169, true	ll: -4.5165	mae: 1.4623
Epoch 174, true	ll: -4.6614	mae: 1.4103
Epoch 179, true	ll: -4.6255	mae: 1.3586
Epoch 184, true	ll: -4.6108	mae: 1.3451
Epoch 189, true	ll: -4.455	mae: 1.3174
Epoch 194, true	ll: -4.5014	mae: 1.2996
Epoch 199, true	ll: -4.4402	mae: 1.2887
Epoch 204, true	ll: -4.2282	mae: 1.2915
Epoch 209, true	ll: -4.3419	mae: 1.2654
Epoch 214, true	ll: -4.1995	mae: 1.285
Epoch 219, true	ll: -3.9774	mae: 1.2782
Epoch 224, true	ll: -4.0892	mae: 1.2817
Epoch 229, true	ll: -3.9309	mae: 1.2879
Epoch 234, true	ll: -3.8098	mae: 1.2963
Epoch 239, true	ll: -3.9392	mae: 1.2804
Epoch 244, true	ll: -3.4441	mae: 1.3227
Epoch 249, true	ll: -3.4728	mae: 1.2762
Epoch 254, true	ll: -4.0289	mae: 1.267
Epoch 259, true	ll: -3.5398	mae: 1.3127
Epoch 264, true	ll: -3.4931	mae: 1.2849
Epoch 269, true	ll: -3.5543	mae: 1.2731
Epoch 274, true	ll: -3.577	mae: 1.2659
Epoch 279, true	ll: -3.4591	mae: 1.288
Epoch 284, true	ll: -3.4973	mae: 1.264
