Epoch 4, true	ll: -17.4	mae: 2.0211
Epoch 9, true	ll: -17.092	mae: 1.9906
Epoch 14, true	ll: -16.795	mae: 1.9638
Epoch 19, true	ll: -16.527	mae: 1.9387
Epoch 24, true	ll: -16.192	mae: 1.9141
Epoch 29, true	ll: -15.73	mae: 1.8892
Epoch 34, true	ll: -15.235	mae: 1.8656
Epoch 39, true	ll: -14.683	mae: 1.8453
Epoch 44, true	ll: -14.15	mae: 1.8276
Epoch 49, true	ll: -13.276	mae: 1.8138
Epoch 54, true	ll: -12.511	mae: 1.8156
Epoch 59, true	ll: -11.635	mae: 1.8242
Epoch 64, true	ll: -11.316	mae: 1.8544
Epoch 69, true	ll: -10.836	mae: 1.8918
Epoch 74, true	ll: -10.459	mae: 1.9256
Epoch 79, true	ll: -10.109	mae: 1.942
Epoch 84, true	ll: -10.012	mae: 1.935
Epoch 89, true	ll: -9.8219	mae: 1.9186
Epoch 94, true	ll: -9.7185	mae: 1.8915
Epoch 99, true	ll: -9.6148	mae: 1.8611
Epoch 104, true	ll: -9.3731	mae: 1.8261
Epoch 109, true	ll: -9.2497	mae: 1.7842
Epoch 114, true	ll: -9.1281	mae: 1.7466
Epoch 119, true	ll: -8.9378	mae: 1.707
Epoch 124, true	ll: -8.88	mae: 1.6645
Epoch 129, true	ll: -8.7732	mae: 1.6281
Epoch 134, true	ll: -8.6962	mae: 1.5942
Epoch 139, true	ll: -8.6606	mae: 1.5616
Epoch 144, true	ll: -8.5489	mae: 1.5268
Epoch 149, true	ll: -8.5566	mae: 1.5062
Epoch 154, true	ll: -8.4727	mae: 1.4786
Epoch 159, true	ll: -8.383	mae: 1.4544
Epoch 164, true	ll: -8.2915	mae: 1.4348
Epoch 169, true	ll: -8.313	mae: 1.4229
Epoch 174, true	ll: -8.2838	mae: 1.4083
Epoch 179, true	ll: -8.1944	mae: 1.3949
Epoch 184, true	ll: -8.1241	mae: 1.3878
Epoch 189, true	ll: -8.13	mae: 1.3744
Epoch 194, true	ll: -8.1262	mae: 1.3635
Epoch 199, true	ll: -8.22	mae: 1.3655
Epoch 204, true	ll: -8.1454	mae: 1.3595
Epoch 209, true	ll: -8.1796	mae: 1.3529
Epoch 214, true	ll: -8.1647	mae: 1.3535
Epoch 219, true	ll: -8.1625	mae: 1.3554
Epoch 224, true	ll: -8.1486	mae: 1.3484
Epoch 229, true	ll: -8.1659	mae: 1.3484
Epoch 234, true	ll: -8.1574	mae: 1.3514
Epoch 239, true	ll: -8.2064	mae: 1.3514
Epoch 244, true	ll: -8.2496	mae: 1.347
Epoch 249, true	ll: -8.2489	mae: 1.3447
Epoch 254, true	ll: -8.1623	mae: 1.3475
Epoch 259, true	ll: -8.2672	mae: 1.345
Epoch 264, true	ll: -8.2756	mae: 1.3436
Epoch 269, true	ll: -8.1599	mae: 1.3437
Epoch 274, true	ll: -8.1924	mae: 1.3458
Epoch 279, true	ll: -8.2318	mae: 1.343
Epoch 284, true	ll: -8.2905	mae: 1.3377
Epoch 289, true	ll: -8.2606	mae: 1.3366
Epoch 294, true	ll: -8.2915	mae: 1.3407
Epoch 299, true	ll: -8.2777	mae: 1.3451
Epoch 304, true	ll: -8.302	mae: 1.3418
Epoch 309, true	ll: -8.3366	mae: 1.3394
Epoch 314, true	ll: -8.2497	mae: 1.3421
Epoch 319, true	ll: -8.3138	mae: 1.3372
Epoch 324, true	ll: -8.2632	mae: 1.3422
Epoch 329, true	ll: -8.2779	mae: 1.346
Epoch 334, true	ll: -8.2772	mae: 1.3415
Epoch 339, true	ll: -8.2726	mae: 1.3398
Epoch 344, true	ll: -8.3088	mae: 1.3397
Epoch 349, true	ll: -8.25	mae: 1.3388
Epoch 354, true	ll: -8.2943	mae: 1.3388
Epoch 359, true	ll: -8.307	mae: 1.3365
Epoch 364, true	ll: -8.2734	mae: 1.3371
Epoch 369, true	ll: -8.3026	mae: 1.3421
Epoch 374, true	ll: -8.3338	mae: 1.3393
Epoch 379, true	ll: -8.3459	mae: 1.3386
Epoch 384, true	ll: -8.3606	mae: 1.3395
Epoch 389, true	ll: -8.3152	mae: 1.3439
Epoch 394, true	ll: -8.3058	mae: 1.341
Epoch 399, true	ll: -8.2898	mae: 1.3385
Epoch 404, true	ll: -8.3243	mae: 1.3403
Epoch 409, true	ll: -8.2612	mae: 1.3411
Epoch 414, true	ll: -8.2971	mae: 1.3401
Epoch 419, true	ll: -8.2743	mae: 1.3394
Epoch 424, true	ll: -8.3038	mae: 1.3397
Epoch 429, true	ll: -8.3203	mae: 1.3421
Epoch 434, true	ll: -8.3497	mae: 1.3385
Epoch 439, true	ll: -8.3691	mae: 1.3384
Epoch 444, true	ll: -8.333	mae: 1.3428
Epoch 449, true	ll: -8.2662	mae: 1.3387
Epoch 454, true	ll: -8.3878	mae: 1.3391
Epoch 459, true	ll: -8.3448	mae: 1.3414
Epoch 464, true	ll: -8.3103	mae: 1.3405
Epoch 469, true	ll: -8.3559	mae: 1.3376
Epoch 474, true	ll: -8.3508	mae: 1.3359
Epoch 479, true	ll: -8.3237	mae: 1.3376
Epoch 484, true	ll: -8.3168	mae: 1.3391
Epoch 489, true	ll: -8.3122	mae: 1.3352
Epoch 494, true	ll: -8.3836	mae: 1.334
Epoch 499, true	ll: -8.3724	mae: 1.3406
Epoch 504, true	ll: -8.4406	mae: 1.3396
Epoch 509, true	ll: -8.3749	mae: 1.3389
Epoch 514, true	ll: -8.4073	mae: 1.3358
Epoch 519, true	ll: -8.3794	mae: 1.3354
Epoch 524, true	ll: -8.4237	mae: 1.3339
Epoch 529, true	ll: -8.3895	mae: 1.3391
